Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Miami (OH),16,40.0,22.0,50.2,.438,4.2,14.8,.284,12.5,18.4,.680,14.5,17.6,8.8,19.4,28.2,10.9,8.1,2.1,60.7
Illinois-Chicago,16,40.9,20.5,52.8,.389,5.5,18.6,.296,14.1,18.8,.751,13.1,17.4,9.2,22.4,31.6,11.0,6.6,2.6,60.6
Utah,18,40.3,22.1,52.0,.425,5.3,15.3,.345,11.1,15.0,.741,12.2,15.9,7.7,22.8,30.5,12.9,5.9,2.7,60.6
Southern Illinois,18,40.0,22.3,51.1,.436,4.6,14.7,.313,11.4,17.9,.635,11.2,16.8,8.8,18.3,27.1,9.2,7.5,1.4,60.6
Lamar,18,40.6,22.2,55.6,.399,1.8,5.5,.323,14.4,20.5,.705,17.8,16.8,11.2,25.2,36.4,11.5,3.7,4.3,60.6
Florida A&M,16,40.9,21.3,55.7,.383,5.2,16.6,.312,12.6,19.7,.641,15.2,19.5,10.9,21.7,32.6,10.2,8.1,3.3,60.4
Hartford,16,40.0,20.4,50.6,.404,7.9,24.1,.329,11.5,16.3,.705,13.7,19.2,8.6,20.8,29.4,12.8,8.4,1.9,60.3
Idaho State,20,40.5,20.8,50.0,.416,5.5,16.9,.324,13.2,19.2,.683,11.4,15.7,8.2,21.1,29.2,10.6,7.5,3.1,60.2
Prairie View A&M,18,40.3,22.7,60.8,.373,3.3,13.7,.243,11.6,19.8,.583,13.8,19.5,16.2,23.3,39.6,9.4,6.6,2.8,60.2
Vanderbilt,18,40.3,20.1,50.3,.398,7.9,22.7,.348,12.2,18.4,.665,12.0,15.8,9.1,23.6,32.7,12.2,3.8,3.6,60.2
Cincinnati,17,40.6,19.7,53.2,.370,6.4,22.1,.287,14.4,21.6,.665,12.1,18.1,12.4,23.0,35.4,10.4,5.1,5.5,60.1
Siena,18,40.0,20.3,50.2,.405,5.3,16.3,.328,14.1,19.7,.718,14.9,15.2,9.6,22.0,31.6,10.6,5.8,3.0,60.1
Manhattan,18,40.6,20.3,47.8,.424,5.9,17.4,.342,13.5,20.6,.655,15.1,21.7,10.2,23.1,33.3,11.2,6.2,4.8,60.0
Winthrop,16,40.0,20.9,48.6,.430,5.9,16.9,.352,12.2,17.8,.688,12.8,17.5,7.5,22.4,29.9,10.2,4.2,2.1,59.9
Seton Hall,18,40.0,20.8,50.7,.411,7.5,21.1,.355,10.7,16.5,.650,15.9,20.7,9.7,21.4,31.1,12.8,5.7,2.1,59.9
