Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Long Island,18,40.3,28.8,59.3,.485,6.5,17.5,.371,21.3,28.8,.740,15.2,14.9,10.8,26.3,37.1,15.7,6.1,3.6,85.4
Belmont,18,40.0,29.1,57.8,.502,9.3,23.6,.396,16.7,22.4,.744,12.0,16.9,10.7,23.4,34.1,19.3,6.8,2.2,84.2
Iona,18,40.0,29.9,60.0,.498,8.3,21.4,.389,13.7,19.7,.698,11.1,15.9,10.7,23.0,33.7,19.3,6.9,2.2,81.8
Oakland,18,40.8,26.6,56.3,.473,9.7,23.3,.417,18.5,25.6,.722,12.1,17.7,8.9,22.0,30.9,14.1,6.3,2.5,81.4
UNC Asheville,18,40.3,26.2,53.6,.488,6.6,17.2,.382,21.6,27.0,.798,14.0,17.4,9.3,22.6,31.9,16.9,8.3,2.6,80.4
Davidson,18,40.0,27.2,59.1,.460,8.2,22.4,.364,16.9,22.5,.753,11.2,19.7,11.9,26.0,37.9,13.9,5.4,3.9,79.4
Brigham Young,16,40.0,27.9,60.7,.459,5.9,18.4,.319,17.5,24.5,.714,12.8,19.1,10.2,26.8,36.9,16.3,9.0,3.6,79.1
South Dakota State,18,40.6,27.1,56.9,.477,8.9,21.3,.418,15.8,21.0,.751,9.3,16.1,8.9,23.2,32.1,15.2,6.1,1.9,78.9
Oral Roberts,18,40.8,27.4,52.4,.523,5.6,13.7,.407,17.3,22.2,.779,12.6,17.6,9.1,19.8,28.9,14.4,5.9,2.6,77.8
New Mexico State,14,40.4,28.4,59.8,.476,4.3,13.6,.314,16.6,25.9,.641,14.2,17.7,14.2,25.2,39.4,14.9,6.7,3.8,77.7
Coppin State,16,40.3,26.6,57.5,.462,9.3,25.0,.372,15.2,21.2,.718,14.8,16.4,9.7,24.0,33.7,15.4,5.6,2.2,77.7
Temple,16,40.6,27.5,56.6,.486,7.2,17.4,.412,15.2,20.3,.748,12.0,16.8,9.3,23.8,33.1,15.0,7.5,4.8,77.4
Cal State Fullerton,16,40.0,26.5,56.5,.469,9.4,21.9,.431,14.8,21.2,.699,13.8,19.1,11.2,22.5,33.7,14.8,5.2,3.4,77.2
Charleston Southern,18,40.3,26.4,58.6,.450,8.3,22.2,.375,16.1,23.0,.698,12.2,17.4,10.6,22.0,32.6,12.3,7.1,2.7,77.2
Virginia Military,18,40.3,26.1,59.6,.438,8.1,26.0,.310,16.9,23.3,.726,13.7,18.8,9.9,20.6,30.5,11.4,7.6,3.2,77.2
Oregon State,18,41.4,27.0,59.4,.455,6.2,17.7,.349,16.9,24.9,.679,13.3,19.4,10.5,21.8,32.3,14.3,8.6,4.3,77.1
Wichita State,18,40.8,27.2,55.4,.491,6.8,18.2,.372,15.7,19.8,.795,11.4,16.2,9.0,26.2,35.2,14.5,5.9,3.8,76.9
Weber State,16,40.0,25.3,54.4,.466,8.3,21.8,.381,17.9,21.6,.829,10.2,17.4,7.7,23.9,31.6,13.0,5.7,2.4,76.9
North Carolina,16,40.0,28.3,64.6,.439,4.5,14.9,.303,15.8,21.8,.722,11.2,15.4,14.6,27.9,42.5,15.3,6.2,6.1,76.9
Texas-Arlington,16,40.0,25.2,55.2,.458,6.4,18.9,.337,19.5,27.2,.717,16.6,18.2,12.2,26.0,38.2,13.1,7.9,3.8,76.4
Portland State,16,40.3,25.6,52.1,.492,6.2,15.9,.394,18.8,25.6,.736,13.6,17.6,9.8,22.3,32.1,11.8,5.5,3.4,76.3
San Francisco,16,40.3,27.6,58.2,.473,6.9,20.8,.334,14.2,20.6,.690,12.8,18.2,8.7,21.3,30.0,13.9,8.6,1.8,76.2
Saint Mary's,16,40.0,26.0,53.8,.484,7.2,19.8,.364,16.8,23.1,.729,11.9,17.1,11.3,23.6,34.9,15.6,6.8,3.1,76.0
Creighton,18,40.3,25.9,51.4,.503,7.7,18.0,.429,16.2,21.4,.758,12.4,16.2,7.6,25.4,32.9,16.3,3.7,2.2,75.7
Lamar,16,40.0,27.2,60.6,.448,4.8,13.6,.350,16.6,23.8,.696,11.2,16.4,13.6,23.8,37.4,12.8,8.2,3.8,75.7
Stetson,18,40.5,26.5,58.1,.456,8.1,23.8,.341,14.3,20.1,.710,16.1,19.5,11.4,22.5,33.9,15.6,6.6,2.7,75.4
Duke,16,40.6,25.2,58.0,.434,8.5,23.8,.358,16.5,23.5,.702,10.7,19.2,11.4,23.7,35.1,11.8,5.4,3.2,75.4
Massachusetts,16,40.6,26.6,60.6,.438,7.5,21.1,.355,14.6,21.0,.696,15.4,20.1,10.6,25.5,36.1,15.6,7.6,4.4,75.2
Murray State,16,40.0,24.8,52.0,.476,7.2,18.1,.400,18.4,25.8,.714,13.9,18.6,10.0,22.8,32.8,11.7,7.4,4.8,75.2
Missouri,18,40.3,26.1,53.8,.485,8.1,21.2,.382,14.8,19.4,.765,10.9,14.8,8.0,20.6,28.6,15.6,7.0,2.5,75.1
Dayton,16,40.9,24.7,57.6,.429,8.4,24.1,.351,17.1,21.4,.796,13.8,19.9,13.0,23.7,36.7,14.5,4.2,2.8,74.9
Oregon,18,40.0,26.7,56.1,.475,7.6,19.1,.397,13.9,19.1,.727,13.2,17.0,10.4,21.5,31.9,13.9,5.9,3.1,74.8
Long Beach State,16,40.3,26.0,54.9,.474,6.6,18.6,.354,16.2,25.1,.646,11.9,14.1,10.4,25.2,35.6,13.8,7.2,2.8,74.8
Wagner,18,40.0,25.8,57.5,.449,6.7,18.7,.357,16.3,22.5,.726,13.4,21.7,11.1,21.9,33.0,12.8,8.3,4.1,74.7
Kentucky,16,40.0,26.8,54.2,.494,5.9,14.4,.413,15.1,20.4,.739,9.4,13.5,10.6,24.0,34.6,12.6,6.0,8.4,74.6
Marquette,18,40.0,25.8,56.5,.456,5.9,17.1,.347,16.9,23.1,.733,12.8,16.6,10.6,22.3,32.8,16.8,8.8,3.3,74.4
Rider,18,40.0,25.0,55.2,.453,7.3,20.6,.356,16.9,22.3,.756,15.0,17.5,8.8,24.5,33.3,14.9,6.2,3.9,74.2
Evansville,18,41.4,26.0,55.6,.468,5.5,13.7,.402,16.7,21.1,.789,12.6,21.0,8.7,19.1,27.7,17.3,8.3,1.2,74.2
Kansas,18,40.3,26.6,54.7,.486,5.8,16.3,.354,14.9,21.3,.701,12.4,17.2,10.0,24.6,34.6,15.3,7.3,5.8,74.1
North Dakota State,18,40.6,26.0,51.7,.503,6.3,16.7,.377,15.6,20.8,.749,13.9,19.0,7.2,22.5,29.7,13.6,5.4,3.6,73.8
Memphis,16,40.0,27.2,53.1,.512,5.2,14.3,.362,14.0,19.9,.704,12.1,18.8,8.5,23.3,31.8,14.8,8.5,4.9,73.6
Albany,16,40.0,25.6,56.7,.452,6.9,19.4,.354,15.2,20.7,.737,13.0,16.6,13.0,21.8,34.8,11.8,5.1,2.4,73.4
Utah Valley,10,41.0,25.1,57.6,.436,5.6,15.4,.364,17.5,24.0,.729,13.7,15.3,13.6,27.6,41.2,13.5,7.3,3.4,73.3
Hawaii,14,40.7,26.4,56.4,.467,5.1,15.4,.333,15.4,23.4,.655,15.2,19.5,9.9,23.8,33.6,15.9,4.9,4.1,73.3
IUPUI,18,40.8,26.4,58.4,.452,5.7,15.4,.371,14.7,19.1,.770,11.2,17.4,10.9,19.3,30.2,11.1,7.3,2.6,73.3
Tennessee Tech ,16,40.0,24.9,53.1,.470,5.7,15.1,.376,17.7,23.9,.739,14.7,18.4,10.7,21.9,32.6,14.4,6.5,2.4,73.2
Norfolk State,16,40.9,26.1,58.7,.444,5.2,17.8,.295,15.8,23.7,.668,14.0,20.3,12.2,24.2,36.4,12.4,6.9,4.8,73.2
Elon,18,40.8,25.9,59.3,.437,7.9,21.2,.372,13.5,19.8,.683,13.7,18.1,9.5,25.0,34.5,14.1,4.9,2.3,73.2
Nevada,14,41.1,25.9,54.1,.478,7.2,18.7,.385,14.2,22.7,.626,13.3,17.3,11.4,23.9,35.4,12.9,5.2,4.8,73.1
UNC Greensboro,18,40.6,25.1,60.7,.414,7.2,20.4,.353,15.5,21.8,.712,14.3,21.7,11.2,23.0,34.2,11.7,6.9,3.1,72.9
Gonzaga,16,40.0,24.5,50.8,.483,5.7,15.5,.367,18.2,25.1,.728,13.8,15.4,8.8,26.2,34.9,13.2,6.4,3.7,72.9
UNLV,14,41.1,25.9,57.2,.452,8.4,22.6,.370,13.3,20.8,.639,13.9,16.6,10.3,24.8,35.1,17.2,8.4,4.4,72.9
Florida Gulf Coast,18,40.6,26.0,57.1,.456,7.9,22.2,.358,12.9,19.3,.671,14.9,19.2,11.0,21.4,32.4,13.9,8.3,3.8,72.9
Indiana,18,40.0,24.7,52.2,.474,6.2,14.9,.414,17.2,22.3,.773,12.6,17.7,9.2,22.9,32.1,11.9,4.8,3.6,72.8
Lehigh,14,40.4,25.6,58.1,.440,7.6,21.1,.358,14.0,17.8,.787,10.3,15.3,10.0,23.1,33.1,12.9,7.6,2.9,72.7
Eastern Washington,16,40.3,23.9,58.6,.407,8.6,24.6,.348,16.4,23.3,.702,11.8,22.4,11.6,21.7,33.3,11.9,7.3,3.6,72.7
St. Bonaventure,16,40.9,24.9,54.2,.459,5.6,15.4,.366,17.2,21.9,.783,14.2,18.8,11.2,24.1,35.2,14.2,5.8,4.2,72.6
Mississippi Valley State,18,40.3,25.0,59.5,.420,8.2,23.8,.343,14.3,22.4,.636,15.5,19.6,13.4,25.2,38.7,14.6,9.6,2.8,72.4
La Salle,16,40.3,25.9,56.5,.459,7.6,18.6,.411,12.9,17.4,.741,13.6,15.8,10.2,23.1,33.3,14.6,7.7,2.8,72.4
Baylor,18,40.0,25.7,55.9,.459,6.4,17.7,.362,14.4,18.7,.772,13.5,17.8,11.0,21.7,32.7,14.8,7.1,3.6,72.2
Montana,16,40.0,25.1,51.1,.491,6.4,16.2,.396,15.4,21.1,.733,12.8,17.1,7.3,24.1,31.4,14.0,7.7,3.4,72.1
DePaul,18,40.3,27.1,62.9,.431,6.9,21.1,.330,10.9,15.4,.705,13.7,19.8,10.1,19.8,29.9,15.8,6.9,3.8,72.1
North Texas,16,41.6,26.2,58.8,.445,5.4,15.0,.358,14.1,20.6,.684,15.6,17.4,10.2,28.9,39.1,12.9,5.8,4.8,71.8
Texas Christian,14,41.4,24.4,57.2,.427,9.0,23.6,.382,13.9,20.1,.691,12.0,18.6,9.5,21.5,31.0,12.7,5.6,2.4,71.8
