Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Northwestern State,18,40.0,29.5,62.3,.473,8.7,21.8,.399,18.1,23.7,.763,11.6,19.1,10.3,22.4,32.7,15.1,7.1,4.6,85.8
Stephen F. Austin,18,40.0,29.3,55.8,.525,7.9,19.0,.415,18.2,25.1,.727,13.4,21.4,11.4,22.2,33.6,19.7,7.5,3.4,84.7
Brigham Young,18,40.0,26.8,57.9,.464,8.1,21.1,.382,19.4,24.9,.777,10.7,20.3,11.6,25.7,37.2,16.2,7.1,3.2,81.1
Eastern Washington,18,40.6,27.3,58.8,.464,9.9,25.2,.392,15.9,21.4,.744,10.6,17.1,9.7,23.7,33.3,13.4,6.1,4.9,80.4
Murray State,16,40.5,27.4,57.9,.473,7.1,18.9,.373,17.3,25.0,.693,10.9,17.9,12.5,26.9,39.4,15.1,6.6,3.4,79.1
North Florida,14,40.0,26.0,55.6,.468,9.4,23.1,.406,17.6,22.4,.783,10.2,15.6,10.4,24.2,34.6,13.8,5.9,4.5,78.9
Duke,18,40.6,27.8,57.3,.485,7.9,19.9,.399,15.2,21.9,.691,11.4,15.6,11.8,24.7,36.5,14.8,6.4,3.8,78.8
Virginia Military,18,41.1,25.9,67.5,.384,11.1,34.9,.316,15.4,23.0,.671,13.9,21.3,13.4,23.5,36.9,12.5,8.9,5.8,78.4
Incarnate Word,18,40.8,26.2,55.1,.476,6.5,17.4,.374,18.8,25.5,.739,10.9,17.7,8.9,22.9,31.8,12.8,7.3,4.1,77.8
Iowa State,18,40.0,27.4,57.2,.479,7.8,20.3,.386,14.7,21.7,.677,11.5,16.4,9.1,26.3,35.4,15.4,5.2,4.4,77.3
Davidson,18,40.3,27.4,58.1,.471,10.6,26.8,.394,11.8,16.7,.707,9.2,17.2,9.1,23.9,33.1,17.1,5.6,2.7,77.1
Arizona,18,40.0,27.1,55.8,.485,4.4,12.9,.341,18.4,25.1,.734,10.9,18.4,11.3,25.2,36.6,13.3,6.3,3.6,76.9
Villanova,18,40.3,24.5,52.9,.463,10.0,25.0,.400,17.7,23.9,.738,10.7,16.9,9.8,23.6,33.4,15.9,6.7,3.8,76.7
Iona,20,40.2,26.6,57.5,.462,9.3,23.8,.392,14.2,19.9,.711,12.4,17.1,9.8,25.6,35.4,15.9,6.8,3.2,76.5
Charleston Southern,18,40.8,25.5,59.8,.427,9.8,26.9,.366,15.7,20.9,.750,9.8,16.1,12.4,21.9,34.3,12.6,7.1,2.3,76.5
Idaho,18,41.1,26.7,56.6,.472,7.9,19.3,.409,15.1,21.7,.695,11.8,20.9,9.9,25.4,35.4,13.7,4.6,2.3,76.3
Coppin State,16,40.0,25.5,60.9,.418,9.4,25.9,.364,15.6,22.1,.708,11.9,20.9,9.1,21.6,30.6,13.2,5.9,2.9,76.1
Louisiana-Lafayette ,20,40.5,26.2,59.3,.442,7.3,20.6,.355,16.3,22.4,.726,13.1,18.1,12.4,26.4,38.8,13.6,5.8,3.6,76.0
Buffalo,18,40.0,26.2,59.5,.441,5.8,18.3,.319,17.7,24.4,.723,10.9,18.0,13.0,23.9,36.9,13.2,8.2,3.7,75.9
North Carolina,18,40.6,29.1,60.3,.483,4.5,12.2,.370,13.2,18.9,.695,12.0,18.3,12.1,26.4,38.4,17.3,6.2,4.3,75.9
