Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Virginia Military,16,41.9,31.1,69.1,.450,8.7,26.4,.329,16.8,23.8,.706,10.4,17.2,14.4,27.2,41.6,13.8,6.2,6.6,87.8
Northwestern State,18,40.6,30.6,62.4,.489,5.9,15.4,.381,19.7,25.6,.770,13.6,20.2,11.1,24.8,35.9,17.7,8.2,4.9,86.7
Iona,20,40.2,29.1,59.1,.492,10.5,26.1,.402,17.5,24.4,.717,10.5,17.4,8.3,24.3,32.6,18.0,7.2,4.1,86.1
UNC Asheville,16,40.3,27.9,58.7,.476,7.4,18.9,.394,19.9,26.7,.747,13.6,19.4,10.4,27.4,37.8,13.7,7.2,6.2,83.2
Southeast Missouri State,16,40.9,30.1,58.8,.512,5.8,17.1,.336,16.9,24.6,.685,14.1,21.2,10.1,25.8,35.8,16.5,7.0,4.0,82.9
Murray State,16,40.6,28.0,56.9,.492,8.2,20.9,.392,18.5,27.4,.674,12.1,17.6,11.9,24.8,36.8,13.6,5.8,3.7,82.7
Brigham Young,18,40.8,27.9,58.6,.477,5.3,13.9,.384,20.8,30.1,.691,11.1,19.7,12.6,24.9,37.5,15.3,7.1,2.9,82.0
Belmont,16,40.0,28.1,53.9,.522,9.1,21.5,.422,16.6,22.9,.727,12.4,20.3,7.9,21.8,29.8,15.6,6.6,2.4,81.9
Canisius,20,41.2,27.4,58.5,.469,8.3,21.6,.384,18.1,24.1,.753,11.4,18.2,10.4,21.9,32.4,13.8,7.1,4.4,81.3
Quinnipiac,20,40.5,25.9,60.8,.426,6.0,15.7,.385,23.4,32.6,.717,12.5,19.8,16.8,28.1,45.0,13.3,3.0,5.1,81.2
Davidson,16,40.3,28.2,53.4,.529,9.1,19.8,.462,15.4,20.7,.743,11.8,18.2,7.8,25.1,32.8,15.4,4.9,1.8,81.0
Kansas,18,40.3,28.1,56.1,.500,6.1,16.8,.363,18.7,25.7,.728,13.0,20.9,11.9,25.5,37.4,15.0,6.1,5.4,80.9
Louisville,18,40.0,28.2,58.8,.480,8.1,20.5,.396,15.2,23.2,.653,11.2,20.3,11.6,22.7,34.2,16.2,10.3,4.7,79.7
Louisiana-Lafayette ,18,41.1,27.1,58.9,.460,6.7,18.4,.364,18.6,27.2,.685,13.3,21.2,13.0,23.5,36.5,13.0,7.3,4.3,79.6
UCLA,18,40.6,27.8,60.4,.460,6.7,17.2,.390,17.0,22.5,.756,10.3,19.0,10.4,24.5,34.9,16.5,8.8,2.6,79.4
Radford,16,40.3,27.6,57.3,.481,5.8,17.4,.335,18.4,24.7,.744,10.6,18.3,9.8,24.0,33.8,12.0,6.1,4.5,79.3
