Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Maryland-Eastern Shore,16,40.3,24.1,55.4,.435,6.0,19.4,.309,16.0,23.6,.677,14.1,17.9,10.9,22.4,33.4,13.2,8.3,4.2,70.1
High Point,18,40.6,23.6,53.7,.440,6.6,19.4,.338,16.2,23.2,.699,12.2,18.1,10.5,21.8,32.2,12.4,6.3,2.9,70.0
N.J.I.T.,10,41.0,22.8,51.6,.442,6.9,18.3,.377,17.5,26.3,.665,14.2,18.4,10.0,24.2,34.2,12.8,5.1,3.1,70.0
Mississippi State,16,41.2,26.3,57.9,.454,7.1,17.9,.395,10.2,14.9,.685,8.8,15.6,8.4,22.8,31.2,12.2,6.1,3.1,69.9
Texas Tech,18,40.3,23.0,52.0,.442,5.9,16.8,.353,17.9,24.0,.745,12.2,18.5,10.3,21.8,32.1,13.2,7.8,3.8,69.8
Brown,14,40.0,25.6,53.7,.476,7.4,17.8,.414,11.3,15.2,.742,10.5,14.8,8.2,26.1,34.4,14.6,5.5,3.3,69.8
Temple,16,40.6,25.2,59.1,.427,6.5,17.1,.380,12.7,17.3,.733,12.8,16.7,10.8,20.9,31.6,12.2,5.8,3.1,69.7
Purdue,18,40.0,25.0,52.7,.475,6.6,17.4,.380,13.1,18.1,.721,11.4,16.8,8.4,23.3,31.8,13.7,3.7,3.4,69.7
Indiana,18,40.0,24.8,55.7,.445,6.6,18.6,.355,13.4,18.8,.714,11.0,19.8,9.6,19.4,29.0,11.9,6.6,4.2,69.6
Citadel,18,40.8,26.2,56.8,.461,6.2,20.6,.303,11.1,16.3,.677,12.4,17.9,10.0,22.2,32.2,11.9,7.5,3.6,69.6
Oral Roberts,18,40.8,25.3,52.2,.485,6.3,16.2,.392,12.7,17.3,.733,12.7,19.5,7.6,16.9,24.6,12.4,6.4,2.2,69.6
Liberty,18,40.3,26.0,58.3,.446,6.4,19.5,.330,11.1,16.8,.659,10.6,17.6,10.8,21.5,32.3,12.9,5.1,2.7,69.5
Lafayette,14,40.0,24.3,51.9,.468,5.9,16.1,.369,15.0,20.4,.734,12.2,17.9,8.6,24.1,32.6,11.1,4.9,2.6,69.5
St. Francis (PA),18,40.0,25.4,54.7,.465,6.2,17.6,.351,12.4,17.4,.712,13.8,17.0,9.7,20.7,30.4,15.8,7.9,3.0,69.4
La Salle,16,40.3,25.7,58.3,.441,4.8,15.6,.309,13.2,18.6,.711,15.9,16.9,13.0,23.3,36.2,14.5,6.8,4.8,69.4
Western Kentucky,16,40.6,24.9,56.4,.442,4.7,14.2,.329,14.9,21.2,.702,14.7,17.9,10.9,23.9,34.9,12.7,5.9,4.4,69.4
Brigham Young,16,40.0,23.6,57.4,.412,6.2,21.5,.291,15.9,23.1,.688,15.7,20.2,9.1,23.9,33.0,13.6,6.9,2.5,69.4
Saint Peter's,18,40.0,23.3,52.1,.447,6.5,18.4,.353,16.3,22.2,.734,14.6,16.7,10.6,23.1,33.6,13.0,8.8,3.6,69.3
Texas A&M-CC,16,40.3,23.9,53.9,.444,6.0,17.2,.348,15.4,23.6,.655,12.7,17.7,10.8,23.0,33.8,12.3,7.2,3.5,69.3
