Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Florida Gulf Coast,18,40.8,26.6,58.1,0.458,7.4,21.7,0.34,13.2,19.7,0.669,13.4,18,11.4,24.2,35.6,13.9,8.4,4.3,73.8,2013
Saint Mary's,16,40,25.8,55.1,0.468,7.7,21.2,0.363,14.5,20.9,0.695,11.6,17.3,11.6,24.1,35.7,13.9,6.7,2.7,73.7,2013
Oklahoma State,18,41.1,25.1,56.6,0.444,5.1,16.2,0.312,18.3,24.7,0.741,12.4,18.7,10.1,25.2,35.2,12.2,7.6,4.2,73.6,2013
Oklahoma,18,40.6,25.8,57.2,0.451,5,14.4,0.347,16.9,21.8,0.774,11.5,17.9,10.4,25.4,35.8,12.9,5.8,2.3,73.6,2013
Temple,16,40,25.8,58.1,0.445,7.5,21,0.357,14.2,20.2,0.704,11,17.1,10.4,22.8,33.1,14.7,7.3,3.8,73.4,2013
Hawaii,18,40,25.9,56.4,0.459,5.9,16.4,0.363,15.6,22.3,0.698,14.1,17.1,11.4,23.8,35.2,13.7,5.7,3.4,73.3,2013
Long Beach State,18,40.3,25.8,54.4,0.473,7.1,19.8,0.356,14.4,21.6,0.668,14,17.4,10.9,23.3,34.2,13.5,7.2,3.6,73.1,2013
Towson,18,41.1,25.6,56.4,0.454,5.9,17.6,0.339,15.9,23.6,0.675,14.7,18.8,13.5,25.4,38.9,11.3,4.9,5.8,73.1,2013
Morehead State,16,40.9,24.9,54.8,0.455,6.4,18.2,0.351,16.7,23.5,0.71,18.4,23.8,13.6,21.9,35.4,14.9,7.8,2.4,72.9,2013
Oral Roberts,18,40.6,26.1,54.6,0.477,5.1,13.9,0.368,15.7,21.6,0.725,13.8,15.6,11.3,24.6,35.9,13.5,5.9,3.8,72.9,2013
Niagara,18,40.8,25.3,59.6,0.425,6.6,20.9,0.316,15.6,22.7,0.686,10.8,20,12.6,21.9,34.5,12.3,8.3,3.2,72.8,2013
South Dakota,16,40,25.6,53.4,0.479,7.4,17.9,0.413,14.2,18.2,0.781,11.1,13.6,7.2,22.8,29.9,12.6,4.9,2.5,72.8,2013
Liberty,16,40.6,24.4,56.2,0.434,6.4,18.1,0.355,17.2,23,0.75,11.8,19.2,10.2,25.2,35.4,11.8,5.4,2.9,72.6,2013
Middle Tennessee State,20,40.2,25.6,53.4,0.48,5.8,14.7,0.399,15.4,22.1,0.697,13.9,20,10.8,25.2,36,14.4,6.8,4.2,72.5,2013
Kansas,18,41.1,24.8,54.8,0.453,5.6,15.8,0.352,17.2,24.3,0.709,13.8,18,11.6,27.2,38.8,13.8,7.3,5.6,72.4,2013
Colorado State,16,40.3,24.8,56,0.442,5.1,15.8,0.324,17.7,25.4,0.697,10.7,17.1,13.3,25,38.3,12.5,4.8,1.4,72.3,2013
High Point,16,40.6,27.1,57,0.475,4.8,13,0.37,13.3,19.3,0.689,11.6,17.1,11.2,24,35.2,15.6,6.6,4.2,72.2,2013
Northeastern,17,41.8,24.2,52.3,0.462,7.9,19.3,0.412,15.9,19.8,0.804,11.9,14.6,8.2,19.9,28.1,15.2,7.5,2.5,72.2,2013
Kent State,16,40.6,23.4,53.9,0.435,7.8,20.1,0.388,17.4,24.6,0.71,13.2,19.6,11.6,23.5,35.1,12.5,6.8,2.9,72.1,2013
St. Bonaventure,16,40.6,23.9,52.1,0.458,7.4,19.2,0.386,16.9,20.8,0.814,14.1,19.6,8.6,21.1,29.7,14.2,5.8,2.6,72.1,2013
North Carolina,18,40.3,26.6,61.8,0.43,7,19,0.368,11.9,17.6,0.675,11.3,13.8,12,22.9,34.9,15.9,7.4,3.2,72.1,2013
Michigan,18,40.6,26.8,57.1,0.469,7,18.8,0.372,11.5,16.7,0.69,9.1,13.9,9.7,22.7,32.4,13.1,6.6,2.6,72.1,2013
Austin Peay,16,41.2,25.2,54.5,0.462,6.6,18.2,0.363,14.9,21.9,0.68,15.4,17.2,9.3,22.8,32.1,14.3,6.4,5.1,71.9,2013
Illinois State,18,40,24.5,56.7,0.432,7.1,20.6,0.342,15.8,20.8,0.757,12.1,17.7,9.9,24.3,34.2,13.3,6.3,3.9,71.8,2013
La Salle,16,40.3,25.8,57.2,0.45,7.2,19.8,0.364,13.1,17.3,0.758,12,15.9,10.2,20.1,30.2,15.1,8.3,3.2,71.8,2013
Dayton,16,40.3,25.4,52,0.489,6,14.7,0.409,14.8,20.1,0.735,15.1,20.1,10.4,22.2,32.7,14.2,5.4,2.5,71.6,2013
UNC Asheville,16,40,25.3,54.8,0.462,5.3,14.4,0.368,15.6,21.9,0.711,13.8,14.9,10.8,23.5,34.2,14.8,7.8,5.6,71.5,2013
Saint Louis,16,40.6,24.6,55.3,0.444,6,18.1,0.332,16.3,23.6,0.69,10.9,19.4,10.3,23.9,34.2,12.4,8.2,3.1,71.4,2013
Cal State Northridge,18,40,24.7,59.2,0.418,5.7,16.6,0.342,16.3,23.2,0.701,12.9,19.4,13.1,20.9,34,14.6,7.4,2.6,71.4,2013
Stetson,18,40,24.7,53.2,0.465,8.1,20.8,0.387,13.9,19.6,0.708,15.8,15.3,9.9,25.3,35.2,16.5,5.3,2.9,71.4,2013
Montana,20,40.5,23.9,49.6,0.48,6.6,17.4,0.378,17.1,21.9,0.78,11.9,15.4,7.4,22.5,29.9,13.3,6.5,3.1,71.3,2013
Stanford,18,40,24.5,57.8,0.424,7.6,18.5,0.411,14.7,19.8,0.744,10.6,16.6,9.8,24,33.8,12,5.7,3.2,71.3,2013
UC Davis,18,40.3,24.8,52.2,0.476,8.6,20,0.431,13,18.4,0.707,13.9,17.2,7.7,23.8,31.5,13.7,4.4,2.4,71.3,2013
Lipscomb,18,40.8,24.6,57.6,0.428,5.3,16.7,0.32,16.7,25.2,0.664,14.9,21.2,13.2,23.7,36.9,11.5,7.7,1.7,71.3,2013
Arizona,18,40.3,24.6,56.7,0.433,7.3,21.3,0.345,14.8,20.2,0.734,12.3,16.7,10.7,23.7,34.3,12.5,6.6,3.8,71.3,2013
Tulane,16,40,22.9,54.8,0.418,7,19.6,0.358,18.5,26.4,0.701,12.6,19.1,12.4,20.9,33.3,12.8,7.5,1.9,71.2,2013
Army,14,40.4,24.4,53.2,0.458,8.4,21.1,0.395,14.1,19,0.744,13.7,18.3,9.1,24.1,33.3,14.1,4.4,2.9,71.2,2013
Florida,18,40,26.8,55.1,0.486,8.8,22.4,0.391,8.8,13,0.679,10.7,14.1,8.9,24.3,33.2,15.7,6.9,3.4,71.2,2013
Georgia State,18,40.6,24.6,54.6,0.45,7.9,21.1,0.376,14.1,18.7,0.751,10.3,17.2,9.5,21.1,30.6,12.5,7.3,3.7,71.1,2013
Louisiana-Lafayette ,20,40.5,24.8,57.5,0.431,7,20,0.352,14.4,21.7,0.666,13.8,18.8,9.9,22.4,32.4,11.1,6.7,3.5,71.1,2013
UCF,16,40.6,24.5,57.7,0.425,6.9,20.9,0.332,15.1,22.9,0.659,13.2,15.1,13.1,22.8,35.9,12.4,8,4.8,71.1,2013
Louisiana Tech,18,40,24.6,60.7,0.405,7.8,22.6,0.344,13.9,19.6,0.711,12.1,18.6,12.8,23.3,36.2,12.6,8.6,5.1,70.9,2013
St. Francis (NY),18,40,25.2,59.3,0.424,7.1,21,0.336,13.6,19.8,0.685,11.4,19.3,12.4,22.3,34.8,13,6.7,2,70.9,2013
Nicholls State,18,40.8,24.7,54.5,0.453,4.8,16.2,0.298,16.6,24.6,0.676,13.9,18.2,10.4,21.1,31.5,12.2,6.9,2.2,70.8,2013
UCLA,18,40.6,26.3,60.1,0.438,4.9,14.6,0.335,13.3,18.7,0.714,11.3,14.9,9.6,24,33.6,15.4,8.6,3.4,70.8,2013
Delaware,17,40.9,23.5,53.3,0.442,4.5,13.3,0.341,19.2,25.6,0.749,11.6,17.3,8.8,26.6,35.4,9.6,5.4,4.4,70.8,2013
Santa Clara,16,40,24.6,57.8,0.425,7.8,21.6,0.362,13.7,19.1,0.716,12,19.8,12.2,22.2,34.4,13.4,7.2,4.4,70.6,2013
Murray State,16,40.9,23.2,54.3,0.428,7.1,22.2,0.318,17,24.6,0.69,14.1,17.4,11.6,22.8,34.3,11.9,6.9,3.3,70.6,2013
Baylor,18,40.6,24.7,57.9,0.427,6.9,19.8,0.347,14.2,20.9,0.676,12.5,17.6,11.7,23.9,35.6,14.3,5.7,4.8,70.5,2013
USC Upstate,18,40.3,24.9,57.1,0.436,6.6,18.8,0.351,14.1,21.1,0.668,12.8,15.9,12.1,24.9,37,15.2,5.9,4.4,70.5,2013
Appalachian State,18,41.7,24.3,56.3,0.432,6.5,18.2,0.358,15.3,22.5,0.679,12.7,18.4,10.2,24.5,34.7,11.2,6.5,3.8,70.4,2013
Northern Colorado,20,40.2,25.2,54.1,0.465,7,17.4,0.401,12.9,19.4,0.668,12.6,17.6,10.2,22.6,32.8,12.9,6.4,2.4,70.3,2013
Louisville,18,41.4,24.7,56.3,0.438,4.9,15.6,0.313,15.9,22.2,0.718,12.5,17.6,12.9,23.6,36.4,14.8,10.1,4.9,70.2,2013
Canisius,18,40.3,23.8,54.1,0.44,9.1,23.9,0.381,13.4,19.3,0.695,14,16.6,11.8,22.1,33.8,12.2,6,3.3,70.1,2013
Kansas State,18,40,25.3,55.4,0.457,7.8,20,0.389,11.6,15.9,0.728,10.8,19.7,10.7,19.8,30.6,16.9,6.9,3.1,70.1,2013
Kentucky,18,40.6,24.8,53,0.468,5.3,15.9,0.334,15.2,23.6,0.644,13.5,17.9,10.8,25.9,36.8,12.1,4.4,6.3,70.1,2013
New Mexico State,18,40.6,25.1,53.3,0.47,3.7,12.2,0.306,16.2,24.2,0.669,13.6,14.4,12.4,24.6,37,12.1,5.6,6.5,70,2013
Southern,18,40,23.6,53.2,0.443,7,18.4,0.381,15.8,23.7,0.669,9.9,16.2,8.9,26.3,35.2,10.7,7.3,4.3,69.9,2013
San Francisco,16,40,24.3,53.4,0.455,8.8,21.4,0.411,12.5,17.6,0.712,11.8,17.6,6,22.4,28.4,12.5,5.6,2.5,69.9,2013
Chattanooga,18,40.6,23.7,56.7,0.419,5.4,16.9,0.322,17,25.2,0.674,12.3,16.9,11.9,24.1,36.1,11.7,6.3,1.8,69.9,2013
Akron,16,40.3,25.3,57.2,0.442,6.8,20.3,0.332,12.5,19.4,0.645,13,17.8,13.2,23.8,36.9,14.6,7.1,4.9,69.9,2013
Arkansas-Pine Bluff ,18,40.3,25,57.6,0.434,6.4,18.8,0.339,13.4,20.9,0.644,13.9,17.4,12.2,23.4,35.6,15.1,10.3,3.4,69.8,2013
DePaul,18,40.8,26.1,61.7,0.422,5.1,16.6,0.305,12.6,17.6,0.718,13.7,19.7,11.4,19.6,31,13.5,7.5,3.6,69.8,2013
Drake,18,40.8,23.8,54.3,0.438,8.3,22.9,0.361,13.8,18.8,0.734,14.7,19.1,8.4,23.8,32.2,12.6,5.3,2.2,69.6,2013
Boston University,16,40.3,25.5,55.4,0.46,8.2,22.2,0.371,10.2,14.1,0.724,11.8,17,8.1,23.1,31.1,14.1,7.2,1.6,69.4,2013
Jacksonville,18,41.1,24.5,57.4,0.427,5.3,14.9,0.354,15.1,20.6,0.735,14.2,19.1,11.3,25.5,36.8,13.8,6.1,2.9,69.4,2013
Connecticut,18,41.9,23.7,55.1,0.43,6.9,19.7,0.353,15.1,20.2,0.745,12.5,16.5,9.6,24.2,33.8,13.9,6.7,4.1,69.3,2013
George Mason,17,40.3,24.6,56.1,0.439,5.1,15,0.341,15,20.6,0.726,12.1,20.7,11.8,22.5,34.4,13.6,7.5,3.4,69.3,2013
Marshall,16,40,24.1,55.2,0.437,6.4,21.4,0.301,14.6,23.8,0.612,15.9,19.8,12.6,21.4,33.9,14.4,6.9,5.1,69.2,2013
Northern Arizona,20,41,25.4,55.5,0.459,5.4,15.7,0.345,12.9,19.1,0.675,13.7,17.9,9.2,22.5,31.8,14.2,7.2,2.2,69.2,2013
Portland State,20,40.3,25.2,55.6,0.454,5.4,13.6,0.397,13.3,18.1,0.735,10.8,16.4,10.2,21,31.2,13.8,5.2,2.8,69.2,2013
Harvard,14,41.1,22.4,45.2,0.496,6,15.4,0.391,18.3,26,0.703,12.6,15.6,6,20.6,26.6,12.3,7.2,4.9,69.1,2013
Stony Brook,16,40,24.5,53.2,0.461,5.8,16.2,0.358,14.3,20.6,0.696,11.4,16.4,9.7,27.5,37.2,13,5.4,3.4,69.1,2013
William & Mary,18,41.1,24.3,52.4,0.463,8.4,21.7,0.387,12.2,17.2,0.709,12.7,15.4,8.8,22.4,31.2,14.9,5.3,2.9,69.1,2013
Florida International,20,39.8,24.1,54.8,0.441,6.7,20.1,0.333,14,19.8,0.709,15.2,18.8,9.8,20.2,30.1,11.1,9.7,2.9,69,2013
Richmond,16,40.6,22.6,52.6,0.43,8.2,22.6,0.366,15.4,21.6,0.714,11.2,20.6,8.4,19.7,28.1,12.4,6.2,4.5,68.9,2013
Montana State,20,41,23.6,55,0.429,6.8,20.4,0.333,14.9,20.4,0.731,11.2,17.1,9.6,20.6,30.1,11.4,7.2,1.8,68.8,2013
Southern Utah,20,40.5,23.4,58,0.404,5.6,16.2,0.345,16.4,22.2,0.741,13.8,24.2,12.4,24.9,37.4,12.7,4.8,5.1,68.8,2013
Loyola (MD),18,40.5,24.1,53.7,0.449,4.2,12.4,0.336,16.4,24.1,0.681,11.2,18.6,11,20.6,31.6,13,7.1,4.1,68.8,2013
UC Irvine,18,40.3,25.4,57.8,0.439,7.3,20.9,0.347,10.7,15.4,0.697,12.2,16.6,10.2,24.9,35.2,15.2,4.9,3.8,68.8,2013
Campbell,17,41.2,25.4,57.4,0.442,4.4,12.9,0.336,13.7,18.3,0.749,14.1,18.6,11.1,21.8,32.9,13.7,7.8,4,68.8,2013
Miami (FL),18,40,25.2,54.8,0.46,7.1,19.6,0.36,11.2,16.9,0.662,11.1,15.4,9.4,25.8,35.1,11.5,5.7,4.8,68.7,2013
Lafayette,14,40,24.6,53.4,0.461,7.9,20.6,0.381,11.6,15.6,0.74,9.6,13.2,6.7,21.5,28.2,13.8,6.8,3.1,68.7,2013
Longwood,16,40,25.2,55.7,0.452,5.1,15.6,0.329,13.2,17.6,0.748,14.2,15.7,8.1,21.2,29.2,14.6,6.8,2.8,68.7,2013
Idaho,18,40.3,23.6,49.6,0.475,6.8,17.2,0.395,14.7,19.5,0.755,13.6,16.1,8.7,23.5,32.2,12,4.2,2.7,68.6,2013
Buffalo,16,40.3,23.4,51.1,0.457,5.8,17.9,0.325,16,22.4,0.715,14.9,17.3,10.6,23.4,34,14.4,5,4.2,68.6,2013
Boise State,16,40.3,24.2,54.7,0.442,7.2,19.2,0.375,13,17.2,0.756,12.1,19.2,8.9,22.5,31.4,11.4,5.5,1.6,68.6,2013
Texas State,18,40.3,23.6,57.7,0.409,7.3,21.6,0.337,14.1,20.6,0.684,13.3,18.5,10.1,20.9,30.9,11.1,7.6,2.7,68.6,2013
Elon,18,40.3,24.4,53.8,0.454,7.7,21.9,0.35,12.1,16.6,0.726,11.6,16.7,7.5,24.1,31.6,13.3,6.3,3.1,68.5,2013
Tulsa,16,40.9,22.9,54.2,0.422,6.4,18.8,0.342,16.3,23.6,0.692,13.6,19.3,9.9,25.4,35.3,13.4,6.4,3.2,68.5,2013
UNC Greensboro,18,40,24.2,57.8,0.418,6.8,19.5,0.35,13.2,19.2,0.688,12.9,21.7,9.4,23.9,33.4,11.3,7.4,1.5,68.4,2013
Tennessee,18,41.1,23.4,53.4,0.438,5.4,15.4,0.349,16.2,22.8,0.71,13.2,18.6,12,23.8,35.8,11.1,4.3,3.9,68.4,2013
Toledo,16,40.3,23.6,55.2,0.428,6,17.9,0.336,15.1,20.1,0.754,10.6,16.6,9.1,22.8,31.9,13.6,6.7,3.3,68.4,2013
Mercer,18,40.6,22.9,50.4,0.454,7.3,20.4,0.359,15.2,20,0.761,12.1,18.1,8.1,22.7,30.7,14.4,6.6,4,68.3,2013
Marquette,18,41.1,23.6,51.3,0.459,4.3,15.1,0.287,16.8,23.2,0.725,13.2,16.7,11.3,22.9,34.2,13.9,5.9,3.6,68.3,2013
South Alabama,20,40.5,22.2,54.4,0.409,5.7,17.6,0.322,18.1,25.6,0.708,15.4,18.7,12.3,24.6,36.9,10.2,6.5,5.3,68.2,2013
Morgan State,16,40.6,25.7,54.8,0.469,4.8,13.9,0.342,12.1,21.2,0.572,15.3,17.4,13.2,22.8,36,13.6,6.7,4.9,68.2,2013
Western Carolina,18,40.5,24.7,58.1,0.426,5.6,16,0.347,13.2,18.3,0.723,11.4,18.9,12.1,22.1,34.1,10.6,6.8,2.6,68.2,2013
North Dakota,20,40.3,23.2,55.6,0.418,6.1,18.2,0.335,15.6,21.4,0.731,12.3,16.1,10.1,22.6,32.6,11.5,8.2,3.4,68.2,2013
Jacksonville State,16,40,23.4,50.1,0.467,6.2,16.2,0.382,15.2,22.6,0.673,12.1,17.1,8.8,16.9,25.8,13.5,9.1,4.4,68.1,2013
Pacific,18,40,23.3,52.4,0.444,6.8,17.6,0.388,14.7,21.1,0.699,11.2,18.9,9.7,21.8,31.6,15.4,6.7,1.4,68.1,2013
Western Kentucky,20,40,23,53.5,0.43,7,20.4,0.341,15.1,21.2,0.708,14.1,18.6,11.8,22.4,34.2,11.6,5.7,3.1,68,2013
Evansville,18,40.8,24.4,57,0.428,5.6,15.6,0.359,13.6,17.8,0.766,10.9,18,9.6,22.3,31.9,16.4,5.4,3.5,68,2013
UAB,16,40.3,25.2,59.1,0.426,6.4,19.7,0.324,11.2,16.1,0.698,14.7,18.8,12.8,22.8,35.6,15.6,6.8,3.1,68,2013
Wichita State,18,40,24.1,54.9,0.439,7.2,20.2,0.355,12.6,18.1,0.693,12.3,17.6,11.9,24.2,36.1,13.6,7.2,4,67.9,2013
Oregon State,18,40,24.7,57.3,0.431,5.7,16.4,0.345,12.9,19.2,0.675,13.1,15.7,11,22.7,33.7,13.3,5.4,3.9,67.9,2013
Arkansas State ,20,40.8,21.9,54.9,0.398,6.4,20.4,0.313,17.8,25.6,0.695,12.6,17.9,12.1,23.9,36,10.1,7.8,2.7,67.9,2013
North Florida,18,40,24.3,55.4,0.439,7.8,23.1,0.34,11.4,17.4,0.655,13.2,16.5,10.9,21.9,32.8,13.7,6.1,3.6,67.9,2013
USC,18,40.6,25.1,57.8,0.434,5.6,15.6,0.361,12.1,17.2,0.703,13.4,18.4,9.5,25.1,34.6,12.4,5.6,5.2,67.8,2013
Mississippi Valley State,18,40.3,22.4,57.4,0.39,6.7,20.5,0.325,16.3,24.3,0.671,14.4,20.1,11.2,21,32.2,10.6,7.3,2.8,67.8,2013
LSU,18,41.1,24.4,58.4,0.419,7.1,20.9,0.34,11.7,17.6,0.668,13.7,18.7,11.2,23.3,34.6,13.5,8,3.1,67.7,2013
Norfolk State,16,40,24.2,55.7,0.435,4.6,15.1,0.307,14.6,23.8,0.612,14.8,17.9,11.2,24.6,35.8,11.8,7.9,4.8,67.7,2013
Lehigh,14,40,24.2,54.7,0.443,6.9,19.1,0.36,12.4,18.4,0.671,9.1,14.1,7.9,23.7,31.6,13.4,7,3.1,67.6,2013
San Diego State,16,40.3,24.9,57.4,0.433,5.6,18.2,0.306,12.3,18.4,0.67,11.2,15.6,10.9,24.7,35.6,11.7,6.4,4.3,67.6,2013
New Mexico,16,40.3,22.9,52.6,0.435,6.5,18.2,0.356,15.3,22.1,0.694,10.4,15.1,8.4,25.7,34.1,15.2,6.4,3.9,67.6,2013
North Dakota State,16,40,25.7,51.6,0.498,7.4,19.9,0.373,8.7,13.3,0.653,9.9,14.2,8.4,24.7,33.1,13.6,5.7,3.6,67.5,2013
Michigan State,18,40,24.2,53.2,0.454,5.3,14.6,0.366,13.8,19.6,0.705,11.9,15.8,10.2,24,34.2,13.2,7.9,3.1,67.5,2013
Yale,14,40.4,22.1,49.6,0.447,5.7,15.2,0.376,17.5,23.4,0.749,13.4,18.3,10.4,22.1,32.6,12.6,5.6,3.1,67.5,2013
Youngstown State,16,40.9,23.1,55.6,0.416,6.9,20.4,0.34,14.2,20.1,0.708,11.6,17.1,8.3,23.1,31.4,12.8,6.8,4.8,67.4,2013
Jackson State,18,40.8,23.1,56.6,0.407,5.5,18.2,0.302,15.8,21.8,0.723,11.6,18.7,9.1,22.7,31.8,8.8,8.1,2.3,67.4,2013
