Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Tennessee-Martin,16,40.0,28.8,55.1,.523,6.6,17.5,.375,19.1,27.2,.701,12.6,19.4,10.2,23.8,33.9,16.5,6.4,4.4,83.2
Southeast Missouri State,16,40.9,26.7,58.9,.453,9.2,22.5,.411,20.5,27.6,.744,11.5,19.8,9.6,22.6,32.2,14.2,7.1,2.1,83.1
Virginia Military,16,41.9,29.9,68.7,.435,6.3,17.4,.362,15.9,21.9,.726,11.5,19.2,13.8,26.9,40.6,13.4,5.7,3.7,82.0
Northwestern State,18,40.6,27.6,62.5,.442,7.6,20.5,.371,18.1,26.4,.686,15.2,21.1,13.0,23.5,36.5,14.9,6.1,2.8,80.9
Niagara,20,40.0,26.9,54.9,.491,7.1,17.2,.412,19.4,27.1,.715,14.8,21.0,10.6,24.9,35.5,15.3,5.7,4.2,80.4
Central Arkansas,18,40.0,27.6,58.0,.475,5.1,14.9,.343,20.2,28.7,.702,14.3,19.6,12.8,26.8,39.7,15.5,6.8,2.9,80.4
Austin Peay,16,40.6,28.8,59.9,.481,8.2,22.0,.375,14.3,19.5,.734,13.5,21.6,11.1,22.1,33.2,16.2,7.0,3.2,80.2
UNC Asheville,16,40.3,27.6,61.8,.447,7.7,19.6,.392,16.8,25.1,.671,12.6,21.3,11.4,22.5,33.9,15.4,7.1,4.5,79.8
USC,18,40.6,26.9,59.8,.450,6.9,20.1,.345,18.9,26.3,.719,10.7,17.8,11.4,25.3,36.8,15.0,8.1,4.9,79.7
Cal State Northridge,16,41.9,26.6,59.2,.450,7.7,22.4,.344,18.4,25.9,.710,13.0,21.5,11.7,22.8,34.4,14.4,6.0,3.9,79.3
Quinnipiac,20,40.5,27.8,65.2,.426,6.5,18.8,.343,17.1,24.0,.713,7.8,23.9,12.1,21.9,34.0,12.8,6.0,5.3,79.2
Longwood,16,40.0,26.6,55.4,.481,7.8,20.8,.377,18.1,23.2,.779,12.4,14.5,10.1,24.9,35.0,15.6,5.9,4.8,79.1
DePaul,18,40.8,26.6,52.2,.509,6.8,16.8,.404,19.1,27.1,.706,12.3,19.6,9.0,24.6,33.6,14.8,6.9,4.9,79.0
Presbyterian,16,40.0,29.4,61.6,.477,8.4,21.4,.391,11.9,16.7,.712,9.5,15.9,11.6,25.4,37.1,13.9,7.1,2.9,79.0
