Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Virginia Military,16,41.9,31.1,69.1,0.45,8.7,26.4,0.329,16.8,23.8,0.706,10.4,17.2,14.4,27.2,41.6,13.8,6.2,6.6,87.8,2014
Northwestern State,18,40.6,30.6,62.4,0.489,5.9,15.4,0.381,19.7,25.6,0.77,13.6,20.2,11.1,24.8,35.9,17.7,8.2,4.9,86.7,2014
Iona,20,40.2,29.1,59.1,0.492,10.5,26.1,0.402,17.5,24.4,0.717,10.5,17.4,8.3,24.3,32.6,18,7.2,4.1,86.1,2014
UNC Asheville,16,40.3,27.9,58.7,0.476,7.4,18.9,0.394,19.9,26.7,0.747,13.6,19.4,10.4,27.4,37.8,13.7,7.2,6.2,83.2,2014
Southeast Missouri State,16,40.9,30.1,58.8,0.512,5.8,17.1,0.336,16.9,24.6,0.685,14.1,21.2,10.1,25.8,35.8,16.5,7,4,82.9,2014
Murray State,16,40.6,28,56.9,0.492,8.2,20.9,0.392,18.5,27.4,0.674,12.1,17.6,11.9,24.8,36.8,13.6,5.8,3.7,82.7,2014
Brigham Young,18,40.8,27.9,58.6,0.477,5.3,13.9,0.384,20.8,30.1,0.691,11.1,19.7,12.6,24.9,37.5,15.3,7.1,2.9,82,2014
Belmont,16,40,28.1,53.9,0.522,9.1,21.5,0.422,16.6,22.9,0.727,12.4,20.3,7.9,21.8,29.8,15.6,6.6,2.4,81.9,2014
Canisius,20,41.2,27.4,58.5,0.469,8.3,21.6,0.384,18.1,24.1,0.753,11.4,18.2,10.4,21.9,32.4,13.8,7.1,4.4,81.3,2014
Quinnipiac,20,40.5,25.9,60.8,0.426,6,15.7,0.385,23.4,32.6,0.717,12.5,19.8,16.8,28.1,45,13.3,3,5.1,81.2,2014
Davidson,16,40.3,28.2,53.4,0.529,9.1,19.8,0.462,15.4,20.7,0.743,11.8,18.2,7.8,25.1,32.8,15.4,4.9,1.8,81,2014
Kansas,18,40.3,28.1,56.1,0.5,6.1,16.8,0.363,18.7,25.7,0.728,13,20.9,11.9,25.5,37.4,15,6.1,5.4,80.9,2014
Louisville,18,40,28.2,58.8,0.48,8.1,20.5,0.396,15.2,23.2,0.653,11.2,20.3,11.6,22.7,34.2,16.2,10.3,4.7,79.7,2014
Louisiana-Lafayette ,18,41.1,27.1,58.9,0.46,6.7,18.4,0.364,18.6,27.2,0.685,13.3,21.2,13,23.5,36.5,13,7.3,4.3,79.6,2014
UCLA,18,40.6,27.8,60.4,0.46,6.7,17.2,0.39,17,22.5,0.756,10.3,19,10.4,24.5,34.9,16.5,8.8,2.6,79.4,2014
Radford,16,40.3,27.6,57.3,0.481,5.8,17.4,0.335,18.4,24.7,0.744,10.6,18.3,9.8,24,33.8,12,6.1,4.5,79.3,2014
Eastern Kentucky,16,40,25.9,51.8,0.5,9.2,22.4,0.409,18.2,23.8,0.768,11.4,21.1,6.9,16.9,23.8,14.3,7.6,1.8,79.2,2014
Oklahoma,18,40.3,26.3,60.1,0.437,9.2,23.9,0.383,17.3,22.4,0.772,10.8,18.1,10.4,24.9,35.4,14.1,6.3,2.7,79,2014
New Mexico State,16,40.3,26.6,53.6,0.497,5.7,15.4,0.368,19.9,29.8,0.669,12.2,17.1,11.9,25,36.9,13.5,4.8,7.1,78.9,2014
Iowa State,18,41.1,28.2,62.6,0.451,7.5,23.6,0.318,14.8,21.8,0.681,10.7,17.9,9.9,26.4,36.3,18.1,6.3,3.1,78.8,2014
Mount St. Mary's,16,40.3,26.8,60.4,0.443,9.1,25.2,0.361,15.8,20.4,0.773,12.2,18.3,10.2,22.2,32.4,12.2,7.4,3.9,78.4,2014
Iowa,18,40.3,26.8,57.8,0.464,5.4,15.8,0.345,19.2,26.4,0.725,11.3,18.8,12,24.2,36.2,14.8,7.2,4.7,78.3,2014
Hawaii,16,40.6,27.8,59.8,0.465,5.4,17.1,0.315,16.9,22.7,0.747,10.9,19,13,22.8,35.8,14.1,5.5,2.4,77.9,2014
Creighton,18,40,27.2,54.6,0.499,9.6,23.6,0.408,13.8,18.7,0.741,9.6,18.1,7.4,24.9,32.4,17.3,3.7,1,77.9,2014
Cal State Northridge,16,41.9,24.7,55.9,0.441,4.3,11.8,0.365,24.1,29.8,0.809,12.4,20.6,10.1,24.6,34.7,14.1,6.7,2.5,77.8,2014
Georgia State,18,40.6,25.9,55.4,0.468,7.6,19.7,0.384,18.3,23,0.795,8.1,17.3,7,23.3,30.3,12.9,8.3,4.6,77.7,2014
East Tennessee State,18,40,25.3,58.6,0.432,8.9,22.8,0.39,18.2,23.3,0.781,10.3,18.8,10.2,23.5,33.7,12.8,7.7,2.7,77.7,2014
Stephen F. Austin,18,40,27.1,57.2,0.474,7.3,20.4,0.357,16,21.9,0.729,11.7,20.4,13.2,21.1,34.3,18.2,7.6,3.6,77.5,2014
Incarnate Word,14,40.4,26.9,56.6,0.475,7.1,18.9,0.375,16.7,24.1,0.694,13.1,19.2,9.9,23.9,33.9,14.4,6.9,3.6,77.5,2014
Tennessee-Martin,16,40,26.8,59.5,0.451,7.9,21.4,0.368,15.8,21.3,0.742,11.6,20.8,11.1,20.1,31.2,14.2,8.1,2.9,77.4,2014
Delaware,16,40,26.1,59.9,0.436,6.6,20.7,0.32,18.5,27.1,0.684,8.1,18.1,10.8,25.9,36.6,9.8,6,3.9,77.4,2014
Villanova,18,41.1,25.7,54.6,0.471,9.3,23.8,0.39,16.5,23.1,0.714,11.5,19.2,9.7,24.1,33.8,15.1,6.4,3.4,77.2,2014
Louisiana Tech,16,40,26.1,59.8,0.436,7.4,24.2,0.304,17.3,25.5,0.679,11.3,18.8,12.4,24.8,37.2,16,9.4,4.3,76.8,2014
Sam Houston State,18,40.6,25.9,55.3,0.468,6.9,18.5,0.372,18.1,27.6,0.656,12.3,22.3,11.9,22.7,34.6,16.7,6.3,2.7,76.8,2014
Manhattan,20,40.8,25.6,55.4,0.463,6.2,16.6,0.375,19.2,30.9,0.623,14.4,23.4,11.8,24.9,36.8,13.3,8.8,6.6,76.8,2014
Toledo,18,40.6,26.3,58.1,0.453,5.9,16.9,0.351,18.1,24.8,0.731,11.2,18.3,11.5,22.8,34.3,14.4,7,2.9,76.7,2014
Oregon,18,40.8,25.6,59,0.434,7.5,20.4,0.367,17.8,22.9,0.779,11.2,21.2,10.3,21.8,32.1,13.3,7.9,3.3,76.6,2014
West Virginia,18,40.6,25.2,59,0.427,7.7,20.2,0.379,18.6,25.1,0.739,9.7,20.8,11.3,22.4,33.7,12.2,6.3,3.2,76.6,2014
Eastern Washington,20,40.2,25.2,55.5,0.455,7.9,21.2,0.372,18.1,25.2,0.717,11.9,20.1,9.8,25.4,35.1,13.4,4.4,4.4,76.5,2014
Mercer,18,40.6,26.9,56.1,0.48,8.5,21,0.405,14.1,20.1,0.701,11.7,18.2,10.4,24.9,35.4,15.9,6.9,4.3,76.4,2014
Hampton,17,41.2,24.6,57.7,0.426,5.3,16.9,0.314,21.8,33.4,0.651,15.5,24.4,13.2,26.9,40.1,12.2,8.3,6,76.2,2014
Oral Roberts,18,40.6,26.3,55.1,0.477,5.3,13.4,0.397,18.3,25.2,0.728,10.6,19.8,11,23.6,34.6,13,5.4,4.9,76.2,2014
Oklahoma State,18,41.4,24.8,56.2,0.441,7,19.5,0.359,19.7,26.9,0.73,10.7,20.2,8.6,24.9,33.5,13.1,6.8,4.1,76.2,2014
Austin Peay,16,40.6,26.4,53.1,0.497,4.9,13.8,0.357,18.5,27.8,0.667,14.3,16.9,9.2,22.2,31.4,14.1,6.4,4.8,76.2,2014
Charleston Southern,16,40,26.6,59,0.451,8.8,23.4,0.374,14.1,19.8,0.71,10.8,17.5,11,23.6,34.6,12.8,6.6,2.6,76.1,2014
Jacksonville,18,40,25.3,57.1,0.444,6.5,19,0.342,18.8,25.5,0.739,13,18.3,11.6,22,33.6,12.8,7.6,3.1,76,2014
Florida Gulf Coast,18,40,27.2,57.3,0.475,5.9,17.2,0.343,15.6,22.5,0.694,12.7,18.1,10.4,26.2,36.6,13.4,6.3,3.4,75.9,2014
Texas Southern,18,41.1,25.3,53.3,0.475,6.4,17.3,0.373,18.8,27.1,0.695,13.6,16.3,9.9,25.8,35.7,12.6,4.8,3.7,75.9,2014
Arkansas,18,41.1,25,61.2,0.408,7.9,21.3,0.37,18,24.6,0.731,11.6,21.7,11,22.6,33.6,14.3,8.7,5.2,75.9,2014
Duke,18,40.3,25.3,57.7,0.438,9.3,24.4,0.382,15.9,21.6,0.74,9.3,19.7,12.4,21.2,33.7,13.5,7.1,3.1,75.8,2014
Memphis,18,40.6,28.1,57.4,0.489,5.9,16.3,0.364,13.6,20.7,0.659,14,18.8,10.7,24.4,35.2,17.9,7.9,4.2,75.8,2014
Northern Colorado,20,40.5,27.2,53.8,0.506,6,15.2,0.396,15.2,21.2,0.717,11.2,19.8,10.2,19.5,29.7,11.2,5.5,2,75.6,2014
Omaha,14,40.7,26.7,61.5,0.434,6.4,19.4,0.328,15.8,21,0.752,12.1,18.2,10.6,21.5,32.1,13.7,8.1,2,75.6,2014
VCU,16,40.6,26.1,63.3,0.413,7.3,21.1,0.346,15.7,23.1,0.68,12.7,20,13.9,24.7,38.6,13.2,10.2,4.3,75.2,2014
Chattanooga,16,40.6,23.9,56.9,0.421,5.9,17.5,0.339,21.4,29.4,0.728,12.4,18.8,13.2,24.1,37.2,11.3,6.7,6,75.2,2014
Morehead State,16,40.9,23.9,52.5,0.456,4.9,16.7,0.296,22.2,29.1,0.762,15.6,23.6,11.9,23.9,35.8,12.2,6.7,3.6,75,2014
Arkansas State ,18,40.8,24.2,53.9,0.448,8.9,22.9,0.39,17.7,23.5,0.752,12.2,18,7.9,24.3,32.2,13.2,7,2.5,74.9,2014
Buffalo,18,39.9,26.2,56.2,0.467,6.3,18.4,0.341,16.1,22.3,0.723,11.8,16.4,10.8,23.7,34.4,16,7.5,3.7,74.8,2014
Oakland,16,40.3,25.3,57.7,0.439,8.5,22.6,0.377,15.7,21.4,0.734,10.9,19.5,8.9,21.2,30.1,16.2,7,1.6,74.8,2014
Bryant,16,40,27.1,56.4,0.481,6.3,18.4,0.344,14.2,20.5,0.695,11.3,15.8,9.7,23.4,33.1,14.1,5.8,2.6,74.8,2014
