Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Lipscomb,18,40,24.2,55.2,0.438,9.5,25.8,0.369,16.9,24.7,0.685,11.6,20.8,8.7,21,29.7,13.5,6.9,1.8,74.8,2014
Fairleigh Dickinson,16,40.6,25.3,58.6,0.432,7.7,20.4,0.376,16.3,22.2,0.735,11.8,20.6,10.9,21.8,32.6,11.4,7.2,4.2,74.6,2014
Gardner-Webb,16,41.9,26.4,60.2,0.438,5.6,15.8,0.357,16.1,22.2,0.724,11.6,17.6,12.6,22.9,35.5,15.2,7,3.3,74.4,2014
Northern Iowa,18,40.3,25,54.1,0.462,9.7,24.2,0.402,14.6,19.9,0.735,9,18.2,7.9,22.3,30.3,15.2,5.6,2.3,74.3,2014
Western Carolina,16,40.9,25.8,59.1,0.436,6.8,19.6,0.345,16.1,21.6,0.743,11.8,22.3,11.9,21.5,33.4,12.4,7.6,5.2,74.3,2014
Harvard,14,41.1,24.9,50.6,0.493,6.6,15.8,0.421,17.7,24.8,0.715,10.9,17.1,7.9,22.4,30.3,14.5,7,4.6,74.2,2014
High Point,16,40.3,26.9,54.8,0.491,7.2,16,0.449,13,17.5,0.743,10.1,15.4,8.5,20.6,29.1,16.2,5.8,3.4,74.1,2014
Tulsa,16,40.6,24.9,55.4,0.45,5.2,17.5,0.3,18.9,26.6,0.713,12,19.6,11.1,26.4,37.5,12.5,7.2,4.1,74.1,2014
Fort Wayne,14,40.4,25.5,52.9,0.482,7.9,20.9,0.375,15.1,21.6,0.7,12.4,17.1,9.1,22.1,31.3,13.3,5.7,2.1,74,2014
LSU,18,40.6,26.1,60.4,0.432,6.4,19.6,0.33,15.3,22.2,0.688,13.1,18.7,12.4,24.8,37.3,13.3,7.1,5.9,73.9,2014
Wichita State,18,40.3,24.2,52.8,0.457,7.2,20.9,0.345,18.3,24.8,0.738,11.1,16.5,11.1,26,37.1,13.9,6.6,5.6,73.9,2014
North Florida,18,40.3,24.8,55.2,0.45,7.4,19.9,0.373,16.7,23.4,0.713,14.8,18.4,11.6,25.1,36.7,11.9,5.3,4,73.8,2014
St. Francis (NY),16,40.6,26.9,58.2,0.461,7.1,19.6,0.364,12.9,19.2,0.672,12.8,18.9,12.4,25.2,37.6,14.2,4.9,5.5,73.8,2014
Morgan State,16,41.2,26.1,59.1,0.442,4.6,18,0.253,16.9,27,0.627,13.4,20.2,15.2,25.8,41,14.1,5.4,5.6,73.8,2014
Grand Canyon,16,40.3,22.7,51.6,0.439,7.1,20.5,0.348,21.2,28.2,0.754,12.1,20.5,8.4,25.4,33.8,12.9,3.3,3.2,73.8,2014
Providence,18,42.2,24.2,55.7,0.434,6.7,18.4,0.361,18.7,24.5,0.764,11.9,17.9,11.2,24.3,35.5,13.8,5.1,5.4,73.7,2014
North Carolina,18,40.3,27.4,59.8,0.458,4.7,13.9,0.335,14.2,22.8,0.624,11.6,19.7,13.8,24.1,37.9,15.7,6.8,4.2,73.7,2014
SIU-Edwardsville,16,40.3,25.9,53.9,0.48,7.2,17.8,0.404,14.7,22.1,0.664,13.1,19.9,9.3,22.4,31.7,13,6.8,3,73.6,2014
Central Arkansas,18,40,26.4,59,0.448,5.9,16.8,0.35,14.8,24.5,0.605,13.6,21.2,10.7,21.2,31.8,12.2,7.7,5.1,73.6,2014
South Dakota State,14,40,24.1,53.6,0.449,6.2,17.6,0.354,19.2,24.5,0.784,10.1,18.7,9.4,25.2,34.6,13.6,5.4,2.6,73.6,2014
Winthrop,16,41,24.5,55.6,0.44,8.5,21.2,0.401,16,22.4,0.715,11.2,19.8,9.9,22.3,32.2,11,6.5,2.1,73.5,2014
North Dakota State,14,40,26.6,53.1,0.501,5.3,14.6,0.361,15,19.9,0.753,10,16.7,8.7,23.4,32.1,11.6,6.5,4.6,73.4,2014
Massachusetts,16,40,26.7,58,0.46,5.2,15.6,0.336,14.7,22.2,0.662,12.7,19.6,10.8,24.7,35.5,15.1,6.9,5.9,73.3,2014
USC Upstate,18,40.6,25.9,56.8,0.457,6.7,20.9,0.322,14.6,22.1,0.658,12.5,18.6,12.7,24.3,37,15,7.2,3.3,73.2,2014
Portland State,20,41.5,25.9,54.4,0.477,6.4,18.2,0.351,14.9,20.3,0.736,11.1,19,7.7,19.8,27.4,13.1,5.7,2.2,73.2,2014
William & Mary,16,40,25.2,52.5,0.481,9,22,0.409,13.6,19.3,0.706,8.9,15.8,6.6,23.2,29.8,14.5,4.9,2.8,73.1,2014
Gonzaga,18,40,25.3,52.7,0.481,6.6,17.2,0.382,15.8,22.1,0.716,11.7,17.4,9.2,25.7,34.8,14.4,7,4.4,73.1,2014
Michigan,18,40.3,25.2,51.6,0.488,7.9,19.6,0.405,14.8,18.9,0.78,9.5,14.1,7.6,21.6,29.2,13.7,4.6,2.3,73.1,2014
Kentucky,18,40.8,24.4,56.4,0.433,5.1,15.8,0.319,19.1,27.2,0.702,12.1,18.7,13.9,24.4,38.4,10.8,5.4,5.4,73.1,2014
North Dakota,20,40,25.1,54.2,0.464,5.9,18.1,0.327,16.8,24.4,0.69,11.5,19.9,10.4,19.6,29.9,12.7,8.2,2.6,73,2014
North Carolina Central,17,40.3,24.5,53.4,0.46,5,14.7,0.34,18.9,26.6,0.709,10.6,19.2,11.5,22.6,34.1,14.6,7.8,4.4,72.9,2014
Weber State,20,40.8,22.9,47.3,0.485,7.7,18.4,0.417,19.4,25.8,0.751,13.2,18.8,8.2,25.4,33.5,13.2,3.8,4,72.9,2014
Arizona State,18,41.4,23.5,55.2,0.426,7.7,20.3,0.378,18.2,26.2,0.696,12.4,20.8,7.7,26.2,33.9,12.4,5.3,4.8,72.9,2014
Vermont,16,40.3,25.1,51.2,0.49,6.1,14.3,0.428,16.6,22.1,0.751,11.6,16.4,9.9,26.1,36.1,14.2,8.1,4.3,72.8,2014
Samford,16,40.3,26.2,53.8,0.488,5.1,14.6,0.346,15.1,21.8,0.693,11.4,21.2,8.1,22.5,30.6,13.5,5.1,3.4,72.7,2014
Wagner,16,40.3,25.8,59.4,0.434,5.6,16,0.352,15.6,20.8,0.75,13.5,18.1,13.6,26.6,40.2,11.9,6.6,6.9,72.7,2014
Texas-Arlington,18,41.1,24.1,55.9,0.43,7.3,21.7,0.336,17.2,24.4,0.705,13.7,19.6,10.4,25.3,35.7,11.3,4.7,3,72.6,2014
Oregon State,18,40.8,24.5,52.8,0.464,6.3,15.1,0.415,17.3,25.7,0.672,13.9,19.2,10.2,24.6,34.7,12.4,3.9,4.6,72.6,2014
Niagara,20,40,25.3,59,0.428,5,16.4,0.303,17,25.8,0.66,13.1,22.6,12.7,20.7,33.4,10.2,7.2,2.5,72.5,2014
New Mexico,18,40.6,25.6,54.4,0.47,6.3,17.6,0.356,14.9,21.4,0.699,9.2,16.4,8.9,26.7,35.6,15.8,4.8,4.7,72.4,2014
Eastern Illinois,16,40,25,54.8,0.457,5.2,15.8,0.329,17.2,23.1,0.746,13.1,19.7,10.6,22.3,32.9,12.6,5.2,3.7,72.4,2014
Long Beach State,16,40,27.3,59.4,0.46,6.2,18.2,0.34,11.6,16.7,0.697,12.5,16.9,13.2,24.2,37.4,13.1,5.8,2.6,72.4,2014
George Mason,16,40.9,26.2,57.9,0.452,4.9,13,0.38,15.1,20.7,0.728,12.8,20.7,10.8,23.5,34.2,12.3,5.8,3.8,72.4,2014
Towson,16,40.3,22.9,51.5,0.444,5.2,15.2,0.342,21.4,29.4,0.728,9.1,19.5,11.2,26.2,37.4,8.1,3.7,4.1,72.4,2014
Baylor,18,40.8,24.6,58.4,0.421,8.1,22.1,0.367,15,22.5,0.667,11.6,18.8,14.4,22.7,37.2,14.2,5.4,5.5,72.3,2014
St. Bonaventure,16,40,25.1,55.6,0.452,4.8,14.9,0.324,17.2,22.6,0.765,13.5,20.1,11.6,22,33.6,13.6,7,4.5,72.3,2014
Texas A&M-CC,18,40.3,26,51.7,0.503,3.9,10,0.394,16.3,24.8,0.659,12.7,19.4,10.9,22.8,33.7,13.3,7.1,3.3,72.3,2014
Rider,20,40.8,23.5,55.1,0.426,7.7,20,0.383,17.6,24.4,0.72,13.3,20.1,10,23.1,33.1,12.1,6.3,2.9,72.2,2014
Central Connecticut State,16,40.6,26.5,58.8,0.451,6.4,17.1,0.376,12.8,17.2,0.745,14.8,16.9,9.3,24.8,34.1,13.7,6.9,5.2,72.2,2014
New Orleans,18,40,23,52.5,0.438,4.7,14.3,0.327,21.6,30.4,0.708,17.3,21.3,12.3,23.3,35.6,11.2,6.1,3.2,72.2,2014
Southern Mississippi,16,40,23.7,51.5,0.46,5.9,15.8,0.372,18.9,26.5,0.715,12.6,19.6,11.9,22.8,34.7,14.9,7.8,1.7,72.2,2014
Green Bay,16,40.3,25.6,52.9,0.483,4.2,12.7,0.335,16.8,23.8,0.706,12.2,16,10.2,24.1,34.2,14.7,6.8,6.9,72.2,2014
Michigan State,18,40.8,25.4,54.9,0.462,8.6,20.9,0.41,12.8,18.3,0.7,11.6,19.9,9.8,23.9,33.8,15.9,6.7,5,72.2,2014
Alabama State,18,41.1,24.8,59.7,0.416,5.9,19.4,0.303,16.6,24.4,0.681,12.7,17.9,13.8,23.1,36.8,12.7,6.9,3.8,72.2,2014
Idaho,16,40.9,24.4,55,0.444,6.1,18.2,0.333,17.2,25.1,0.686,12.6,20.6,10.6,24.1,34.7,11.6,4.2,1.6,72.1,2014
Coastal Carolina,16,40.3,25.1,55.6,0.451,6.2,17.1,0.366,15.8,22.4,0.702,13.2,19.4,11.1,25.1,36.1,10.6,6.3,2.6,72.1,2014
Army,18,40.1,25.4,55.4,0.458,7,19.1,0.367,14.3,20.4,0.703,12.4,18.3,9.7,22.2,31.8,13.5,6.1,3.8,72.1,2014
Marquette,18,42.2,24.2,56.3,0.43,4.9,15.3,0.322,18.7,26.2,0.713,11.8,20.3,11.3,22.8,34.1,14.5,5.8,2.8,72.1,2014
Portland,18,41.1,25.2,56.1,0.449,6.4,15.6,0.414,15.1,21.1,0.716,11.6,20.3,10.6,23.4,34.1,15.2,5.6,4,71.9,2014
McNeese State,18,40.6,24.7,58.2,0.424,6.4,20.4,0.316,16.1,23.7,0.681,12.7,18.5,13,23.2,36.2,13.2,7,4.2,71.9,2014
Boise State,18,41.1,24.8,56.5,0.44,7.8,21.7,0.361,14.4,19.4,0.74,9.8,19.3,10.8,22.4,33.2,11.3,4.6,1.8,71.9,2014
Ole Miss,18,40.3,24.5,61,0.402,7.6,23.5,0.324,15.3,21.4,0.714,11.1,18.5,12.9,21.9,34.9,12,7.3,4.5,71.9,2014
Robert Morris,16,40.3,24.8,56.7,0.437,6.9,18.4,0.376,15.4,20.5,0.753,10.2,15.2,11.2,23.4,34.6,11.2,8.1,1.8,71.9,2014
Wisconsin,18,40,23.5,52.4,0.448,7.1,20.2,0.352,17.7,23.6,0.752,7.9,15.1,8.1,23.4,31.4,11.3,5,3.4,71.8,2014
Texas,18,40,24.9,58.9,0.424,4.9,16.1,0.303,17.1,24.3,0.703,12.2,18.7,14.8,25.2,40.1,12.4,5.1,5.4,71.8,2014
George Washington,16,40,25,54.2,0.461,5.6,15.9,0.349,16.2,25.4,0.639,13.2,18.4,11.4,25.9,37.3,13.9,5.9,3.1,71.8,2014
Marist,20,40.8,24,56.2,0.427,7,19.1,0.364,16.9,22.9,0.736,11.7,19.5,10.2,23.1,33.3,11.3,6.8,3.7,71.8,2014
Elon,16,40.3,25.3,54.8,0.462,7,20.3,0.345,14.1,19.5,0.724,11.7,15.6,9.4,23.4,32.9,13.5,4.3,2.8,71.8,2014
Fresno State,18,40.8,24.3,57.4,0.423,8.2,21.8,0.377,14.9,20.1,0.742,8.6,19.8,9.6,23.5,33.1,11.5,6.2,4.1,71.7,2014
California,18,40.8,26.1,58.3,0.448,5.3,14.7,0.364,14.1,20.8,0.679,10.1,18.1,8.9,24.5,33.4,14.9,5.1,4.4,71.7,2014
Western Michigan,18,40.8,23.8,49.1,0.485,5.7,16.4,0.348,18.4,25.4,0.723,16.1,17.4,9,23.9,32.9,11.8,6.3,3.7,71.7,2014
UC Santa Barbara,16,40.6,23.9,52.1,0.459,6.5,17.3,0.375,17.2,24.3,0.71,11.3,18.2,10.7,25.7,36.4,15.3,4.6,4.8,71.6,2014
Arizona,18,40.8,25.6,57,0.449,4.8,14.6,0.331,15.4,23.8,0.65,10.1,16.9,12,25.1,37.1,14.8,6.2,3.8,71.5,2014
Southern,18,40,25.6,55.1,0.465,5.8,15.7,0.369,14.3,21.7,0.662,13.1,19.1,10.9,27.2,38.1,12.9,6,5.6,71.3,2014
Florida,18,40.3,24.2,52.1,0.464,7.7,21.5,0.357,15.3,22.4,0.685,11.1,16.3,10.7,23.6,34.3,14.4,7,2.9,71.3,2014
San Francisco,18,40.6,24.7,53.4,0.462,6.2,17.2,0.358,15.7,23.9,0.657,10.6,18.4,10.3,25.3,35.7,13.7,4.4,2.7,71.2,2014
Youngstown State,16,40.9,24.2,52.9,0.457,7.1,19.9,0.354,15.8,21.5,0.733,11.4,17.8,7,22.2,29.2,14.9,5.5,1.9,71.2,2014
Sacramento State,20,40.5,25.6,53.2,0.48,5.9,15.6,0.379,14.2,19.5,0.726,10.6,20.6,9.2,21.1,30.4,13.8,4.8,1.4,71.2,2014
Xavier,18,40,24.8,52.6,0.472,5.1,14.7,0.345,16.4,22.6,0.727,12.1,18.7,9.7,23.8,33.6,15,5.2,2.2,71.1,2014
Boston University,18,40.6,25,55.7,0.449,8.3,21.3,0.392,12.8,17.6,0.726,11.9,16.1,9.4,24.2,33.6,13.7,7.2,2.5,71.1,2014
Stanford,18,40.3,24.1,54.8,0.44,5.3,15.7,0.34,17.6,25.4,0.69,10.9,18.4,10.3,23.2,33.5,10.9,5.3,3.7,71.1,2014
St. John's,18,41.1,26.1,58.8,0.444,4.3,12.7,0.341,14.4,20.3,0.71,11.3,19.4,10.8,24.2,35,12.8,7,6.2,71,2014
Siena,20,41,24.1,56.4,0.428,4.2,12.9,0.329,18.5,25.1,0.736,14.1,22.5,13.1,24.1,37.1,14.1,5.3,5,71,2014
Pacific,18,40.3,23.4,55.1,0.424,7,19.3,0.363,17.2,22.3,0.771,11.9,24.1,10.8,23.5,34.3,12.1,5.1,2,70.9,2014
UC Riverside,16,41.3,24.3,54.9,0.443,4.5,14.9,0.301,17.8,24.1,0.74,12.8,19.2,9.2,23.1,32.3,12.2,5.9,4.5,70.9,2014
Washington,18,40,26.1,58.2,0.448,5.6,17.2,0.326,13.1,17.7,0.742,11.4,18.7,10.3,23,33.3,13.6,5.1,2.2,70.8,2014
Missouri,18,40.3,22.8,52.3,0.436,5.7,16.7,0.339,19.6,25.8,0.759,11.9,20.1,10.5,23.9,34.4,10.1,4.3,3.2,70.8,2014
Tennessee State,16,40.3,23.9,53.4,0.448,5.5,16.3,0.337,17.4,24.7,0.704,11.8,20.5,11.5,20.4,31.9,10.6,5.6,2.3,70.8,2014
Connecticut,18,40.3,23.6,55.1,0.428,6.7,19.2,0.347,16.9,22,0.77,11.2,18.5,10.3,24.4,34.7,12.2,7.3,5.6,70.7,2014
Cleveland State,16,40.3,25.1,53.1,0.472,7.6,18.1,0.417,12.9,17.6,0.734,11.8,17.7,9.9,22.9,32.8,14.9,5.3,3.4,70.6,2014
Kansas State,18,40.8,24.6,55.5,0.443,6.1,17.2,0.355,15.2,22.6,0.673,12.6,22.6,10.9,23.1,34,15.6,5.6,3.3,70.6,2014
Troy,18,40.2,23.3,54.8,0.425,8.3,22.2,0.376,15.6,24,0.648,12.6,16.4,12.4,22.6,35.1,10.7,5.3,2.1,70.4,2014
Ohio,18,41.1,25.6,54.8,0.466,7.9,21.7,0.366,11.4,16.4,0.695,13.2,18.7,8.5,24.1,32.6,14.8,6.7,3.8,70.4,2014
Utah,18,40.8,24.5,52.8,0.464,5.9,17.1,0.345,15.4,20.8,0.741,12.6,18.4,8.3,23.3,31.7,13.7,6.7,4.3,70.3,2014
Montana,20,41.2,23.4,49.6,0.473,7.3,19.4,0.377,16.1,21.4,0.751,9.9,20,7.5,19.2,26.7,11.3,4.8,2.4,70.3,2014
Tennessee Tech ,16,40,23.7,51.9,0.457,5.5,16,0.344,17.4,25.4,0.683,14.9,22,10.6,22.3,32.9,12.9,6.3,4.9,70.2,2014
Seattle,16,40.9,24.6,60,0.41,7.5,22.6,0.331,13.4,20.7,0.647,14.6,23.2,14.7,23.3,38,12.4,6,3.3,70.1,2014
Houston,18,40,24.9,54.5,0.457,7,18.5,0.378,13.3,20,0.667,12.9,18.8,9.7,23,32.7,15.2,4.7,4.9,70.1,2014
Idaho State,20,40.5,23.4,52.6,0.446,5.8,16.4,0.358,17.4,24.3,0.714,12.1,18.2,11.5,22.9,34.4,11.6,6.1,2.6,70.1,2014
Chicago State,16,41.2,24.6,58.3,0.422,6.9,20.2,0.34,13.9,20.3,0.686,12.2,23.2,10.3,21.4,31.8,11.3,9.3,2.8,70.1,2014
Pepperdine,18,40.3,24.1,55.6,0.433,6.2,17.9,0.345,15.8,21.9,0.721,12.1,19.4,10.4,22.9,33.3,13.4,5.4,4.1,70.1,2014
Prairie View A&M,18,41.9,23.7,57.9,0.41,7.6,20.9,0.361,15.1,24.2,0.622,14,21.9,11.7,22.9,34.6,9.9,7.7,2.6,70.1,2014
