Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Northwestern State,18,40,29.5,62.3,0.473,8.7,21.8,0.399,18.1,23.7,0.763,11.6,19.1,10.3,22.4,32.7,15.1,7.1,4.6,85.8,2015
Stephen F. Austin,18,40,29.3,55.8,0.525,7.9,19,0.415,18.2,25.1,0.727,13.4,21.4,11.4,22.2,33.6,19.7,7.5,3.4,84.7,2015
Brigham Young,18,40,26.8,57.9,0.464,8.1,21.1,0.382,19.4,24.9,0.777,10.7,20.3,11.6,25.7,37.2,16.2,7.1,3.2,81.1,2015
Eastern Washington,18,40.6,27.3,58.8,0.464,9.9,25.2,0.392,15.9,21.4,0.744,10.6,17.1,9.7,23.7,33.3,13.4,6.1,4.9,80.4,2015
Murray State,16,40.5,27.4,57.9,0.473,7.1,18.9,0.373,17.3,25,0.693,10.9,17.9,12.5,26.9,39.4,15.1,6.6,3.4,79.1,2015
North Florida,14,40,26,55.6,0.468,9.4,23.1,0.406,17.6,22.4,0.783,10.2,15.6,10.4,24.2,34.6,13.8,5.9,4.5,78.9,2015
Duke,18,40.6,27.8,57.3,0.485,7.9,19.9,0.399,15.2,21.9,0.691,11.4,15.6,11.8,24.7,36.5,14.8,6.4,3.8,78.8,2015
Virginia Military,18,41.1,25.9,67.5,0.384,11.1,34.9,0.316,15.4,23,0.671,13.9,21.3,13.4,23.5,36.9,12.5,8.9,5.8,78.4,2015
Incarnate Word,18,40.8,26.2,55.1,0.476,6.5,17.4,0.374,18.8,25.5,0.739,10.9,17.7,8.9,22.9,31.8,12.8,7.3,4.1,77.8,2015
Iowa State,18,40,27.4,57.2,0.479,7.8,20.3,0.386,14.7,21.7,0.677,11.5,16.4,9.1,26.3,35.4,15.4,5.2,4.4,77.3,2015
Davidson,18,40.3,27.4,58.1,0.471,10.6,26.8,0.394,11.8,16.7,0.707,9.2,17.2,9.1,23.9,33.1,17.1,5.6,2.7,77.1,2015
Arizona,18,40,27.1,55.8,0.485,4.4,12.9,0.341,18.4,25.1,0.734,10.9,18.4,11.3,25.2,36.6,13.3,6.3,3.6,76.9,2015
Villanova,18,40.3,24.5,52.9,0.463,10,25,0.4,17.7,23.9,0.738,10.7,16.9,9.8,23.6,33.4,15.9,6.7,3.8,76.7,2015
Iona,20,40.2,26.6,57.5,0.462,9.3,23.8,0.392,14.2,19.9,0.711,12.4,17.1,9.8,25.6,35.4,15.9,6.8,3.2,76.5,2015
Charleston Southern,18,40.8,25.5,59.8,0.427,9.8,26.9,0.366,15.7,20.9,0.75,9.8,16.1,12.4,21.9,34.3,12.6,7.1,2.3,76.5,2015
Idaho,18,41.1,26.7,56.6,0.472,7.9,19.3,0.409,15.1,21.7,0.695,11.8,20.9,9.9,25.4,35.4,13.7,4.6,2.3,76.3,2015
Coppin State,16,40,25.5,60.9,0.418,9.4,25.9,0.364,15.6,22.1,0.708,11.9,20.9,9.1,21.6,30.6,13.2,5.9,2.9,76.1,2015
Louisiana-Lafayette ,20,40.5,26.2,59.3,0.442,7.3,20.6,0.355,16.3,22.4,0.726,13.1,18.1,12.4,26.4,38.8,13.6,5.8,3.6,76,2015
