Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
UCLA,18,40.0,33.2,65.3,.509,9.7,23.9,.405,12.0,16.2,.740,10.7,16.2,9.6,27.8,37.4,20.4,6.2,4.6,88.1,2017
Savannah State,16,40.0,29.1,71.5,.406,12.1,40.7,.296,16.1,24.1,.668,13.4,19.5,13.5,27.6,41.1,16.2,7.9,3.4,86.2,2017
Gonzaga,18,40.0,31.0,58.1,.534,7.2,19.2,.374,16.6,22.9,.722,10.8,15.4,8.3,30.4,38.7,16.6,7.2,4.6,85.7,2017
Fort Wayne,16,40.9,32.0,65.8,.486,11.0,27.8,.396,10.6,14.6,.730,12.4,18.9,9.6,24.8,34.4,17.8,7.1,3.8,85.6,2017
Marshall,18,40.3,29.2,64.7,.451,9.8,27.0,.364,17.1,23.9,.712,12.2,18.4,8.7,27.9,36.7,16.1,6.5,4.2,85.2,2017
Central Michigan,18,40.6,27.2,65.3,.416,12.1,33.9,.355,18.8,23.8,.790,12.6,20.0,10.6,26.7,37.2,10.7,5.4,3.2,85.2,2017
Omaha,16,40.6,28.1,61.2,.459,10.3,24.2,.426,18.7,24.9,.751,13.8,19.8,10.3,23.8,34.1,13.9,8.8,3.2,85.1,2017
Lipscomb,14,40.0,28.6,60.9,.469,9.6,28.2,.342,18.3,23.8,.769,13.7,19.9,9.9,24.9,34.8,18.1,6.9,3.1,85.1,2017
Portland State,18,41.7,29.4,63.1,.467,7.4,22.8,.326,17.2,26.6,.649,12.7,20.8,8.9,23.7,32.7,14.5,10.0,2.6,83.6,2017
Kentucky,18,40.3,28.8,60.7,.474,7.1,19.4,.363,18.7,26.2,.715,12.2,19.4,10.6,27.4,38.0,14.2,5.4,4.5,83.3,2017
Wichita State,18,40.0,29.1,58.7,.496,9.1,21.1,.429,15.8,21.2,.743,10.6,18.3,10.4,27.8,38.3,17.7,6.5,3.7,83.1,2017
Iona,20,40.5,28.9,61.8,.468,9.8,23.2,.422,15.3,20.2,.756,12.4,17.9,9.2,26.6,35.9,15.8,6.7,2.9,83.0,2017
Monmouth,20,40.5,27.6,62.1,.444,8.8,22.7,.388,18.9,25.4,.744,12.4,20.3,10.7,28.2,38.9,12.2,6.4,4.5,82.8,2017
South Dakota State,16,40.3,27.9,57.7,.484,9.8,25.3,.388,16.8,22.4,.747,11.6,18.3,8.9,26.2,35.1,14.0,4.5,2.4,82.4,2017
UNC Wilmington,18,39.9,29.6,63.7,.464,10.2,28.1,.364,13.0,18.9,.686,9.7,19.7,12.0,24.3,36.3,16.2,6.3,3.6,82.3,2017
Citadel,18,40.3,27.2,67.2,.405,10.6,33.5,.315,17.1,23.2,.739,13.7,22.1,11.8,22.1,33.8,14.4,8.7,2.1,82.1,2017
