Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
William & Mary,18,40.6,29.3,57.8,.506,8.6,22.0,.389,15.0,21.6,.696,12.6,19.2,7.7,26.7,34.3,17.9,5.2,4.9,82.1,2017
North Carolina,18,40.3,30.6,66.3,.461,7.6,20.8,.365,12.9,18.7,.690,11.4,17.6,14.9,26.1,41.0,17.4,6.4,3.5,81.7,2017
Wake Forest,18,40.0,27.6,59.8,.461,7.7,20.4,.376,18.7,24.2,.772,11.1,20.0,10.1,25.1,35.2,14.9,4.9,3.3,81.6,2017
UMBC,16,41.3,27.9,60.6,.461,9.9,24.8,.399,15.8,20.9,.752,11.2,21.4,8.1,25.6,33.8,15.2,7.2,2.3,81.5,2017
Ball State,18,40.5,27.5,58.7,.468,9.1,24.4,.374,17.3,23.0,.751,14.4,20.6,8.6,27.0,35.6,15.1,6.1,3.8,81.4,2017
Samford,18,42.2,27.0,56.6,.477,7.9,19.1,.416,19.4,25.5,.760,14.3,20.0,9.1,25.4,34.6,16.0,6.0,2.8,81.3,2017
Eastern Washington,18,41.1,28.6,57.1,.501,7.9,19.6,.403,16.1,21.1,.761,12.7,20.2,8.4,26.9,35.4,12.6,4.8,4.5,81.2,2017
South Dakota,16,40.0,27.2,57.1,.476,7.1,18.7,.378,19.6,27.5,.711,11.9,19.6,8.2,26.5,34.7,12.8,7.2,3.5,81.0,2017
Nevada,18,40.3,27.6,61.8,.446,9.4,24.8,.381,16.4,22.7,.723,10.8,18.2,10.6,28.7,39.3,16.4,5.8,4.1,80.9,2017
East Tennessee State,18,40.8,28.1,55.5,.507,7.1,19.3,.365,17.7,24.6,.718,15.7,20.2,9.1,25.4,34.4,14.2,9.6,4.7,80.9,2017
Wofford,18,41.7,27.2,59.1,.461,9.2,23.6,.388,17.3,21.6,.804,12.3,18.3,10.3,24.2,34.5,16.5,5.7,2.0,80.9,2017
Marquette,18,40.3,28.1,58.0,.485,10.9,24.3,.449,13.5,18.0,.750,12.3,19.4,9.0,23.4,32.4,16.5,6.6,3.6,80.6,2017
Green Bay,18,40.3,28.7,63.9,.450,5.8,16.8,.344,17.2,24.5,.703,13.9,19.6,12.4,28.2,40.7,14.3,7.9,4.8,80.4,2017
North Dakota,18,40.8,28.7,59.3,.485,7.0,17.5,.400,16.0,21.3,.750,14.1,20.8,9.4,25.3,34.7,14.4,8.2,3.0,80.4,2017
Weber State,18,40.8,26.8,54.8,.488,9.3,21.9,.425,17.5,22.9,.765,11.0,17.8,6.3,24.7,31.0,12.6,4.8,4.0,80.4,2017
Kansas,18,40.6,27.7,59.4,.467,8.9,21.6,.412,16.1,22.7,.708,13.3,16.7,11.7,25.1,36.8,15.6,6.4,3.9,80.4,2017
Murray State,16,40.6,27.4,59.8,.458,8.0,21.6,.370,17.6,23.5,.747,12.2,18.8,11.2,24.2,35.4,13.1,5.6,1.9,80.3,2017
North Dakota State,16,40.9,26.8,58.8,.456,9.3,23.0,.405,17.3,22.7,.763,10.0,16.6,7.5,26.5,34.0,12.8,5.7,3.6,80.2,2017
Winthrop,18,40.9,27.6,59.2,.466,10.0,25.9,.386,15.0,21.3,.703,12.5,18.1,9.5,26.2,35.7,13.2,6.7,5.7,80.2,2017
UNC Asheville,18,41.1,28.3,57.4,.493,8.4,20.4,.413,15.1,21.7,.696,11.7,16.3,7.9,25.6,33.5,16.4,8.7,1.8,80.1,2017
Auburn,18,40.0,27.1,61.9,.438,9.2,24.1,.380,16.7,25.3,.658,13.2,21.3,11.6,23.0,34.6,12.2,6.7,4.9,80.1,2017
New Mexico State,14,40.0,28.0,61.0,.459,7.5,23.6,.318,16.5,23.1,.715,12.3,18.4,13.5,27.7,41.2,16.4,4.3,2.8,80.0,2017
Belmont,16,40.0,27.2,54.2,.502,10.1,27.2,.372,15.3,19.4,.788,12.8,17.4,7.0,26.6,33.6,16.4,4.1,2.6,79.9,2017
Oregon,18,40.0,28.6,57.8,.495,10.3,24.4,.424,12.3,17.9,.687,10.4,15.7,8.5,24.3,32.8,17.5,7.1,5.8,79.9,2017
Central Arkansas,18,40.6,27.6,60.7,.454,8.2,21.0,.392,16.5,22.6,.732,12.4,18.9,10.2,25.1,35.3,15.4,5.3,2.3,79.8,2017
Texas-Arlington,18,40.0,27.8,61.3,.454,8.4,25.1,.337,15.7,22.6,.697,12.1,17.9,12.2,26.7,38.9,15.6,7.4,2.1,79.8,2017
IUPUI,16,40.6,28.3,62.1,.456,9.4,22.9,.413,13.7,19.2,.711,11.9,19.9,10.5,21.7,32.2,13.4,7.0,2.7,79.8,2017
Oklahoma State,18,40.0,27.2,58.0,.469,8.7,21.2,.411,16.6,20.4,.810,13.2,20.4,10.9,21.8,32.7,14.6,5.8,2.3,79.7,2017
North Florida,14,40.0,28.7,61.3,.469,8.3,23.9,.346,13.9,21.1,.658,14.5,18.9,11.9,26.4,38.2,13.2,6.1,5.0,79.6,2017
Florida State,18,40.0,28.6,61.4,.465,7.2,19.9,.359,15.1,22.7,.667,11.2,19.4,11.8,23.4,35.2,14.1,6.9,5.0,79.4,2017
Buffalo,18,40.0,27.9,62.3,.449,7.6,23.4,.325,15.8,22.8,.693,13.4,22.3,12.6,27.6,40.1,13.4,6.7,3.8,79.3,2017
Long Beach State,16,41.3,27.5,59.4,.463,6.3,17.0,.371,17.9,24.8,.723,12.8,19.4,10.2,23.9,34.1,14.7,5.0,2.7,79.2,2017
Detroit,18,40.3,27.0,60.1,.449,8.6,22.6,.381,16.7,24.2,.688,14.7,23.2,10.4,22.9,33.4,13.2,7.4,2.8,79.2,2017
Arkansas,18,40.0,27.4,58.8,.467,6.9,18.5,.375,17.3,23.3,.743,10.9,21.0,10.6,23.8,34.4,13.2,6.8,4.1,79.2,2017
Louisiana-Lafayette ,18,40.3,27.8,60.3,.461,7.5,20.9,.359,16.0,22.8,.701,13.4,19.1,12.7,23.6,36.3,14.8,5.6,2.3,79.1,2017
Rice,18,40.8,26.7,60.0,.444,9.2,24.2,.379,16.5,22.0,.750,14.3,18.5,10.1,28.1,38.2,11.8,5.4,3.9,79.0,2017
Texas Southern,18,40.6,25.6,55.8,.458,5.2,16.9,.309,22.5,29.4,.764,10.7,17.1,9.7,24.7,34.4,11.9,7.8,3.7,78.8,2017
Ohio,18,40.0,27.3,58.7,.465,9.3,23.8,.392,14.8,21.1,.703,12.6,18.3,8.4,26.3,34.7,13.0,6.4,2.6,78.8,2017
Brigham Young,18,40.0,27.1,58.8,.460,6.9,19.3,.357,17.7,24.8,.715,12.7,19.8,9.5,29.4,38.9,14.6,6.3,4.8,78.7,2017
Oral Roberts,16,40.4,27.8,60.7,.458,7.0,19.7,.356,16.1,20.4,.788,10.8,18.9,8.6,25.1,33.7,14.1,4.8,3.3,78.7,2017
Denver,16,40.3,28.4,57.8,.492,7.3,17.9,.409,14.5,19.2,.756,12.4,19.4,9.1,26.3,35.4,15.6,4.7,2.2,78.7,2017
Oakland,18,40.3,27.2,59.4,.457,6.5,20.5,.317,17.8,23.6,.757,13.7,17.4,9.8,27.8,37.6,16.2,8.2,5.2,78.7,2017
West Virginia,18,41.4,27.6,61.7,.448,7.1,20.3,.350,16.3,22.2,.735,13.6,22.4,12.8,22.1,34.9,16.1,8.8,4.3,78.7,2017
Canisius,20,40.0,27.9,61.9,.452,9.1,24.7,.368,13.7,18.6,.732,12.2,19.4,9.7,21.1,30.9,17.2,7.0,1.8,78.7,2017
Rider,20,40.2,28.4,61.5,.461,5.9,16.1,.368,15.8,23.2,.682,14.6,20.7,12.4,27.6,40.0,15.4,6.5,3.9,78.5,2017
Stetson,14,40.0,28.4,61.5,.461,7.5,21.8,.344,14.2,21.2,.670,10.1,19.4,7.6,24.4,31.9,12.6,4.7,1.8,78.4,2017
Florida,18,40.3,26.6,58.9,.451,8.6,22.9,.376,16.5,23.2,.711,12.3,18.9,10.6,25.2,35.7,12.9,7.4,4.2,78.3,2017
Duke,18,40.0,26.7,57.3,.466,8.8,22.7,.389,16.0,20.9,.766,11.7,18.9,10.4,23.8,34.3,13.2,5.1,4.1,78.3,2017
Creighton,18,40.0,29.6,59.9,.494,8.0,21.5,.372,11.0,15.4,.715,12.5,16.8,7.2,25.3,32.6,16.8,5.9,2.7,78.2,2017
Iowa State,18,41.1,27.4,59.7,.460,10.6,25.1,.423,12.7,17.3,.734,10.2,15.9,7.6,21.1,28.7,15.8,8.4,3.4,78.2,2017
Quinnipiac,20,40.5,27.9,66.2,.421,6.8,22.5,.302,15.6,22.5,.691,13.5,19.1,14.1,26.2,40.4,14.2,5.8,3.8,78.2,2017
Houston Baptist,18,40.0,26.9,59.2,.454,6.2,17.6,.354,18.1,24.4,.741,14.1,18.9,13.4,24.4,37.8,14.2,6.4,2.6,78.1,2017
Missouri-Kansas City,14,40.0,25.9,56.3,.459,8.4,22.4,.373,18.0,24.7,.728,13.8,21.2,9.6,23.8,33.4,13.5,6.8,2.9,78.1,2017
Florida Gulf Coast,14,40.4,28.5,59.4,.480,5.2,18.4,.284,15.8,22.3,.708,10.8,18.4,11.6,25.4,36.9,12.9,6.1,3.3,78.0,2017
Austin Peay,16,40.9,26.2,56.4,.465,7.6,20.8,.367,17.9,25.1,.716,12.1,18.2,7.5,22.1,29.6,10.4,5.9,2.4,77.9,2017
Bucknell,18,40.0,27.2,55.1,.493,8.4,21.3,.393,15.1,22.3,.677,13.5,18.5,8.6,25.9,34.5,15.2,7.2,3.5,77.8,2017
USC Upstate,14,40.4,28.5,61.1,.466,8.6,24.0,.357,12.2,18.5,.660,12.1,16.4,10.0,25.7,35.7,14.7,4.7,2.8,77.8,2017
Wyoming,18,41.1,26.2,61.1,.429,9.8,27.7,.355,15.4,21.8,.709,12.6,22.3,8.0,28.9,36.9,14.7,5.2,4.6,77.7,2017
Purdue,18,40.6,26.8,57.3,.468,8.7,21.7,.400,15.4,18.9,.815,12.6,16.1,8.7,26.9,35.6,16.8,5.0,2.5,77.7,2017
Toledo,18,41.1,27.9,57.3,.488,7.8,20.9,.372,13.9,20.5,.680,12.6,16.1,9.6,26.3,35.9,17.4,3.9,2.8,77.6,2017
Cal State Northridge,16,40.0,26.2,58.4,.449,4.9,14.1,.345,20.2,26.8,.753,11.3,20.9,9.3,24.7,34.0,12.7,7.0,2.2,77.6,2017
Boise State,18,40.0,25.6,57.2,.448,8.6,23.5,.364,17.6,24.4,.718,12.0,20.8,9.1,26.0,35.1,12.9,4.8,2.8,77.3,2017
Northwestern State,18,40.6,26.3,58.3,.451,7.4,20.2,.366,17.4,23.8,.730,15.2,20.1,10.1,23.7,33.8,14.2,6.3,2.6,77.3,2017
Louisville,18,40.2,27.9,60.0,.466,7.6,19.8,.382,13.8,20.4,.678,11.1,19.2,12.1,24.5,36.6,12.9,6.6,4.4,77.3,2017
Montana State,18,41.4,26.3,59.1,.445,9.0,23.9,.377,15.7,21.9,.718,11.8,21.4,9.3,24.3,33.7,12.8,6.5,1.9,77.3,2017
Gardner-Webb,18,41.1,26.9,55.1,.489,6.0,16.0,.375,17.3,26.7,.648,14.9,19.8,10.1,25.6,35.7,13.9,8.9,3.8,77.2,2017
Southeast Missouri State,16,40.3,26.6,55.4,.481,8.2,20.7,.396,15.7,20.7,.758,13.1,20.2,7.9,22.9,30.8,14.0,7.2,1.8,77.1,2017
UMass Lowell,16,40.4,29.0,59.5,.487,8.1,20.5,.393,11.0,16.7,.659,13.1,19.1,9.4,23.5,32.9,15.8,5.4,2.1,77.1,2017
Utah,18,40.6,29.6,58.3,.507,6.8,18.1,.374,11.2,17.1,.653,12.3,16.0,9.0,26.1,35.1,14.6,6.4,2.7,77.1,2017
Western Michigan,18,40.3,26.9,58.3,.462,6.9,17.7,.393,16.2,22.3,.726,11.6,18.7,10.3,23.8,34.2,13.3,5.5,3.4,77.1,2017
Iowa,18,41.6,27.1,62.4,.435,8.0,21.4,.374,14.8,20.8,.711,13.8,17.3,12.2,24.5,36.7,16.9,7.9,3.6,77.0,2017
Louisiana Tech,18,39.9,27.0,59.2,.456,8.2,21.7,.379,14.8,21.1,.700,11.2,15.4,10.1,25.9,36.1,16.1,6.8,5.3,77.0,2017
Troy,18,40.3,25.3,54.7,.462,8.4,22.6,.373,17.9,24.3,.739,12.5,17.2,9.4,24.4,33.8,12.5,4.7,2.9,76.9,2017
Kennesaw State,14,40.0,28.9,61.6,.468,6.4,16.0,.402,12.8,19.6,.653,12.3,18.3,11.2,25.2,36.4,16.1,5.6,2.7,76.9,2017
Morehead State,16,40.6,27.1,59.7,.454,7.2,17.8,.408,15.4,20.2,.762,13.8,20.5,12.1,24.0,36.1,14.5,5.7,3.1,76.9,2017
Wright State,18,40.6,26.2,57.0,.459,8.5,23.1,.368,16.0,21.0,.762,14.0,18.4,9.4,23.9,33.4,15.9,5.1,2.5,76.8,2017
Akron,18,40.0,26.3,56.9,.463,10.0,27.2,.367,14.2,21.2,.668,10.7,18.6,8.5,23.8,32.3,14.8,5.8,3.1,76.8,2017
Maryland-Eastern Shore,16,41.2,26.6,59.2,.449,8.2,23.1,.355,15.5,22.9,.676,13.4,18.6,10.7,24.1,34.8,13.8,5.3,2.7,76.8,2017
Montana,18,40.6,27.1,59.4,.456,7.1,20.6,.346,15.4,21.0,.735,9.2,21.6,9.7,24.7,34.4,12.9,5.7,2.9,76.8,2017
Youngstown State,18,41.1,29.3,66.6,.440,7.0,22.7,.308,10.9,17.1,.640,11.9,16.4,10.0,24.9,34.9,14.8,6.1,2.8,76.6,2017
Charlotte,18,40.0,26.8,59.7,.449,8.0,21.1,.379,14.9,20.2,.739,11.6,19.2,6.7,25.9,32.7,12.0,5.3,3.2,76.6,2017
LSU,18,40.0,27.7,62.1,.446,6.8,19.4,.351,14.3,19.8,.720,14.1,19.9,10.7,22.9,33.6,13.0,5.9,2.4,76.4,2017
Arizona,18,40.0,26.3,55.9,.470,7.2,17.8,.402,16.7,21.5,.778,10.6,15.8,9.7,25.3,35.1,14.3,5.2,2.6,76.4,2017
Tennessee-Martin,16,40.9,27.2,58.7,.464,8.4,23.8,.353,13.6,18.8,.723,14.4,17.1,12.8,23.4,36.2,15.5,5.7,2.9,76.4,2017
Mississippi Valley State,18,40.8,27.4,59.9,.458,5.5,15.4,.357,16.0,23.6,.679,14.7,20.3,12.9,23.2,36.1,12.3,6.9,1.2,76.4,2017
Dayton,18,40.3,25.1,53.3,.471,7.9,20.1,.392,18.2,26.1,.698,12.6,19.0,8.1,25.6,33.7,16.3,7.8,4.1,76.3,2017
Villanova,18,40.0,26.6,53.8,.493,8.2,23.6,.347,15.0,18.8,.799,11.8,15.4,8.5,23.2,31.7,14.1,7.6,3.1,76.3,2017
Syracuse,18,40.6,26.0,56.8,.457,8.6,22.9,.376,15.5,19.5,.795,11.8,16.1,9.4,21.6,31.1,14.1,7.4,4.3,76.1,2017
St. John's,18,40.0,25.9,60.4,.429,7.1,21.6,.329,17.1,22.9,.745,12.7,21.8,9.1,21.9,31.1,12.1,7.5,5.3,76.1,2017
Lamar,18,40.8,26.7,57.5,.464,7.6,21.2,.359,15.1,22.1,.683,14.1,22.1,11.4,23.6,35.0,13.5,7.3,3.2,76.1,2017
Southern Methodist,18,40.0,26.7,56.4,.472,8.9,21.3,.417,13.8,19.2,.717,9.4,13.6,11.5,26.4,37.9,16.9,6.1,3.5,76.0,2017
Idaho,18,41.4,24.9,56.8,.439,7.6,19.9,.383,18.5,24.8,.745,12.9,21.6,10.6,26.3,36.8,12.4,4.8,2.8,76.0,2017
Butler,18,40.6,26.5,56.6,.469,7.3,21.1,.347,15.6,20.4,.766,10.3,19.4,8.9,23.2,32.1,12.3,6.1,2.6,75.9,2017
Valparaiso,18,40.0,26.5,57.4,.461,7.0,20.4,.343,15.9,20.7,.769,11.3,18.6,9.4,27.0,36.4,13.4,6.3,3.0,75.9,2017
Arizona State,18,40.0,26.1,60.7,.430,10.0,27.0,.370,13.7,18.7,.735,9.7,16.7,7.6,21.1,28.7,12.2,5.8,2.6,75.9,2017
Colorado,18,40.6,26.9,58.9,.456,7.7,20.9,.366,14.4,20.9,.691,12.2,18.3,11.1,23.6,34.7,14.4,5.5,3.8,75.9,2017
Indiana,18,41.1,27.2,58.8,.462,8.2,22.3,.368,13.3,18.0,.738,14.9,21.9,11.2,23.9,35.2,12.8,6.1,3.8,75.8,2017
Furman,18,40.3,26.9,54.7,.492,8.9,22.6,.397,13.1,18.7,.702,12.7,17.4,8.6,23.9,32.4,15.1,7.2,2.8,75.8,2017
Northern Kentucky,18,40.0,26.3,57.3,.458,8.7,23.9,.365,14.4,20.8,.693,13.1,16.9,9.8,24.6,34.4,13.8,6.1,2.6,75.8,2017
Virginia Tech,18,40.6,25.8,52.2,.494,8.7,21.1,.414,15.5,21.0,.738,12.3,16.4,5.6,22.2,27.8,13.9,3.6,2.7,75.8,2017
USC,18,40.0,26.2,58.4,.448,7.8,21.2,.367,15.6,20.9,.747,11.9,16.1,9.8,23.2,33.0,15.3,6.8,5.0,75.7,2017
St. Francis (PA),18,40.8,27.5,59.2,.464,7.4,20.1,.367,13.3,17.9,.745,14.4,16.2,10.4,25.6,36.0,12.8,7.1,4.6,75.7,2017
Bryant,18,41.9,26.2,59.4,.440,7.7,22.1,.348,15.7,21.6,.729,14.4,20.9,10.7,25.5,36.2,14.4,7.1,2.6,75.7,2017
Richmond,18,40.0,27.4,56.6,.484,8.4,23.3,.363,12.5,17.3,.723,11.5,17.5,5.7,23.4,29.1,18.1,6.6,1.8,75.7,2017
Southern Utah,18,40.0,24.1,59.2,.407,9.1,23.8,.380,18.4,24.0,.766,13.8,24.2,10.6,25.0,35.6,11.3,5.4,3.9,75.7,2017
UNC Greensboro,18,40.0,26.4,55.6,.476,8.4,21.5,.390,14.3,19.3,.739,14.2,18.3,9.7,24.6,34.3,13.8,5.8,4.0,75.6,2017
VCU,18,40.5,27.3,59.1,.461,5.2,16.7,.310,15.9,22.3,.716,12.2,21.1,10.9,25.6,36.5,15.1,6.9,4.1,75.6,2017
Siena,20,40.0,27.2,59.1,.460,5.3,16.4,.324,15.8,21.9,.722,14.4,18.8,12.6,25.8,38.4,14.3,5.8,4.1,75.5,2017
Ole Miss,18,40.3,24.3,58.9,.413,7.1,21.7,.326,19.8,26.1,.759,14.6,20.0,11.1,26.3,37.3,11.7,6.6,2.9,75.5,2017
Georgia Southern,18,40.2,24.5,54.2,.452,9.6,24.5,.392,16.8,24.7,.682,12.6,19.6,7.6,25.2,32.7,9.7,5.8,2.9,75.4,2017
Texas-RGV,14,40.4,26.0,64.9,.400,7.2,25.8,.280,16.2,21.5,.754,14.0,24.0,11.8,23.4,35.1,13.5,7.6,2.1,75.4,2017
Vermont,16,40.0,27.9,53.2,.525,6.4,16.1,.397,13.0,19.3,.673,11.3,15.3,8.1,25.2,33.3,13.3,5.2,5.2,75.2,2017
Incarnate Word,18,40.0,25.2,54.6,.461,8.4,22.0,.384,16.3,24.3,.673,14.2,19.9,7.6,24.4,32.0,12.2,5.0,4.3,75.1,2017
Kent State,18,40.8,26.6,62.1,.428,6.8,21.9,.311,15.1,20.8,.723,13.7,19.7,13.1,24.3,37.4,12.2,6.2,3.6,75.0,2017
Georgia State,18,40.3,27.5,57.3,.480,7.8,22.3,.352,12.1,18.7,.646,12.8,19.6,9.4,25.1,34.5,12.1,6.3,4.3,74.9,2017
Notre Dame,18,40.3,26.4,59.0,.447,9.1,23.8,.380,13.1,16.7,.781,10.0,14.9,8.3,23.1,31.4,14.6,6.9,3.6,74.9,2017
Hofstra,18,40.6,26.1,58.9,.442,8.8,25.9,.341,13.8,20.7,.668,9.9,16.9,9.6,22.6,32.2,12.4,4.0,2.1,74.8,2017
Western Illinois,16,40.9,26.5,60.1,.441,9.8,24.9,.392,11.9,16.6,.718,12.4,19.4,6.2,26.7,32.9,13.1,3.8,4.4,74.7,2017
Michigan,18,40.6,26.4,54.3,.486,9.4,24.1,.392,12.4,16.6,.749,9.4,16.1,6.9,20.4,27.3,13.3,5.9,2.9,74.7,2017
Minnesota,18,41.7,26.3,61.4,.428,6.1,17.7,.343,15.9,22.4,.712,11.3,16.8,11.0,28.2,39.2,14.4,5.6,7.6,74.6,2017
Fresno State,18,41.1,25.7,58.1,.442,6.1,17.7,.343,17.1,24.6,.697,12.6,21.9,10.2,26.0,36.2,11.7,8.3,4.1,74.5,2017
Jacksonville,14,40.0,25.1,57.0,.440,9.9,25.8,.385,14.4,19.9,.724,14.4,19.6,9.6,21.9,31.5,11.8,8.1,1.1,74.5,2017
Xavier,18,40.0,25.5,56.1,.455,6.7,20.2,.330,16.8,24.8,.676,12.9,18.7,12.2,24.7,36.8,15.1,5.4,1.9,74.4,2017
Harvard,14,40.0,26.4,56.1,.469,8.5,23.4,.364,13.2,17.6,.749,12.8,17.6,9.2,25.1,34.3,14.0,6.2,4.4,74.4,2017
North Carolina Central,16,40.0,26.0,57.2,.454,7.8,23.1,.339,14.5,21.1,.686,11.7,15.8,11.9,26.0,37.9,14.0,5.9,3.4,74.4,2017
Texas A&M-CC,18,40.6,26.6,56.4,.472,5.9,17.1,.344,15.2,21.1,.723,13.7,19.9,9.3,23.4,32.8,14.0,8.9,3.4,74.3,2017
UC Irvine,16,40.0,26.9,58.4,.460,7.8,20.1,.389,12.6,18.1,.697,12.4,21.2,11.5,28.2,39.8,12.8,5.1,4.3,74.2,2017
Bowling Green,18,40.8,26.5,61.9,.428,6.6,20.6,.319,14.6,21.9,.666,12.8,19.4,11.1,23.1,34.2,11.3,7.3,2.7,74.2,2017
Middle Tennessee State,18,40.0,28.4,57.9,.490,6.3,17.7,.358,11.0,14.6,.756,10.9,17.6,10.1,25.3,35.4,15.1,6.3,2.8,74.1,2017
Towson,18,40.8,26.1,58.3,.447,4.9,15.8,.309,17.1,24.9,.684,12.9,20.7,12.5,26.0,38.5,9.9,6.2,3.4,74.1,2017
Grand Canyon,14,40.7,25.1,58.9,.426,7.0,20.9,.334,16.9,25.7,.656,13.5,17.6,11.3,28.2,39.5,14.6,6.5,2.3,74.0,2017
George Mason,18,40.6,25.9,57.1,.454,5.7,15.6,.363,16.5,22.2,.743,13.3,16.3,10.2,27.9,38.1,11.5,5.1,2.1,73.9,2017
Utah Valley,14,40.0,24.7,55.1,.449,8.1,26.1,.309,16.3,22.9,.710,16.1,20.0,7.7,28.6,36.3,15.1,5.7,3.8,73.8,2017
Eastern Michigan,18,40.0,26.5,60.4,.438,6.4,18.3,.352,14.3,20.1,.715,11.7,21.9,11.4,22.6,34.0,13.1,8.6,4.2,73.8,2017
Drexel,18,41.1,26.5,60.2,.440,7.9,22.7,.350,12.8,19.1,.671,12.6,19.8,9.6,24.0,33.6,15.2,5.6,2.9,73.7,2017
Brown,14,40.0,24.5,57.2,.428,8.6,24.7,.350,16.0,20.6,.778,12.9,19.9,8.7,21.4,30.1,12.9,7.0,1.6,73.6,2017
Hampton,16,40.3,26.0,61.1,.426,7.0,20.8,.337,14.6,20.3,.720,13.2,20.2,12.1,26.3,38.4,13.2,4.2,4.4,73.6,2017
New Mexico,18,40.3,25.4,55.6,.457,5.2,14.9,.347,17.7,23.4,.754,12.5,20.3,7.9,26.6,34.6,13.2,5.7,3.9,73.6,2017
Niagara,20,40.3,25.5,61.4,.416,7.9,21.0,.376,14.7,19.4,.757,13.2,17.9,10.8,26.9,37.8,13.3,5.2,4.5,73.5,2017
Nicholls State,18,40.3,24.2,57.1,.424,8.8,26.0,.340,16.3,21.9,.744,14.3,19.1,8.9,22.4,31.4,13.5,7.0,6.4,73.5,2017
Bethune-Cookman,16,40.6,27.4,62.2,.440,7.1,21.8,.327,11.6,16.4,.707,12.4,20.0,11.6,24.2,35.8,15.1,8.1,2.9,73.5,2017
NC State,18,40.3,27.1,59.8,.454,7.3,21.4,.342,11.9,17.8,.667,13.8,18.2,10.2,23.1,33.3,13.4,5.2,3.7,73.4,2017
Eastern Illinois,16,41.3,26.2,63.0,.416,9.0,24.6,.366,12.1,16.1,.751,12.9,19.1,11.0,24.7,35.7,15.4,5.0,3.8,73.4,2017
Sacred Heart,18,41.1,26.1,59.2,.440,6.9,19.2,.359,14.4,20.8,.691,16.2,19.4,11.8,25.5,37.3,14.5,6.9,2.8,73.4,2017
Colorado State,18,40.0,25.2,59.0,.427,8.1,21.8,.372,14.8,20.3,.729,9.7,17.1,10.8,25.9,36.7,10.7,6.0,3.3,73.3,2017
Illinois-Chicago,18,40.6,25.8,60.6,.425,7.9,21.6,.366,13.9,19.4,.714,16.6,18.7,11.4,27.5,38.9,14.1,4.9,5.8,73.3,2017
Elon,18,40.8,25.0,57.1,.438,9.4,26.2,.358,13.9,19.1,.732,11.2,15.7,7.3,28.4,35.8,13.4,4.8,2.2,73.3,2017
Yale,14,40.0,25.5,54.1,.472,6.2,18.8,.331,16.1,20.9,.771,14.2,15.2,9.0,25.6,34.6,14.0,6.2,4.5,73.3,2017
