Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Long Island,18,40.3,28.8,59.3,0.485,6.5,17.5,0.371,21.3,28.8,0.74,15.2,14.9,10.8,26.3,37.1,15.7,6.1,3.6,85.4,2012
Belmont,18,40,29.1,57.8,0.502,9.3,23.6,0.396,16.7,22.4,0.744,12,16.9,10.7,23.4,34.1,19.3,6.8,2.2,84.2,2012
Iona,18,40,29.9,60,0.498,8.3,21.4,0.389,13.7,19.7,0.698,11.1,15.9,10.7,23,33.7,19.3,6.9,2.2,81.8,2012
Oakland,18,40.8,26.6,56.3,0.473,9.7,23.3,0.417,18.5,25.6,0.722,12.1,17.7,8.9,22,30.9,14.1,6.3,2.5,81.4,2012
UNC Asheville,18,40.3,26.2,53.6,0.488,6.6,17.2,0.382,21.6,27,0.798,14,17.4,9.3,22.6,31.9,16.9,8.3,2.6,80.4,2012
Davidson,18,40,27.2,59.1,0.46,8.2,22.4,0.364,16.9,22.5,0.753,11.2,19.7,11.9,26,37.9,13.9,5.4,3.9,79.4,2012
Brigham Young,16,40,27.9,60.7,0.459,5.9,18.4,0.319,17.5,24.5,0.714,12.8,19.1,10.2,26.8,36.9,16.3,9,3.6,79.1,2012
South Dakota State,18,40.6,27.1,56.9,0.477,8.9,21.3,0.418,15.8,21,0.751,9.3,16.1,8.9,23.2,32.1,15.2,6.1,1.9,78.9,2012
Oral Roberts,18,40.8,27.4,52.4,0.523,5.6,13.7,0.407,17.3,22.2,0.779,12.6,17.6,9.1,19.8,28.9,14.4,5.9,2.6,77.8,2012
New Mexico State,14,40.4,28.4,59.8,0.476,4.3,13.6,0.314,16.6,25.9,0.641,14.2,17.7,14.2,25.2,39.4,14.9,6.7,3.8,77.7,2012
Coppin State,16,40.3,26.6,57.5,0.462,9.3,25,0.372,15.2,21.2,0.718,14.8,16.4,9.7,24,33.7,15.4,5.6,2.2,77.7,2012
