Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Temple,16,40.6,27.5,56.6,0.486,7.2,17.4,0.412,15.2,20.3,0.748,12,16.8,9.3,23.8,33.1,15,7.5,4.8,77.4,2012
Cal State Fullerton,16,40,26.5,56.5,0.469,9.4,21.9,0.431,14.8,21.2,0.699,13.8,19.1,11.2,22.5,33.7,14.8,5.2,3.4,77.2,2012
Charleston Southern,18,40.3,26.4,58.6,0.45,8.3,22.2,0.375,16.1,23,0.698,12.2,17.4,10.6,22,32.6,12.3,7.1,2.7,77.2,2012
Virginia Military,18,40.3,26.1,59.6,0.438,8.1,26,0.31,16.9,23.3,0.726,13.7,18.8,9.9,20.6,30.5,11.4,7.6,3.2,77.2,2012
Oregon State,18,41.4,27,59.4,0.455,6.2,17.7,0.349,16.9,24.9,0.679,13.3,19.4,10.5,21.8,32.3,14.3,8.6,4.3,77.1,2012
Wichita State,18,40.8,27.2,55.4,0.491,6.8,18.2,0.372,15.7,19.8,0.795,11.4,16.2,9,26.2,35.2,14.5,5.9,3.8,76.9,2012
Weber State,16,40,25.3,54.4,0.466,8.3,21.8,0.381,17.9,21.6,0.829,10.2,17.4,7.7,23.9,31.6,13,5.7,2.4,76.9,2012
North Carolina,16,40,28.3,64.6,0.439,4.5,14.9,0.303,15.8,21.8,0.722,11.2,15.4,14.6,27.9,42.5,15.3,6.2,6.1,76.9,2012
Texas-Arlington,16,40,25.2,55.2,0.458,6.4,18.9,0.337,19.5,27.2,0.717,16.6,18.2,12.2,26,38.2,13.1,7.9,3.8,76.4,2012
Portland State,16,40.3,25.6,52.1,0.492,6.2,15.9,0.394,18.8,25.6,0.736,13.6,17.6,9.8,22.3,32.1,11.8,5.5,3.4,76.3,2012
San Francisco,16,40.3,27.6,58.2,0.473,6.9,20.8,0.334,14.2,20.6,0.69,12.8,18.2,8.7,21.3,30,13.9,8.6,1.8,76.2,2012
Saint Mary's,16,40,26,53.8,0.484,7.2,19.8,0.364,16.8,23.1,0.729,11.9,17.1,11.3,23.6,34.9,15.6,6.8,3.1,76,2012
Creighton,18,40.3,25.9,51.4,0.503,7.7,18,0.429,16.2,21.4,0.758,12.4,16.2,7.6,25.4,32.9,16.3,3.7,2.2,75.7,2012
Lamar,16,40,27.2,60.6,0.448,4.8,13.6,0.35,16.6,23.8,0.696,11.2,16.4,13.6,23.8,37.4,12.8,8.2,3.8,75.7,2012
Stetson,18,40.5,26.5,58.1,0.456,8.1,23.8,0.341,14.3,20.1,0.71,16.1,19.5,11.4,22.5,33.9,15.6,6.6,2.7,75.4,2012
Duke,16,40.6,25.2,58,0.434,8.5,23.8,0.358,16.5,23.5,0.702,10.7,19.2,11.4,23.7,35.1,11.8,5.4,3.2,75.4,2012
Massachusetts,16,40.6,26.6,60.6,0.438,7.5,21.1,0.355,14.6,21,0.696,15.4,20.1,10.6,25.5,36.1,15.6,7.6,4.4,75.2,2012
Murray State,16,40,24.8,52,0.476,7.2,18.1,0.4,18.4,25.8,0.714,13.9,18.6,10,22.8,32.8,11.7,7.4,4.8,75.2,2012
Missouri,18,40.3,26.1,53.8,0.485,8.1,21.2,0.382,14.8,19.4,0.765,10.9,14.8,8,20.6,28.6,15.6,7,2.5,75.1,2012
Dayton,16,40.9,24.7,57.6,0.429,8.4,24.1,0.351,17.1,21.4,0.796,13.8,19.9,13,23.7,36.7,14.5,4.2,2.8,74.9,2012
Oregon,18,40,26.7,56.1,0.475,7.6,19.1,0.397,13.9,19.1,0.727,13.2,17,10.4,21.5,31.9,13.9,5.9,3.1,74.8,2012
Long Beach State,16,40.3,26,54.9,0.474,6.6,18.6,0.354,16.2,25.1,0.646,11.9,14.1,10.4,25.2,35.6,13.8,7.2,2.8,74.8,2012
Wagner,18,40,25.8,57.5,0.449,6.7,18.7,0.357,16.3,22.5,0.726,13.4,21.7,11.1,21.9,33,12.8,8.3,4.1,74.7,2012
Kentucky,16,40,26.8,54.2,0.494,5.9,14.4,0.413,15.1,20.4,0.739,9.4,13.5,10.6,24,34.6,12.6,6,8.4,74.6,2012
Marquette,18,40,25.8,56.5,0.456,5.9,17.1,0.347,16.9,23.1,0.733,12.8,16.6,10.6,22.3,32.8,16.8,8.8,3.3,74.4,2012
Rider,18,40,25,55.2,0.453,7.3,20.6,0.356,16.9,22.3,0.756,15,17.5,8.8,24.5,33.3,14.9,6.2,3.9,74.2,2012
Evansville,18,41.4,26,55.6,0.468,5.5,13.7,0.402,16.7,21.1,0.789,12.6,21,8.7,19.1,27.7,17.3,8.3,1.2,74.2,2012
Kansas,18,40.3,26.6,54.7,0.486,5.8,16.3,0.354,14.9,21.3,0.701,12.4,17.2,10,24.6,34.6,15.3,7.3,5.8,74.1,2012
North Dakota State,18,40.6,26,51.7,0.503,6.3,16.7,0.377,15.6,20.8,0.749,13.9,19,7.2,22.5,29.7,13.6,5.4,3.6,73.8,2012
Memphis,16,40,27.2,53.1,0.512,5.2,14.3,0.362,14,19.9,0.704,12.1,18.8,8.5,23.3,31.8,14.8,8.5,4.9,73.6,2012
Albany,16,40,25.6,56.7,0.452,6.9,19.4,0.354,15.2,20.7,0.737,13,16.6,13,21.8,34.8,11.8,5.1,2.4,73.4,2012
Utah Valley,10,41,25.1,57.6,0.436,5.6,15.4,0.364,17.5,24,0.729,13.7,15.3,13.6,27.6,41.2,13.5,7.3,3.4,73.3,2012
Hawaii,14,40.7,26.4,56.4,0.467,5.1,15.4,0.333,15.4,23.4,0.655,15.2,19.5,9.9,23.8,33.6,15.9,4.9,4.1,73.3,2012
IUPUI,18,40.8,26.4,58.4,0.452,5.7,15.4,0.371,14.7,19.1,0.77,11.2,17.4,10.9,19.3,30.2,11.1,7.3,2.6,73.3,2012
Tennessee Tech ,16,40,24.9,53.1,0.47,5.7,15.1,0.376,17.7,23.9,0.739,14.7,18.4,10.7,21.9,32.6,14.4,6.5,2.4,73.2,2012
Norfolk State,16,40.9,26.1,58.7,0.444,5.2,17.8,0.295,15.8,23.7,0.668,14,20.3,12.2,24.2,36.4,12.4,6.9,4.8,73.2,2012
Elon,18,40.8,25.9,59.3,0.437,7.9,21.2,0.372,13.5,19.8,0.683,13.7,18.1,9.5,25,34.5,14.1,4.9,2.3,73.2,2012
Nevada,14,41.1,25.9,54.1,0.478,7.2,18.7,0.385,14.2,22.7,0.626,13.3,17.3,11.4,23.9,35.4,12.9,5.2,4.8,73.1,2012
UNC Greensboro,18,40.6,25.1,60.7,0.414,7.2,20.4,0.353,15.5,21.8,0.712,14.3,21.7,11.2,23,34.2,11.7,6.9,3.1,72.9,2012
Gonzaga,16,40,24.5,50.8,0.483,5.7,15.5,0.367,18.2,25.1,0.728,13.8,15.4,8.8,26.2,34.9,13.2,6.4,3.7,72.9,2012
UNLV,14,41.1,25.9,57.2,0.452,8.4,22.6,0.37,13.3,20.8,0.639,13.9,16.6,10.3,24.8,35.1,17.2,8.4,4.4,72.9,2012
Florida Gulf Coast,18,40.6,26,57.1,0.456,7.9,22.2,0.358,12.9,19.3,0.671,14.9,19.2,11,21.4,32.4,13.9,8.3,3.8,72.9,2012
Indiana,18,40,24.7,52.2,0.474,6.2,14.9,0.414,17.2,22.3,0.773,12.6,17.7,9.2,22.9,32.1,11.9,4.8,3.6,72.8,2012
Lehigh,14,40.4,25.6,58.1,0.44,7.6,21.1,0.358,14,17.8,0.787,10.3,15.3,10,23.1,33.1,12.9,7.6,2.9,72.7,2012
Eastern Washington,16,40.3,23.9,58.6,0.407,8.6,24.6,0.348,16.4,23.3,0.702,11.8,22.4,11.6,21.7,33.3,11.9,7.3,3.6,72.7,2012
St. Bonaventure,16,40.9,24.9,54.2,0.459,5.6,15.4,0.366,17.2,21.9,0.783,14.2,18.8,11.2,24.1,35.2,14.2,5.8,4.2,72.6,2012
Mississippi Valley State,18,40.3,25,59.5,0.42,8.2,23.8,0.343,14.3,22.4,0.636,15.5,19.6,13.4,25.2,38.7,14.6,9.6,2.8,72.4,2012
La Salle,16,40.3,25.9,56.5,0.459,7.6,18.6,0.411,12.9,17.4,0.741,13.6,15.8,10.2,23.1,33.3,14.6,7.7,2.8,72.4,2012
Baylor,18,40,25.7,55.9,0.459,6.4,17.7,0.362,14.4,18.7,0.772,13.5,17.8,11,21.7,32.7,14.8,7.1,3.6,72.2,2012
Montana,16,40,25.1,51.1,0.491,6.4,16.2,0.396,15.4,21.1,0.733,12.8,17.1,7.3,24.1,31.4,14,7.7,3.4,72.1,2012
DePaul,18,40.3,27.1,62.9,0.431,6.9,21.1,0.33,10.9,15.4,0.705,13.7,19.8,10.1,19.8,29.9,15.8,6.9,3.8,72.1,2012
North Texas,16,41.6,26.2,58.8,0.445,5.4,15,0.358,14.1,20.6,0.684,15.6,17.4,10.2,28.9,39.1,12.9,5.8,4.8,71.8,2012
Texas Christian,14,41.4,24.4,57.2,0.427,9,23.6,0.382,13.9,20.1,0.691,12,18.6,9.5,21.5,31,12.7,5.6,2.4,71.8,2012
Lipscomb,18,40.8,25.7,58.8,0.437,7.4,19.9,0.37,12.9,20.6,0.627,15.2,16.7,10.5,24.8,35.3,14.1,6.2,3,71.7,2012
Ohio State,18,40,25.9,54.9,0.472,5,14.9,0.335,14.9,21.1,0.708,12.5,16.4,11.3,24.4,35.7,13.1,6.5,3,71.7,2012
California,18,40,27.1,55.9,0.485,3.8,12.1,0.318,13.7,18.2,0.752,11.7,14.8,9,22.1,31.2,16.3,4.9,2.9,71.7,2012
UC Santa Barbara,16,40.3,25.2,56.2,0.448,7.8,20.3,0.385,13.4,19,0.707,12.2,16.9,12.7,24.3,36.9,16,6.1,5.1,71.6,2012
USC Upstate,18,40.3,25.6,59.4,0.43,6.7,18.8,0.357,13.8,21.4,0.644,14.5,18.3,14.6,22.4,37,12.9,7.7,4.7,71.6,2012
Vermont,16,40,23.8,53.6,0.443,5.7,15.6,0.364,18.4,23.6,0.778,12.1,17.6,10.6,24.6,35.2,13.8,6.8,2.6,71.6,2012
Xavier,16,40.3,25.4,56.1,0.454,5.2,14.5,0.362,15.4,21.3,0.721,12.5,18.6,9.3,24.8,34.1,14.8,5.8,3.6,71.5,2012
Campbell,18,40.3,25.7,54.6,0.47,5.4,14.7,0.367,14.7,22.7,0.645,12.9,19.8,10,23.6,33.6,15.5,6,4.7,71.4,2012
Iowa State,18,40,24.7,55.6,0.445,9.1,23.7,0.385,12.8,19.6,0.654,12.1,16.2,9.6,24.6,34.2,14.6,6.2,2.6,71.4,2012
Syracuse,18,40.3,26.3,57.8,0.456,5.5,17.3,0.318,13.2,18.8,0.699,10.1,15.4,10.7,21.8,32.4,15.4,8.7,7.4,71.3,2012
Northern Colorado,16,41.2,24.9,51.1,0.488,6.7,14.8,0.453,14.6,22.4,0.652,16.2,19.1,9.3,23.2,32.5,12.3,5.4,2.1,71.2,2012
Akron,16,40.3,24.2,51.9,0.467,5.6,16.2,0.347,17.1,24.2,0.704,14.2,16.4,10.5,22.2,32.8,13.1,7.1,3.7,71.2,2012
Southeast Missouri State,16,40,26.5,55.1,0.481,6.4,16.2,0.392,11.8,18.3,0.645,12.9,19.1,10.4,23.6,34.1,14.7,4.8,4,71.2,2012
Louisiana Tech,14,40.4,24.9,58.1,0.429,8.1,23.6,0.344,13.1,19.8,0.661,11.6,19.2,9.1,21.2,30.4,13.5,6.6,2.6,71.1,2012
Washington,18,40,26.5,60.7,0.437,5.3,17.2,0.31,12.6,20.6,0.612,12.5,19.1,13.2,24.1,37.3,12.3,6.7,3.1,71.1,2012
Kent State,16,40.3,25.2,53.8,0.47,6.4,16.9,0.378,14.1,20.2,0.697,13.1,16.4,8.9,21.2,30.2,15.8,8.7,4.6,70.9,2012
Tennessee State,16,40.9,24.6,54.7,0.449,5.6,16.8,0.332,16.2,23.1,0.705,13.8,17.9,11.1,21.7,32.8,11.9,7.1,3.1,70.9,2012
Coastal Carolina,18,40.6,26.6,56,0.474,5.2,14.4,0.358,12.6,18.3,0.688,13.2,17.3,10.2,25.5,35.8,12.3,5.6,3.9,70.9,2012
Quinnipiac,18,40.6,26.3,60.6,0.434,4.1,12.6,0.326,14.2,22.1,0.645,12.2,19.1,15.8,24.6,40.4,12.8,5.4,2.5,70.9,2012
Villanova,18,40.8,23.8,58.3,0.408,5.8,17.9,0.323,17.5,23.3,0.752,15.2,20.3,12.8,23.4,36.2,12.2,5.5,3.2,70.8,2012
Vanderbilt,16,40.3,23.1,50.6,0.457,8.9,21,0.423,15.6,22.1,0.708,12.8,15.8,9.6,22.4,32,12.9,4.8,4.6,70.8,2012
Manhattan,18,40,24.1,54.5,0.441,7.4,19.7,0.376,15.2,21.2,0.717,15.2,19,10.9,22.1,33,14.5,7.9,5.1,70.7,2012
St. Francis (NY),18,40,24.4,55,0.443,7.8,21.7,0.361,14.1,20.3,0.691,16.2,20.8,9.9,23.6,33.5,14,7.2,2,70.7,2012
Chattanooga,18,40.6,24.3,58.7,0.414,6.7,21.6,0.312,15.4,22.4,0.686,12.9,16.9,11.2,25.8,37,12.6,5.1,0.9,70.7,2012
Sacred Heart,18,41.1,24.9,53.8,0.463,6.9,18.7,0.371,13.8,18.4,0.75,15.4,17.4,9,22.1,31.1,13.3,7.2,3.1,70.6,2012
Bethune-Cookman,16,40,25.1,53.1,0.473,5.4,15.5,0.347,14.9,21.7,0.686,12.9,19.6,9.9,19,28.9,12.7,6.7,2.5,70.5,2012
Austin Peay,16,40,24.9,53.2,0.468,4.4,12.6,0.353,16.3,23.7,0.689,13.7,17.8,10.7,20.7,31.4,11.7,6.9,3.9,70.5,2012
Purdue,18,40,24.9,57.1,0.436,7.7,20.4,0.375,13,19,0.684,8.1,17.4,8.9,20,28.8,12.8,5.8,2.8,70.4,2012
New Mexico,14,40,25.7,55.8,0.461,7.7,20.5,0.376,11.3,16.9,0.667,13.1,17.6,10.6,25.8,36.4,15.6,6,3,70.4,2012
Monmouth,18,40.6,25.3,57.4,0.44,6.7,18.1,0.369,13.2,19.7,0.668,13.4,20.7,9.2,19,28.2,14.4,8.3,1.6,70.4,2012
South Dakota,18,40.3,25.4,56.7,0.448,6.5,18.2,0.358,13.1,18.2,0.719,13.1,15.1,8.1,22.7,30.8,13.8,6.6,2.9,70.3,2012
Delaware State,16,41.2,25.1,55.2,0.454,6.3,18.4,0.344,13.9,19.3,0.718,10.2,16.8,10.2,18.6,28.8,12.4,8.1,6.6,70.3,2012
Miami (FL),16,40.9,25.4,59.2,0.429,7.3,22,0.332,12.1,16.6,0.728,11.6,16.3,11.1,23,34.1,12.1,6.3,3.1,70.2,2012
NC State,16,40.3,25.4,57.1,0.445,5.1,14.6,0.346,14.4,20.9,0.69,12.3,16.5,11.2,23.6,34.8,14.5,7.1,3.6,70.2,2012
Texas State,16,40,24.6,57.9,0.424,8.1,22.7,0.358,12.9,18.3,0.706,15.6,20.1,9.8,22.8,32.6,13.1,7.9,3.4,70.2,2012
Loyola Marymount,16,40.3,23.3,54.8,0.425,6.5,17.9,0.364,16.9,22.9,0.74,12.8,17.6,10.3,22.5,32.8,10.6,7.7,3.2,70.1,2012
North Florida,18,40.8,25.6,53.4,0.479,6.7,17.6,0.383,12.1,19.9,0.609,15.1,17.6,9.9,22.4,32.3,12.9,5.6,3.1,70.1,2012
High Point,18,40.6,23.4,52.9,0.443,8.2,20.4,0.402,14.9,21.1,0.708,12.8,19.7,9.4,21.2,30.6,11.7,5.2,2.8,70.1,2012
Saint Joseph's,16,40.9,24.9,55.1,0.451,6.1,18.7,0.328,14.1,20.2,0.7,12.9,15.1,10.5,25.2,35.8,14.3,4.2,5.9,70,2012
N.J.I.T.,10,41,24.2,58.4,0.414,7.7,22.1,0.348,13.8,18.9,0.73,11.9,21.8,10.7,21.9,32.6,11.6,7.4,2.9,69.9,2012
Mercer,18,40,24.3,50.6,0.48,6.4,17.8,0.361,14.9,20.7,0.718,14.7,18.7,9.2,21.8,31,13.5,6.8,4.8,69.9,2012
Delaware,18,41.1,23.1,54.6,0.423,5.3,16.6,0.319,18.3,24.6,0.747,12.2,17.9,9.2,26.1,35.3,9.3,5.2,4.8,69.8,2012
Western Carolina,18,40.6,24.4,60.1,0.406,7.5,21.8,0.344,13.6,20.1,0.676,12.7,20.4,12.8,20.9,33.8,10.4,8.1,2.8,69.8,2012
Lafayette,14,40,23.9,54.4,0.44,8.5,22.7,0.374,13.4,17.6,0.764,10.1,19.9,6.2,20.6,26.9,12.6,5,2.3,69.8,2012
George Mason,18,40.3,24,53.7,0.447,4.8,14.8,0.327,16.9,23.3,0.726,14.8,20.1,10,24.6,34.6,12.6,7.3,4.6,69.7,2012
Robert Morris,18,40.3,23.5,54.1,0.435,6.2,18.6,0.332,16.5,23.1,0.716,13.7,20.8,12.2,19.6,31.8,13.8,9.2,2.2,69.7,2012
Southern Mississippi,16,41.2,23.1,56.2,0.411,5.9,17.2,0.342,17.4,24,0.727,10.8,19.2,12,21.2,33.1,11.2,5.9,2.7,69.6,2012
Texas,18,40.3,23,54.8,0.42,5.1,16,0.319,18.4,24.7,0.746,12.6,20.3,11.7,20.6,32.3,11.6,6.8,3.3,69.6,2012
UCLA,18,40,26.6,54.8,0.485,5.2,12.5,0.413,11.3,17.1,0.661,12.7,17.4,9.2,22.4,31.6,14.7,7.9,3.8,69.6,2012
Arizona,18,40.3,22.7,51.7,0.439,7.3,18.9,0.384,16.8,24.5,0.685,12.5,16.5,9.6,23.8,33.3,13.9,5.6,3.4,69.4,2012
Denver,16,40.6,24.3,50.1,0.486,8.4,22,0.384,12.1,16.5,0.735,11.2,18.1,6.8,19.9,26.6,16.1,7.9,4.8,69.2,2012
Montana State,16,40.6,24.6,57.2,0.43,7.2,19.9,0.364,12.8,18.1,0.706,14.4,20,10.5,21.3,31.9,13.4,6,3.9,69.1,2012
Cal State Northridge,16,40.3,23.6,59.8,0.394,6.6,19.7,0.333,15.3,20.9,0.731,12.4,20.8,12.9,19.9,32.9,14.1,5.6,2.5,69,2012
UC Irvine,16,40.6,24.2,57.6,0.42,8.1,23.2,0.349,12.5,18.9,0.66,14.1,17.8,10.8,23.6,34.4,16.1,4.9,4.8,69,2012
North Carolina A&T,16,40.6,24.1,57,0.423,6.8,19.9,0.342,13.9,21.6,0.645,14.1,17.4,9.8,22.8,32.6,12.1,6.8,2.7,69,2012
Fort Wayne,18,40,24.9,54.8,0.454,5.5,16.6,0.332,13.7,19.6,0.702,14,20.4,8.8,22.1,30.9,13.1,5.9,2.2,69,2012
Niagara,18,40.3,23.3,58.9,0.396,8.2,24.6,0.335,14.1,20.3,0.693,12.6,21.5,10.8,19.6,30.4,12.3,8.6,2.7,68.9,2012
Texas-San Antonio,16,40.3,23.4,54,0.433,8.2,21.7,0.378,14,19,0.737,15.1,17.2,9,22.8,31.8,13.3,8.3,3.6,68.9,2012
Middle Tennessee State,16,40,25.2,53.5,0.472,4.1,12.9,0.32,14.3,22.6,0.634,13.3,19,10.6,23.2,33.8,15.4,6.9,4.2,68.9,2012
Buffalo,16,40,24.4,53.3,0.458,6.6,19.4,0.342,13.2,20.5,0.646,14.3,17.5,10.6,25.6,36.1,15.4,4.4,5.6,68.9,2012
Arkansas,16,40,24.4,56.1,0.435,6.7,18.1,0.37,13.4,19.6,0.687,12.6,20.6,8.6,19.5,28.1,12.4,7.9,3.6,68.9,2012
Detroit,18,40,23.4,53.2,0.439,4.4,14.9,0.295,17.6,24.3,0.723,12.6,19.2,11,20.2,31.2,12.2,7.9,4.5,68.7,2012
Florida,16,40,23.4,53.2,0.44,8.6,23.9,0.361,13.2,17.2,0.764,10.9,15.8,9.2,21.5,30.8,12.2,5.4,3.1,68.7,2012
Charleston,18,41.1,23.6,58.6,0.403,7.6,25.3,0.301,13.8,21.7,0.637,12.8,16.7,10.5,24,34.5,11.2,8.3,4.2,68.7,2012
Bucknell,14,40,23.7,51,0.465,5.5,14,0.393,15.7,19.9,0.791,11.1,16.8,8.4,27.3,35.7,12.6,3.9,3.5,68.6,2012
Mississippi State,16,41.2,24.2,54.4,0.444,7.1,19.5,0.365,13.1,18.3,0.717,11.7,14.1,9.6,23.5,33.1,12.6,5.4,3.2,68.6,2012
Saint Louis,16,40.3,24.2,56.4,0.429,6.7,19.9,0.336,13.5,19.2,0.704,11.6,17.4,10.6,21.6,32.1,13.8,7.8,2.6,68.6,2012
Morgan State,16,40.6,24,54.8,0.438,5.2,16.8,0.312,15.2,22.4,0.679,15.2,18.6,11.1,21.8,32.9,12.6,5.9,5.1,68.4,2012
Princeton,14,40,24.9,51,0.487,7,17.3,0.405,11.6,15.8,0.733,11,16,6,23.9,29.9,14.1,6.1,4.4,68.3,2012
Florida State,16,40,24.6,54.1,0.454,6.4,17.1,0.377,12.7,18,0.705,15,19.6,10.1,22.3,32.4,11.6,7.1,4.9,68.2,2012
Michigan State,18,40.3,24.6,51.9,0.474,5.2,14.2,0.365,13.8,19.4,0.711,12.3,16.9,9.9,24.6,34.5,13.9,6.8,3.6,68.2,2012
Rhode Island,16,40.6,24.6,60.6,0.405,5.3,18.5,0.287,13.8,19.8,0.699,13.9,16.6,13.8,23.6,37.4,11.1,5.8,3.6,68.2,2012
McNeese State,16,40,24,55.9,0.43,5.3,15.8,0.337,14.9,21.4,0.696,12.3,17.6,11.3,23.2,34.4,10.7,6.8,3.5,68.2,2012
Northwestern State,16,40,24.1,56.3,0.428,5.8,18.9,0.305,14.2,23.2,0.612,15.1,20.8,11.7,22.8,34.5,13.3,8.1,6.7,68.2,2012
Western Kentucky,16,40.6,23.4,58.2,0.402,5.8,19.1,0.302,15.7,20.8,0.756,13.6,19.1,11.1,22.6,33.7,12,6.1,3.6,68.2,2012
Central Arkansas,16,40.3,26.6,64.5,0.413,6.1,19.2,0.316,8.8,16.3,0.54,15.4,21.5,12.9,21.5,34.4,15,7.8,3,68.1,2012
Appalachian State,18,40.3,24,53.3,0.45,6.1,18.3,0.331,14.1,21.6,0.65,13.2,19.5,8.6,24.1,32.7,11.7,6,3.7,68.1,2012
Texas-RGV,10,40,22.1,51.9,0.426,7.6,19.8,0.384,16.2,21.8,0.743,13.2,19,7.2,21.4,28.6,13.1,5.1,1.5,68,2012
Florida A&M,16,40.3,25.9,61,0.424,5.5,17.9,0.307,10.8,16.9,0.637,16,20.3,14.2,22.1,36.3,10.5,8.2,4.6,68,2012
Providence,18,40.3,23.4,57,0.411,5.6,15.2,0.366,15.4,21.2,0.725,11.6,17.2,11.9,21.5,33.4,14.1,4.7,5.1,67.8,2012
West Virginia,18,40.6,23.9,57.4,0.417,5.1,17.6,0.287,14.9,21.3,0.7,11.7,15.6,14,21.7,35.7,14.1,6.1,2.6,67.8,2012
VCU,18,40.3,23,57.6,0.399,7.4,23.1,0.322,14.4,21.4,0.671,11.2,18.1,11.9,22.3,34.2,12.7,11.2,4,67.8,2012
Maryland,16,40.9,22.7,56.1,0.405,5.8,16.6,0.35,16.6,24.4,0.68,13.3,18.9,10.8,24.1,34.9,9.9,4.4,4,67.8,2012
San Diego,16,40.3,24.1,53.8,0.449,6.6,17.2,0.384,12.9,19.4,0.666,12.9,18.9,7.8,21.2,29,13.9,6.9,3.6,67.8,2012
Iowa,18,40,23.6,52.3,0.452,5.5,14.5,0.379,15.1,21.7,0.693,13.7,16.4,9.5,21.4,30.9,13.3,6.4,3.7,67.8,2012
Cleveland State,18,40,25.1,51.9,0.484,6.8,16.7,0.407,10.8,15.3,0.703,13.8,19.8,9.1,21.2,30.3,13.9,7.9,3.7,67.8,2012
Wofford,18,40.3,25.4,54.6,0.466,7.3,20.1,0.365,9.6,13.6,0.705,10.8,15.9,8.4,22.3,30.7,15.1,5.4,2.4,67.8,2012
Houston Baptist,10,40.5,23.8,57,0.418,3.9,12.6,0.31,16.2,22,0.736,14.9,20.5,10.7,22,32.7,10.8,6.6,0.9,67.7,2012
Ohio,16,40,22.3,55.2,0.404,6.4,21.1,0.305,16.6,23.2,0.715,13.2,19.8,11.7,20.7,32.4,11.7,9.1,2.6,67.7,2012
Illinois State,18,40.6,23,52.6,0.437,7.8,21.5,0.362,13.9,18.7,0.742,11.6,16.9,8.8,26.5,35.3,12.4,4.4,3.1,67.7,2012
Sacramento State,16,40,23.8,53.2,0.447,5.5,16,0.344,14.5,20.9,0.693,13.7,20.1,9.1,22.6,31.7,13.5,4.6,2.3,67.6,2012
Santa Clara,16,40,24.1,59.1,0.408,6.9,19.8,0.351,12.4,18.1,0.686,11.1,22.7,9.9,20,29.9,12.7,4.9,3.9,67.6,2012
Central Connecticut State,18,40.6,24.1,56.2,0.428,5.2,16.1,0.325,14.3,18.7,0.768,14.2,18.1,10.6,20.2,30.8,13.7,8.4,3.2,67.6,2012
North Dakota,10,40,24.7,53.7,0.46,7.4,19.9,0.372,10.8,19.6,0.551,16.2,17.2,9.8,26.2,36.1,13.9,6.2,5.2,67.6,2012
Savannah State,16,40,23.9,53.3,0.449,6.5,18.6,0.349,13.1,22.1,0.593,13.2,18.6,11.7,22.6,34.3,13.4,6.4,3.6,67.6,2012
San Diego State,14,40.7,23.6,53.8,0.44,4.9,16.1,0.301,15.4,20.1,0.765,12.6,16.7,9.1,24.9,33.9,11.3,4.8,2.2,67.5,2012
Idaho State,16,40.9,23.7,55,0.431,6.8,18.8,0.36,13.4,19.5,0.686,13.8,20.1,9.8,18.1,27.8,12.1,6.8,1.9,67.5,2012
Green Bay,18,40.3,23.7,53.2,0.446,6.1,15.3,0.395,14,20,0.7,13.3,18,9.6,22,31.6,13.1,6.5,5.2,67.5,2012
Kansas State,18,40,23.8,55.1,0.431,5.6,16.7,0.336,14.3,21.2,0.675,14.4,19.7,12.9,20.5,33.4,13.7,6.1,4.4,67.4,2012
