Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Virginia Military,18,40.3,30.5,65.2,.468,6.2,17.4,.355,16.9,23.8,.709,14.8,17.9,13.2,26.5,39.7,16.5,6.5,3.2,84.1
Houston Baptist,12,40.8,26.2,54.6,.479,8.8,20.6,.425,20.8,31.6,.660,16.2,21.2,11.5,26.0,37.5,15.3,5.8,3.0,81.9
Chicago State,12,40.4,27.2,58.2,.468,9.0,24.1,.374,18.2,28.6,.638,12.4,20.7,11.5,26.5,37.9,17.0,5.1,3.6,81.8
Centenary,18,40.0,27.8,56.6,.492,7.3,19.8,.367,17.9,25.6,.698,14.9,21.1,11.9,24.2,36.1,16.1,8.4,4.0,80.8
Iowa State,16,40.9,29.6,62.9,.471,7.9,20.6,.386,13.6,20.0,.681,12.3,15.7,12.0,27.2,39.2,16.5,6.6,4.6,80.8
Wake Forest,16,40.0,28.6,60.9,.469,7.2,18.5,.389,15.8,22.4,.704,11.8,17.1,12.2,25.5,37.8,17.0,8.8,3.6,80.1
Providence,18,40.3,29.5,62.1,.475,5.9,17.7,.336,14.9,20.4,.733,13.2,18.8,13.0,25.6,38.6,17.3,6.1,4.7,79.9
South Dakota,12,40.0,28.7,65.4,.438,5.8,16.6,.347,16.0,22.3,.716,10.7,19.5,12.8,26.2,39.0,13.4,5.0,2.2,79.1
Central Arkansas,16,40.3,27.9,56.9,.490,6.1,17.9,.339,17.2,24.1,.714,15.4,21.5,10.7,25.9,36.6,16.2,6.6,4.9,79.0
DePaul,18,40.3,28.9,56.2,.514,5.4,13.6,.396,15.8,22.7,.694,12.1,14.9,11.9,24.6,36.5,17.9,7.1,4.2,78.9
UNC Greensboro,18,40.5,26.7,57.2,.466,8.3,21.8,.383,17.2,23.5,.730,13.9,19.1,10.3,23.9,34.2,13.9,6.8,2.4,78.8
La Salle,16,40.6,28.1,62.2,.452,6.4,18.7,.344,15.6,22.2,.704,13.4,17.7,12.6,23.6,36.2,17.2,7.3,6.0,78.3
UC Irvine,16,41.9,26.8,60.1,.445,7.6,22.8,.332,16.9,23.0,.736,13.9,21.1,10.8,28.1,38.8,14.6,3.6,2.9,78.0
UC Davis,16,41.6,27.7,58.4,.474,5.8,17.5,.332,16.6,24.4,.678,13.3,18.1,11.2,25.0,36.2,14.5,7.2,1.8,77.8
Fordham,16,40.0,26.9,59.8,.450,7.6,20.0,.378,15.8,23.5,.673,10.4,16.3,13.0,26.1,39.1,16.2,7.3,3.9,77.8
Youngstown State,18,40.6,26.3,57.6,.456,6.1,16.0,.378,18.8,25.8,.731,12.6,16.3,10.7,28.8,39.4,13.5,5.9,2.3,77.4
San Jose State,16,42.5,27.1,60.0,.451,7.6,21.7,.352,15.5,23.1,.672,10.9,19.9,10.0,25.3,35.3,16.1,4.6,3.9,77.2
Florida International,16,41.4,26.2,56.9,.460,6.8,20.0,.338,18.1,24.4,.739,14.4,21.9,11.6,22.9,34.5,13.8,5.8,4.2,77.2
California,18,41.4,27.0,58.5,.462,8.8,23.1,.382,13.8,20.1,.688,12.0,22.2,9.6,20.9,30.4,14.1,5.1,3.1,76.7
Missouri-Kansas City,18,41.7,27.2,56.4,.482,6.5,18.0,.361,15.8,21.7,.726,12.6,19.1,10.0,22.7,32.7,13.8,4.7,3.2,76.6
Texas Tech,16,40.3,27.1,58.2,.466,5.9,17.0,.346,16.1,22.9,.700,12.7,18.4,11.3,22.4,33.8,13.1,7.4,3.0,76.2
Loyola Marymount,14,41.4,26.9,58.9,.456,5.8,16.6,.348,16.6,21.6,.766,12.5,17.9,11.0,24.9,35.9,15.9,6.4,3.5,76.1
Alcorn State,18,40.3,26.9,63.7,.422,6.2,20.4,.305,15.9,25.4,.624,15.1,22.7,14.1,29.0,43.1,15.8,8.0,4.2,75.9
Colgate,14,41.1,25.4,54.8,.464,6.9,19.4,.357,18.0,23.3,.773,11.6,19.2,7.6,23.6,31.2,15.1,6.7,3.1,75.8
Southern Utah,18,40.0,24.7,53.9,.458,6.7,17.9,.373,19.7,27.3,.721,13.1,22.3,10.8,19.4,30.2,11.8,6.9,3.0,75.7
Brown,14,40.4,27.2,60.4,.450,7.1,21.4,.334,13.8,18.9,.731,10.5,17.4,9.0,27.8,36.8,13.9,5.6,3.9,75.6
Texas State,16,40.3,26.6,59.6,.447,6.0,19.7,.305,16.3,24.1,.678,15.8,22.1,11.6,25.6,37.2,13.9,5.6,2.4,75.6
Kennesaw State,20,40.8,28.1,60.5,.466,6.2,17.6,.352,13.1,19.7,.662,11.0,18.6,13.3,22.3,35.6,14.8,7.5,3.0,75.5
Wyoming,16,40.0,26.9,55.9,.480,7.8,20.7,.378,13.9,19.4,.719,13.4,18.1,9.8,26.1,35.9,13.8,6.5,3.9,75.5
South Dakota State,18,40.0,27.4,56.7,.483,6.8,16.9,.401,13.8,18.9,.727,13.1,18.7,9.8,22.4,32.2,12.7,4.8,3.3,75.3
Cal State Fullerton,16,40.3,25.0,55.9,.447,9.3,24.6,.379,16.0,22.7,.705,12.9,18.2,9.3,22.5,31.8,15.4,5.3,3.4,75.3
Towson,18,40.3,27.3,54.8,.498,6.9,17.4,.399,13.6,18.5,.733,10.3,16.0,10.4,22.5,32.9,15.8,5.8,3.7,75.2
Chattanooga,18,40.8,26.8,60.2,.445,10.6,29.3,.361,11.1,16.0,.691,12.1,20.2,8.7,23.2,31.9,16.4,6.4,2.0,75.2
Oakland,18,40.0,28.2,64.6,.437,5.9,17.6,.335,12.6,17.8,.709,11.8,21.2,10.5,20.2,30.7,12.1,6.2,1.7,74.9
UMBC,16,40.9,25.6,56.6,.453,9.3,25.1,.372,14.2,20.4,.697,11.8,16.8,11.2,24.1,35.3,14.2,5.8,3.7,74.8
Colorado,16,40.3,26.6,57.9,.460,7.1,18.9,.377,14.4,21.1,.682,12.4,18.8,10.3,22.7,32.9,15.0,6.2,4.0,74.8
Norfolk State,16,41.2,24.4,59.0,.413,5.4,15.7,.343,20.3,28.8,.705,12.9,19.2,11.6,22.1,33.7,10.2,6.9,3.3,74.4
Bryant,18,40.8,25.7,58.3,.440,7.8,21.1,.369,15.1,20.5,.734,12.1,18.1,12.2,24.2,36.5,16.2,6.5,3.1,74.2
Texas-RGV,12,40.4,25.4,52.8,.482,7.0,17.1,.410,16.3,22.6,.723,13.8,21.8,9.7,23.8,33.5,13.9,5.1,2.8,74.2
Lehigh,14,40.7,25.9,58.4,.443,7.0,19.3,.363,15.4,21.8,.705,13.4,20.1,9.4,24.5,33.9,13.9,5.7,3.9,74.1
Portland State,16,40.0,27.5,58.1,.474,6.7,19.1,.351,12.4,18.0,.688,11.2,17.2,11.5,24.5,35.9,15.5,4.6,3.6,74.1
Lamar,16,40.0,26.1,60.2,.433,5.7,17.6,.323,16.1,22.9,.705,14.6,20.6,11.2,23.5,34.8,13.7,6.3,4.0,73.9
Troy,16,41.2,25.4,59.6,.427,7.8,22.7,.344,15.2,21.9,.694,15.3,16.8,11.6,25.4,37.0,13.0,9.0,3.8,73.9
Army,14,40.0,25.5,54.7,.466,7.0,19.9,.351,15.9,23.3,.681,12.9,17.1,9.6,26.1,35.6,14.6,5.7,4.3,73.9
Oregon State,18,40.0,25.8,53.8,.479,8.1,22.4,.361,14.1,21.1,.670,14.5,18.9,9.2,22.9,32.1,15.8,6.2,4.5,73.8
NC State,16,40.0,27.2,60.2,.452,5.1,15.7,.327,14.2,19.0,.750,10.2,16.6,12.1,23.3,35.4,11.8,5.8,5.2,73.8
Detroit,18,40.3,26.4,59.5,.444,7.5,22.1,.339,13.4,19.4,.691,12.9,20.6,10.2,18.8,29.1,13.8,7.5,2.5,73.7
Missouri,16,40.3,26.4,57.9,.456,5.1,14.4,.351,15.7,23.1,.680,16.4,19.4,12.5,24.7,37.2,13.8,5.6,2.8,73.6
Northwestern State,16,41.2,24.5,58.7,.417,6.9,18.6,.370,17.7,25.9,.684,16.9,25.1,13.8,24.0,37.9,13.8,7.6,2.4,73.6
Dartmouth,14,40.4,24.7,54.1,.457,8.1,21.3,.383,15.9,21.0,.759,12.4,16.5,9.9,25.4,35.3,13.6,7.2,3.9,73.5
Pepperdine,14,40.7,25.9,55.9,.463,7.7,20.1,.383,13.7,19.1,.719,12.0,18.0,9.0,22.6,31.6,17.1,6.9,4.3,73.1
Charlotte,16,41.9,26.2,57.6,.456,6.6,20.8,.316,13.9,19.2,.726,11.3,16.7,10.1,22.9,33.0,15.2,7.1,4.1,73.0
Southeast Missouri State,18,40.3,25.4,56.8,.448,5.5,15.7,.350,16.6,22.6,.735,11.3,21.6,10.2,22.8,33.0,12.2,6.4,2.9,73.0
North Texas,16,40.0,25.4,56.1,.453,5.4,16.3,.330,16.8,23.5,.713,11.2,22.2,10.1,20.5,30.6,11.4,6.4,3.4,73.0
Iowa,18,40.6,26.7,56.5,.473,7.3,20.3,.362,12.1,16.3,.741,12.6,16.8,10.5,21.3,31.8,17.1,7.2,3.3,72.8
Elon,18,40.0,25.6,56.4,.453,6.8,18.3,.374,14.8,22.1,.668,13.1,20.9,10.4,24.9,35.2,12.1,4.9,2.7,72.7
Texas Christian,16,40.3,25.8,52.8,.488,6.5,18.5,.351,14.6,20.8,.705,11.6,13.7,7.7,26.3,34.0,15.7,5.8,3.6,72.6
South Alabama,16,40.3,26.2,56.9,.461,6.6,17.8,.373,13.5,20.2,.669,13.2,18.6,11.5,22.3,33.8,13.1,6.5,3.6,72.6
Marist,18,40.0,26.3,57.9,.455,7.2,20.7,.349,12.7,18.9,.674,10.2,17.9,11.0,23.1,34.1,15.2,7.1,3.8,72.6
Maryland,16,40.0,26.5,59.4,.446,7.5,19.8,.380,12.1,17.6,.687,13.4,18.2,10.5,23.3,33.8,14.8,5.7,4.2,72.6
Maryland-Eastern Shore,16,40.3,24.4,54.1,.450,5.9,18.1,.324,17.9,26.6,.675,14.4,17.6,10.7,23.9,34.6,12.5,8.5,3.2,72.6
Idaho State,16,40.9,24.2,52.7,.459,7.4,18.4,.405,16.7,22.9,.728,12.0,19.2,9.6,22.6,32.2,13.2,4.6,3.5,72.5
Tennessee-Martin,18,40.8,26.8,55.3,.484,5.2,14.5,.360,13.7,21.1,.649,15.6,20.5,11.2,22.3,33.6,15.3,8.1,4.4,72.4
High Point,18,40.7,24.6,53.1,.463,4.7,15.3,.309,18.5,26.2,.707,15.7,18.3,11.2,25.4,36.6,10.7,7.9,3.6,72.3
Indiana,18,40.3,23.3,50.3,.462,7.0,17.5,.400,18.8,26.3,.715,10.4,17.8,9.0,22.3,31.3,13.3,6.2,4.6,72.3
Fort Wayne,18,40.3,24.1,50.4,.477,5.2,15.0,.348,18.9,25.7,.737,12.9,18.7,7.1,21.5,28.6,11.4,6.0,3.8,72.3
Ohio,16,41.3,25.1,56.1,.447,7.1,18.7,.378,15.1,20.6,.733,14.3,20.4,10.6,21.1,31.8,13.6,5.5,4.2,72.2
North Dakota State,18,40.6,25.4,55.3,.459,5.1,14.6,.347,16.4,22.8,.720,12.8,19.0,9.0,21.0,30.0,10.6,5.4,4.2,72.1
Oral Roberts,18,40.3,24.8,54.6,.454,6.1,17.5,.349,16.4,22.1,.741,12.7,20.1,9.0,19.4,28.4,11.8,5.6,2.9,72.1
Tennessee Tech ,18,40.8,24.4,55.6,.440,5.9,16.8,.351,17.2,24.4,.702,13.8,19.6,9.9,19.2,29.1,13.8,7.2,2.9,71.9
Georgia Southern,18,40.0,24.8,50.3,.493,6.9,17.9,.385,15.5,22.0,.705,14.4,17.9,9.1,20.7,29.8,13.4,7.3,3.2,71.9
Wagner,18,41.1,21.8,51.0,.427,5.4,15.1,.357,23.0,32.1,.716,15.3,20.5,10.8,23.1,33.8,11.9,6.5,3.2,71.9
Radford,18,40.6,25.2,56.1,.449,6.7,19.9,.338,14.8,23.2,.636,14.8,19.2,12.4,24.8,37.2,15.7,8.0,3.4,71.8
IUPUI,18,40.6,26.8,55.1,.486,7.8,19.3,.405,10.4,14.8,.704,11.3,17.2,8.9,19.5,28.3,14.5,4.3,3.2,71.8
Illinois-Chicago,18,40.8,26.5,57.6,.460,6.7,18.1,.368,12.1,18.4,.657,11.3,17.3,10.4,20.6,31.0,14.4,7.0,3.3,71.8
Long Island,18,40.3,27.8,65.0,.427,5.7,19.3,.297,10.5,15.8,.665,13.8,23.8,12.5,22.6,35.1,14.6,6.3,3.4,71.8
North Carolina A&T,16,40.9,26.1,64.3,.406,8.5,26.8,.317,11.1,15.7,.709,13.1,21.4,13.3,23.2,36.6,13.2,7.5,4.3,71.8
Stetson,20,41.0,23.9,54.6,.438,7.3,20.7,.355,16.4,23.4,.699,14.6,19.7,11.5,22.0,33.5,14.2,7.0,3.6,71.7
San Francisco,14,40.7,25.3,61.1,.414,6.6,20.4,.322,14.5,19.4,.746,11.6,20.1,10.5,25.5,36.0,14.1,5.5,4.2,71.6
Manhattan,18,40.0,24.8,54.2,.457,8.2,19.5,.422,13.8,20.8,.666,12.3,17.2,11.0,22.2,33.3,16.0,7.4,3.6,71.6
Washington,18,40.3,24.2,57.2,.423,5.3,15.3,.345,17.7,25.4,.697,13.4,19.0,10.0,22.2,32.2,11.6,6.0,2.2,71.4
Fairleigh Dickinson,18,40.3,25.4,56.6,.450,5.8,15.2,.383,14.7,20.9,.700,10.2,17.7,9.7,22.0,31.7,14.2,6.6,3.7,71.4
Oklahoma,16,40.3,24.7,52.6,.469,5.4,15.3,.355,16.6,21.4,.773,13.4,17.9,9.7,23.8,33.5,13.1,6.5,2.6,71.4
Arizona,18,40.8,26.0,57.1,.456,4.4,16.6,.265,14.9,22.1,.678,11.4,19.6,8.5,21.1,29.6,14.3,6.1,3.9,71.3
