Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Omaha,16,40.0,31.0,61.4,.505,8.4,20.7,.405,13.5,18.2,.740,12.8,15.7,11.0,25.1,36.1,15.8,7.6,3.2,83.9
DePaul,18,40.8,29.3,58.3,.503,5.8,14.3,.409,17.1,23.6,.724,14.1,16.2,12.1,25.7,37.8,16.1,7.8,5.4,81.6
Central Arkansas,18,41.7,28.2,63.0,.447,6.2,16.5,.374,16.9,26.3,.643,13.8,17.8,14.1,27.1,41.2,16.6,7.8,3.7,79.4
Longwood,16,40.0,29.1,60.6,.480,6.8,17.4,.387,13.8,18.0,.767,13.1,17.0,11.5,23.9,35.4,15.8,8.1,3.3,78.8
Duquesne,16,40.3,27.5,58.8,.468,8.1,21.6,.377,15.1,22.1,.683,11.9,16.0,11.6,27.1,38.7,17.3,7.2,4.4,78.2
Fairleigh Dickinson,18,40.6,27.1,60.4,.449,7.1,20.2,.352,16.8,24.1,.700,12.8,17.8,14.3,26.1,40.3,16.1,7.7,3.1,78.2
Texas State,18,40.3,27.7,58.6,.473,7.2,19.9,.363,15.1,19.9,.760,14.5,18.8,11.6,27.0,38.6,15.2,6.8,3.7,77.8
IUPUI,16,40.6,27.8,55.2,.503,7.5,19.2,.391,14.6,19.5,.750,10.6,14.5,9.2,26.0,35.2,15.6,6.5,2.9,77.8
Lamar,18,40.6,28.8,63.8,.451,6.4,17.9,.357,13.8,19.9,.693,11.1,17.6,12.1,24.7,36.7,16.4,9.8,4.2,77.7
Austin Peay,16,41.2,27.2,59.5,.457,8.0,21.2,.378,15.2,20.1,.757,12.9,20.3,11.1,23.3,34.4,15.4,8.6,2.6,77.6
Houston,16,41.6,27.2,59.9,.454,6.4,20.8,.307,16.8,23.9,.704,12.8,19.0,11.3,22.5,33.8,15.4,6.8,2.8,77.6
Cal State Fullerton,18,40.0,28.6,57.3,.499,6.9,18.0,.383,12.9,18.8,.684,15.3,17.2,11.9,24.8,36.8,16.9,5.4,3.2,77.0
Tennessee-Martin,16,40.3,25.6,53.1,.482,7.6,20.4,.373,17.9,24.4,.736,12.8,18.9,8.5,24.5,33.0,16.4,6.8,4.6,76.8
Fordham,16,40.0,25.9,58.1,.447,7.9,21.8,.362,16.9,25.1,.672,10.2,17.9,11.3,24.1,35.4,15.5,7.6,3.3,76.6
Lipscomb,18,40.8,26.0,56.7,.459,8.1,23.1,.352,16.2,24.4,.661,13.8,20.6,10.5,23.4,33.9,15.6,6.8,3.9,76.3
Central Connecticut State,18,40.6,27.9,63.0,.443,8.2,23.7,.344,12.3,18.1,.680,12.4,18.4,12.4,26.4,38.8,14.9,6.1,2.6,76.2
East Carolina,16,40.6,28.8,61.9,.465,5.8,15.5,.371,12.5,19.9,.627,13.5,18.0,13.8,24.8,38.5,16.4,6.2,3.4,75.8
Virginia Tech,18,40.8,25.4,55.6,.457,8.3,20.4,.408,16.6,24.4,.680,9.4,16.6,10.2,24.8,35.1,14.5,5.4,3.9,75.7
Sacred Heart,18,40.3,26.2,58.7,.446,6.6,17.6,.373,16.8,23.6,.711,12.8,17.8,11.8,22.2,34.0,13.2,8.2,3.2,75.7
Marshall,16,40.0,26.7,57.9,.461,6.8,17.3,.394,15.2,23.1,.661,13.4,19.6,12.8,23.7,36.5,15.8,9.0,3.1,75.4
Chattanooga,18,40.6,26.3,57.1,.461,9.8,24.6,.400,12.7,17.7,.718,11.6,19.2,8.3,24.1,32.3,17.5,6.9,3.1,75.2
Cal State Northridge,18,40.0,26.6,53.1,.501,7.7,19.7,.389,14.4,20.9,.691,15.2,18.2,8.9,23.7,32.6,14.9,6.3,2.8,75.2
Southeast Missouri State,16,40.3,26.5,61.8,.429,7.2,19.8,.366,14.9,22.4,.666,10.8,18.0,13.5,22.5,36.0,13.6,6.1,3.8,75.2
Iona,18,41.4,27.7,62.3,.445,8.3,22.9,.363,11.3,17.7,.642,13.2,17.8,12.7,23.4,36.2,15.7,4.9,5.1,75.1
Hawaii,18,40.0,26.2,58.6,.446,8.5,21.6,.394,13.9,19.5,.712,12.1,18.7,10.4,21.3,31.8,15.6,7.6,2.2,74.7
Long Island,18,40.3,27.0,59.5,.454,7.4,19.7,.376,13.2,18.9,.698,12.6,21.2,11.6,19.6,31.1,14.3,7.8,3.3,74.6
Drake,18,40.8,25.6,55.9,.457,7.8,20.5,.382,15.6,20.7,.751,11.6,17.3,8.6,24.3,32.8,14.7,8.5,3.4,74.5
Virginia Military,16,40.0,27.6,60.8,.453,6.9,17.7,.389,12.5,18.2,.687,13.2,15.7,12.8,24.9,37.8,14.8,6.3,2.2,74.5
Oakland,16,40.0,27.2,53.9,.506,8.0,20.8,.386,11.9,16.9,.707,14.6,17.2,7.2,22.9,30.1,14.9,5.7,3.3,74.4
Louisiana-Lafayette ,20,40.5,25.2,58.2,.433,5.8,17.4,.334,18.1,25.4,.711,14.3,18.9,12.8,24.9,37.8,11.9,6.4,3.4,74.3
Mississippi State,18,40.6,27.2,58.8,.463,7.4,21.6,.342,12.4,17.1,.726,14.1,17.5,11.8,25.6,37.4,16.7,8.8,4.2,74.2
South Dakota,16,40.0,28.1,59.8,.470,8.6,22.2,.389,9.1,13.1,.690,9.2,16.9,9.2,21.7,30.9,14.9,5.4,2.6,73.9
Iowa State,18,41.1,26.6,60.1,.442,6.5,20.2,.321,14.0,20.4,.687,12.0,18.4,10.8,23.1,33.9,14.3,6.4,2.8,73.6
Morehead State,16,40.9,23.4,49.8,.470,6.6,17.7,.375,20.1,27.8,.725,15.9,18.9,8.6,18.9,27.4,14.5,8.4,3.6,73.5
Rice,16,40.0,24.9,48.2,.516,6.1,16.3,.375,17.6,25.8,.683,12.5,16.2,10.2,26.6,36.9,13.8,6.4,4.0,73.5
Grambling State,18,40.0,26.8,59.9,.448,7.7,20.6,.372,12.1,18.7,.646,8.7,14.0,12.6,24.0,36.6,14.5,8.2,3.7,73.4
St. Bonaventure,16,40.6,24.9,54.6,.455,7.6,20.9,.362,16.1,22.2,.724,14.1,20.2,11.5,20.9,32.4,14.4,6.9,3.3,73.4
Louisiana-Monroe ,20,40.2,25.2,52.5,.481,7.0,19.2,.366,15.7,21.9,.716,14.7,15.1,9.9,22.9,32.8,13.8,7.7,4.9,73.2
Kennesaw State,18,41.1,24.8,51.1,.485,6.5,16.4,.395,17.1,24.6,.695,13.7,17.5,8.8,25.1,33.9,14.1,6.3,2.9,73.1
Texas Tech,18,40.3,24.5,52.5,.467,6.1,16.2,.377,18.0,25.3,.711,12.4,18.1,11.0,24.8,35.8,13.2,7.4,3.9,73.1
Portland State,20,40.2,26.8,55.4,.484,6.3,16.8,.378,13.1,17.9,.729,10.6,15.8,9.8,22.1,31.9,14.6,5.8,3.0,73.0
Bryant,18,40.3,27.0,59.9,.450,8.7,24.3,.359,10.1,15.4,.657,11.2,19.2,10.6,20.3,30.9,15.3,6.6,3.8,72.8
Liberty,16,40.6,25.2,60.3,.419,6.0,18.5,.324,16.3,22.4,.729,10.4,18.8,12.6,24.1,36.6,12.1,6.2,3.5,72.8
Mississippi Valley State,18,40.3,25.8,55.8,.463,5.4,15.1,.362,15.4,24.3,.634,16.2,21.1,12.3,24.9,37.2,11.8,7.7,3.7,72.5
Charlotte,16,40.3,24.8,55.1,.449,7.4,20.4,.364,15.4,22.3,.692,14.6,21.4,10.4,22.1,32.6,12.6,7.4,3.6,72.4
