Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Oakland,18,40,31.1,59.6,0.522,8.6,21.6,0.399,18.3,25.8,0.709,13.3,17.7,11.2,27.3,38.6,17.6,6.9,6.3,89.1,2011
Virginia Military,18,40.3,29.4,64.9,0.453,11.4,30.1,0.381,15.6,22.2,0.703,13.4,19.7,11.3,22.6,33.9,14.3,8.1,4.5,85.8,2011
South Dakota State,18,40,29.1,61.8,0.471,9.5,22.7,0.418,15.6,20.9,0.747,9.2,18.2,10.5,21.6,32.1,14.9,5.9,2.2,83.3,2011
South Dakota,12,40,28.4,61,0.466,7.4,22.2,0.335,17.9,25.2,0.712,10.8,18.7,9.5,25.8,35.3,14.5,4.7,3.7,82.2,2011
Long Island,18,40.3,28.5,61.4,0.464,7,19.8,0.354,18.1,29.3,0.619,13.8,16.8,14.4,26.2,40.6,14.7,6.2,3.3,82.1,2011
Brigham Young,16,40,26.8,59.4,0.452,9.1,23.2,0.391,19.3,24.1,0.803,11.3,18,10.2,27.6,37.8,14.2,7.5,4.3,82,2011
Kansas,16,40,29,56.8,0.511,7.6,18.7,0.405,15.6,22.9,0.678,13.2,18.1,10.8,24.6,35.4,17.3,7.4,3.8,81.1,2011
Utah Valley,12,41.7,25.4,57.3,0.443,7.2,20.2,0.355,21.5,29.2,0.737,11.9,18.5,11.4,28.5,39.9,15.2,3.7,2.6,79.5,2011
Washington,18,40.3,28.4,62,0.459,8.3,23.9,0.348,14.2,21.1,0.674,12.7,20.4,11.9,24,35.9,16.1,5.4,5.6,79.4,2011
Belmont,20,40,27.5,57.9,0.475,9.4,24.1,0.39,15,20.4,0.735,13.2,19.9,11.2,23.2,34.5,16.4,9.6,3.4,79.4,2011
Iona,18,40.6,28.3,59.7,0.474,7.8,21,0.37,14.8,22.7,0.652,11.7,17.8,11.5,23.8,35.3,16.7,6.9,3.2,79.2,2011
Oral Roberts,18,40.3,28.3,56.9,0.498,5.7,15.7,0.362,16.4,22.6,0.725,12.7,19.6,11.1,22.6,33.6,13.9,5.8,3,78.7,2011
Charleston,18,40,29.8,60.7,0.492,8,22.6,0.354,10.8,13.9,0.777,10.6,14.8,10.7,22.6,33.2,13.9,5.8,4.4,78.5,2011
Texas State,16,40.3,26.4,58.8,0.45,6.3,18.6,0.339,19.1,26.7,0.717,13.3,20.7,10.3,23.9,34.2,13.6,7.1,3.2,78.3,2011
Saint Mary's,14,40.4,27.2,56,0.486,8.4,21,0.398,15.1,19.7,0.768,10.7,17.6,9.2,23.1,32.3,15.8,6.9,3.3,77.9,2011
California,18,41.4,26.8,55.3,0.484,5.1,13,0.389,19,27,0.704,12.3,17.1,9.9,22.9,32.8,15.9,5.6,2.2,77.6,2011
Lamar,16,40,26.6,62.4,0.425,7.7,21.6,0.355,16.2,24.1,0.674,15.3,21,14.6,24.3,38.9,14.1,6.9,4.4,77.1,2011
Missouri,16,40.3,27.2,61.2,0.444,6.9,19.9,0.348,15.6,20.9,0.743,12.3,20.5,10.5,20.9,31.4,14.5,9.2,4.9,76.9,2011
Norfolk State,16,41.2,27.3,58.3,0.468,6.3,19.6,0.323,15.9,23.3,0.681,15.2,22.2,10.7,24.7,35.4,14.5,7.2,5.9,76.8,2011
