Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Xavier,16,40,25.9,52.4,0.493,5.7,15.6,0.365,19.2,24.8,0.778,11.6,16.2,9.8,25.5,35.4,14.3,5.2,3.1,76.7,2011
Gonzaga,14,40.7,27,55.4,0.488,5.2,15.2,0.343,17.4,23.5,0.742,12,18.8,11,23.6,34.6,15.3,8.4,4.4,76.6,2011
Coppin State,16,40.9,26.6,60.9,0.436,8,21.4,0.373,15.5,20.9,0.74,14.2,17.8,12.3,25.2,37.5,12.6,7.9,2.2,76.6,2011
UC Irvine,16,41.9,24.3,59.6,0.408,7.6,22.8,0.332,19.6,27.2,0.722,11.6,21.2,9.8,25.1,34.9,12.2,6.8,1.9,75.8,2011
IUPUI,18,40.6,27.5,56.6,0.486,5.8,16.6,0.348,14.8,18.7,0.795,10,14.8,10.3,20.1,30.4,11,6.4,2.7,75.6,2011
Wofford,18,40.3,26.9,53.9,0.498,5.8,13.9,0.414,15.9,23.6,0.675,11.2,18.3,11.9,21.2,33.1,14.6,7,2.4,75.5,2011
Lipscomb,20,40.5,26.1,56.6,0.46,6.5,18.6,0.347,16.9,23.9,0.707,14.3,20.8,10.5,24.4,34.9,15.2,8.5,1.9,75.5,2011
UNC Greensboro,18,40.8,26.7,59.2,0.451,6.6,17.8,0.371,15.4,22.3,0.691,13.6,20.8,9.6,21.5,31.1,11.6,7,2.4,75.4,2011
Arizona,18,40.8,25,54,0.463,7.4,18.2,0.409,17.8,24.3,0.733,12.9,19.4,8.9,24.4,33.3,12.9,4.3,2.4,75.3,2011
Houston Baptist,12,40.8,25.5,60.8,0.42,6.8,19.3,0.349,17.3,25.2,0.686,14.8,23.9,11,22.4,33.4,12.4,8.2,2.1,75.1,2011
Ohio,16,41.2,25.6,54.6,0.468,7.1,17.9,0.397,16.8,22.5,0.747,12.8,19.4,8.8,21.8,30.6,15.2,6.8,2.4,75.1,2011
Long Beach State,16,40,25.8,54.8,0.47,6.1,18.3,0.334,17.4,25.4,0.685,14.2,15.8,10.6,25.3,35.9,13.3,6.2,2.6,75,2011
McNeese State,16,40.3,25.8,57.3,0.449,6.7,18.7,0.358,16.7,21.6,0.774,12,19.9,10.4,24.5,34.9,11.6,6.1,3.2,74.9,2011
North Dakota State,18,40.6,26.7,57.2,0.466,5.3,15.2,0.348,16.2,22.6,0.717,12.7,20.3,10.8,22.4,33.2,12.5,6.1,2.7,74.8,2011
George Mason,18,40,25.9,53.9,0.481,6.9,16.1,0.428,15.8,22.6,0.7,10.2,16.5,9.1,23.6,32.8,14.4,6.2,3.2,74.6,2011
Coastal Carolina,18,40,26.4,54.9,0.48,4,12.4,0.323,17.7,26.4,0.672,12.6,15.4,10.9,27.2,38.1,15.4,5.9,4.8,74.5,2011
Ohio State,18,40,25.7,51.3,0.5,7.7,16.9,0.452,15.5,21.8,0.712,10.3,15.4,8.5,20.4,28.9,14.6,6.9,2.3,74.5,2011
Detroit,18,40.3,25.4,52.6,0.484,5.2,13.4,0.388,18.3,25.9,0.708,15.8,19.4,10.4,23.1,33.5,12.2,7,5.6,74.4,2011
North Dakota,12,42.1,25.3,55.8,0.454,6.8,17.8,0.383,16.9,27,0.627,14.3,21.2,9.9,27.4,37.3,14.5,5.3,4.8,74.4,2011
North Carolina,16,40,27.4,62.7,0.437,4.7,16.1,0.292,14.9,21.8,0.685,12,15.9,13.4,27.6,41,14.9,5.8,5.2,74.4,2011
La Salle,16,40.6,26,63.1,0.412,6.6,19.5,0.34,15.7,20.8,0.754,14.9,18.4,13.4,23.5,36.9,14.2,7.3,3.8,74.3,2011
Duke,16,40,26.1,59.5,0.438,7.3,21.7,0.337,14.9,20.1,0.739,11.6,17.1,12.1,25.8,37.9,12.2,6.4,4.6,74.3,2011
Rider,18,40.3,26.8,58.2,0.46,7.3,18.8,0.391,13.4,20.8,0.643,13.8,18.3,10.9,25.7,36.6,14.8,6.2,4.6,74.3,2011
Colorado,16,40.3,25.8,58.8,0.438,6.3,16.4,0.385,16.4,20.9,0.784,12.4,18.9,10.7,23.2,33.9,12.1,5.8,2.9,74.2,2011
Florida International,16,41.2,24.6,55,0.448,5.6,16.1,0.35,19.3,28.2,0.684,13.1,21.5,11,20.5,31.5,11.4,7.6,3.8,74.2,2011
North Texas,16,40,24.7,51.2,0.482,5.1,13.6,0.373,19.8,27.2,0.726,13.3,19.5,8.7,23.2,31.9,11.2,3.9,2.3,74.2,2011
Lehigh,14,40.7,24.6,60,0.411,5.5,17.4,0.317,19.3,24.7,0.78,12.6,18.7,11.5,25.1,36.6,12.5,6.5,4,74.1,2011
Mississippi Valley State,18,40.6,25.4,57.2,0.444,6.9,19.9,0.346,16.3,24.5,0.667,16.2,21.4,11.7,25.2,36.9,14.7,8.1,2.8,74,2011
UC Davis,16,41.6,25.4,55.8,0.456,8.5,22.7,0.375,14.5,19.7,0.737,13.7,19.8,7.2,22.7,29.9,14.6,6.8,2.1,73.9,2011
Northwestern State,16,41.2,24.8,56.5,0.439,5.7,18.2,0.312,18.6,28.7,0.647,16.2,22.1,12.1,24.1,36.1,12.1,7.6,7.1,73.9,2011
Southern Utah,18,40,26.1,52.8,0.494,3.6,9.1,0.393,18.1,25.1,0.719,14.7,22.2,10.1,20.9,31.1,14.4,5.3,4.6,73.8,2011
Vanderbilt,16,40.6,24.1,53.8,0.448,7.5,19.7,0.381,18,23.9,0.752,12.4,16.2,9.9,23.4,33.3,12,4.9,4.2,73.8,2011
Western Michigan,16,40.6,25.7,56.6,0.454,6.1,15.9,0.38,16.1,22.1,0.729,13.6,20.2,11.7,23.9,35.6,12.2,5,3.8,73.6,2011
North Carolina A&T,16,40.9,24.3,53.9,0.451,6.4,18.7,0.344,18.4,28,0.656,13.7,16,9.7,24.7,34.4,11.9,6.5,4.4,73.4,2011
Kentucky,16,40.3,25.9,58,0.447,6.9,17.9,0.385,14.7,20.1,0.73,10.6,16.4,10.8,23.7,34.5,11.6,5.4,6.1,73.4,2011
Fort Wayne,18,40.3,25.3,55.2,0.459,7.7,20.3,0.381,14.9,19.1,0.782,11.5,22,8.2,20.6,28.9,13.2,4.5,2.8,73.3,2011
Hofstra,18,40.6,25.6,56.4,0.453,6.6,18.9,0.347,15.6,19.3,0.807,9.6,17.9,8.2,22.2,30.4,14.4,6.6,4.7,73.3,2011
Marquette,18,40.3,24.7,54.9,0.45,5.7,15.8,0.363,18,25.7,0.701,11.3,17.4,11,20.9,31.9,14.7,5.9,3.2,73.2,2011
Harvard,14,40.7,24.4,48.4,0.504,6.1,15.5,0.396,18.3,22.1,0.826,12.2,14.6,7.2,22.8,29.9,14.1,6.1,4.8,73.1,2011
Bucknell,14,40.4,25.1,55.2,0.454,6.5,16.8,0.387,16.5,20.7,0.797,10.4,19.2,7.9,25.1,33,14.2,5.3,3.9,73.1,2011
Duquesne,16,40,26.1,59.1,0.441,6.7,21.2,0.316,14.3,23.6,0.607,11.2,18.5,10.7,20.9,31.6,16.6,9.7,4.9,73.1,2011
Missouri-Kansas City,18,41.7,24.6,55.8,0.44,8.4,24.1,0.351,15.3,22.7,0.676,12.7,19.4,9.6,19.8,29.3,11.2,6.1,2.6,72.9,2011
Kent State,16,40.6,26.7,58.6,0.455,5.5,16,0.344,14,20.2,0.691,12.7,17.1,11.3,22.8,34.2,14.1,7.8,4,72.9,2011
N.J.I.T.,12,40.4,25.1,57.4,0.437,7.7,20,0.383,15,24,0.625,12.8,22.4,10.4,25.4,35.8,12.2,6.1,4,72.8,2011
Davidson,18,40,24.2,55.6,0.435,8.1,22.6,0.36,16.3,22.5,0.726,13.6,21.9,11.4,23.4,34.8,12.7,4.7,2.5,72.8,2011
Maryland,16,40,26.2,58.9,0.445,4.5,13.4,0.335,15.8,22.2,0.708,12.1,16.8,10.9,23.4,34.3,16,6.1,3.6,72.8,2011
Temple,16,40.3,24.9,56.8,0.439,7.1,18.5,0.382,15.8,22,0.716,10.2,15.3,11.4,23.8,35.2,15.6,6.2,4.7,72.7,2011
Cleveland State,18,40,24.3,52.7,0.462,6.9,18.4,0.373,17.1,23.2,0.737,11.8,21.2,8.4,22.9,31.3,12.2,6.7,3.1,72.7,2011
Brown,14,40.4,25.5,58.8,0.434,7.9,22.1,0.359,13.7,18.6,0.738,10.5,16.3,7.1,26,33.1,14.3,5.1,3.1,72.6,2011
Florida,16,41.2,26.2,57.5,0.455,6.5,18.2,0.357,13.7,20.2,0.678,10.5,14.6,11.2,23.1,34.3,13.5,5.8,3.1,72.6,2011
Tennessee Tech ,18,40.8,26.6,54.7,0.486,4.3,12.4,0.35,15.1,22.9,0.66,15.9,19.8,10.2,23.3,33.5,13.8,6.7,2.2,72.6,2011
Purdue,18,40,25.2,56.2,0.448,7.1,18.8,0.378,15.1,20.3,0.74,9.3,17.3,10,22.4,32.4,15.1,5.7,4.4,72.5,2011
Appalachian State,18,40.3,26.1,56.6,0.462,6.1,18.4,0.332,14.2,19.3,0.735,11.9,16.2,9.2,22.9,32.2,9.9,5.8,2.7,72.5,2011
Chattanooga,18,40.8,23.9,55.6,0.431,8.8,25.2,0.35,15.8,24.2,0.653,14.1,17.3,9.9,27.1,37.1,13.7,3.8,1.3,72.5,2011
New Mexico State,16,40.9,24.9,54.1,0.461,5.8,17.3,0.332,16.9,25.2,0.67,14.4,17.4,9.7,22.8,32.5,12.7,6.8,3.4,72.5,2011
Providence,18,40.3,25.7,63.3,0.406,6.4,20.9,0.306,14.6,22.2,0.657,12.3,17.8,13.2,20.7,33.9,11.4,7.5,3.1,72.4,2011
UNC Asheville,18,40.3,25.8,54.2,0.477,4.3,13.7,0.316,16.4,23,0.713,15.3,19.1,9.9,23.1,33,14.6,8.8,4.8,72.4,2011
Troy,16,41.2,25.2,59.2,0.425,8.5,24.2,0.351,13.4,19.2,0.698,15.2,17.5,11.1,25,36.1,13,7.1,3.5,72.3,2011
Iowa State,16,40.9,26.4,62.5,0.423,8.4,23.8,0.353,10.9,14.2,0.771,13.6,17.2,9.1,23,32.1,14.4,5.2,2.6,72.2,2011
San Francisco,14,40.7,24.9,57.4,0.434,6.1,20,0.307,16.1,23.2,0.695,12.6,18.5,9.9,26.6,36.5,12.4,5.7,2.4,72.1,2011
Texas,16,40,25,54.8,0.456,5.2,13.6,0.381,16.9,26.4,0.638,11.2,17.2,11.8,25.5,37.3,12.4,5.4,4.9,72.1,2011
Elon,18,40,23.3,55.8,0.418,8.4,25.4,0.333,16.9,23.4,0.722,11.4,19.5,9.3,22.7,31.9,13.2,5.4,2.8,72,2011
Butler,18,40.6,25.5,55.3,0.461,7.4,19.6,0.378,13.6,18.7,0.724,10.9,17.6,9.5,22.7,32.2,12.8,5.9,1.6,71.9,2011
Northern Arizona,16,40.6,26.7,52.9,0.504,6.4,13.9,0.459,12.2,18.4,0.661,13.4,18.9,8.5,22.6,31.1,17.5,6.2,4.1,71.9,2011
Chicago State,12,40.4,24.9,56.9,0.438,5.8,16.8,0.347,16.2,24.2,0.67,14.1,23.9,9.7,23.7,33.4,13.3,5.2,2.8,71.9,2011
Milwaukee,18,40.8,23.5,53.9,0.436,8.1,22.4,0.36,16.8,24.9,0.676,13,17.2,10.4,21.9,32.3,12.9,4.8,2.1,71.9,2011
East Tennessee State,20,40.5,24.8,53.2,0.465,5.3,14.8,0.358,17.1,25,0.682,12.3,18.4,11.1,23.6,34.6,10.9,6.3,4.1,71.8,2011
James Madison,18,40.3,25.8,55.8,0.462,6.3,16.7,0.38,13.9,18.8,0.74,11.9,18.2,9.5,23.9,33.4,14.6,5.7,3.8,71.8,2011
Nevada,16,40.6,24.2,55.1,0.44,6.8,19.8,0.342,16.6,24.5,0.676,13.4,19.9,10.7,22.4,33.1,11.8,5,3.8,71.8,2011
Wichita State,18,40.8,25.8,55,0.469,6.5,19.5,0.333,13.7,18.7,0.733,11.1,18.4,9.8,25.8,35.6,14.9,6.3,3.3,71.8,2011
Austin Peay,18,40.8,25.6,55.9,0.457,4.8,13.4,0.355,15.8,23.1,0.687,12.9,18.2,11.4,21.2,32.6,14.4,8,3.8,71.7,2011
Southern Mississippi,16,40.3,25.1,55.8,0.45,5.1,14.4,0.352,16.4,22.2,0.738,11.1,18.6,11.8,21.9,33.7,11.6,5.2,3.1,71.7,2011
Notre Dame,18,40.3,23.9,51,0.468,7.9,19.7,0.404,15.9,22.4,0.71,10.6,15,9.2,22.8,31.9,15.3,5.1,3.2,71.7,2011
Louisiana-Lafayette ,16,40.9,24.1,54.6,0.442,4.9,13.6,0.359,18.5,26.4,0.7,14.6,20.9,11.2,23.6,34.8,9.2,4.9,3.9,71.6,2011
Utah State,16,40.6,25.1,53.4,0.47,6,17.4,0.345,15.4,20.7,0.743,11.8,16.8,10.3,25.7,36.1,15.1,5.2,3.3,71.6,2011
Cal State Fullerton,16,40.3,24.5,54.9,0.446,6.2,16.8,0.372,16.3,22.5,0.725,14.1,19.7,9.8,23.2,33.1,12.2,5.1,1.4,71.6,2011
Charleston Southern,18,40.3,24.9,57.2,0.436,5.9,16.6,0.359,15.6,20.4,0.764,14,18.3,11.8,22.4,34.2,11.3,7.1,3.2,71.4,2011
Boise State,16,41.6,24.3,57.4,0.423,6.9,20.8,0.33,15.9,22.8,0.699,11.1,19.5,8.9,20.8,29.7,12.3,8,2.4,71.4,2011
Miami (OH),16,41.6,24.1,54.1,0.446,7.8,21.1,0.367,15.3,20.2,0.756,14.1,16.3,9.8,24.1,33.8,11.8,4.8,2.9,71.3,2011
San Jose State,16,42.5,24.1,60.8,0.397,5.9,16.5,0.36,17.1,23.1,0.74,10.8,19.8,10.6,24,34.6,12.6,4.8,2.1,71.2,2011
Ole Miss,16,40,23.9,57,0.42,7.9,21.4,0.368,15.3,19.8,0.773,12.5,18.5,10.8,20.6,31.4,10.9,5.8,5.8,71.1,2011
Holy Cross,14,40.4,25.9,56.3,0.459,5.5,16,0.344,13.8,21.7,0.635,11.3,17.5,10.5,25.9,36.4,14,3.6,4,71,2011
Marshall,16,40.3,24.7,55.1,0.448,5.6,17.6,0.317,16.1,23.2,0.691,12.7,20.2,12,23,35.1,13.1,4.4,3.8,71,2011
Cornell,14,40.4,25,56.6,0.442,8.7,23.1,0.377,12.1,17.3,0.702,11.4,19.8,9.5,21.9,31.4,14.8,6.4,3.3,70.9,2011
Syracuse,18,40.3,26,55.2,0.471,6.2,17.3,0.359,12.6,19,0.664,12.8,15.6,11,23.1,34.1,15.3,8.1,6.8,70.8,2011
Richmond,16,40,24.7,53.9,0.458,8.1,20.2,0.398,13.3,17.9,0.742,10.1,14.8,9,21.3,30.4,15.4,6,4,70.8,2011
New Mexico,16,40.3,23.9,54.4,0.44,6.4,18.9,0.341,16.4,22.2,0.738,13.1,17.9,10.9,24.1,35,14.6,5.4,3.1,70.7,2011
Furman,18,40.3,23.6,51.3,0.46,7.4,19.4,0.38,15.8,21.6,0.735,10.7,17.8,8,22,30.1,12.9,4.6,3.3,70.4,2011
Western Carolina,18,40,26.4,59.9,0.441,5.4,16.2,0.337,12.2,18.5,0.661,13.4,18.8,11.4,23.3,34.7,13.2,9.3,2.9,70.4,2011
Kansas State,16,40,23.2,53.4,0.435,7,18.3,0.382,17.2,23.6,0.729,14.4,21.2,11.3,20.5,31.8,12.7,5.6,4.7,70.4,2011
Wagner,18,41.1,23.8,54.1,0.44,6.7,19,0.351,16.2,21.3,0.76,14.6,25.1,8,20.5,28.5,14.8,6.1,4.2,70.4,2011
Maine,16,40.6,24.8,53.2,0.467,6.3,18,0.351,14.4,20,0.719,11.7,16.6,9.1,23.9,32.9,13.4,4.8,3.4,70.3,2011
Santa Clara,14,40.7,23.1,55.5,0.416,6.3,19.1,0.328,17.9,24.4,0.731,12.4,20.1,11.7,21.6,33.3,12.9,8.2,3.9,70.3,2011
Valparaiso,18,41.1,26.3,56.2,0.467,5.9,18.4,0.322,11.8,18.7,0.631,14,18.7,9.7,22.2,31.9,15.3,7.7,2.6,70.3,2011
Virginia Tech,16,40,24.6,55.3,0.444,5.9,16.4,0.359,15.2,20.8,0.735,11.5,16.8,9.7,22.7,32.3,11.4,6.4,3.2,70.2,2011
Louisville,18,41.1,25.8,59,0.437,8.2,23.2,0.352,10.5,15.6,0.675,12.1,18.2,10.9,22.4,33.3,16.7,8.7,4.3,70.2,2011
Texas-Arlington,16,41,24.7,55.2,0.447,7.5,20.8,0.36,13.3,19.8,0.674,17.6,21.6,10.2,23.2,33.4,12.1,6,2.1,70.2,2011
Morehead State,18,40.8,24.2,54.4,0.444,5.8,17.2,0.339,16,24.2,0.662,15,19.3,13.4,22.8,36.2,12.1,8.6,3.1,70.2,2011
Northern Colorado,16,40,22.9,54.1,0.423,7.6,20.8,0.367,16.8,22,0.761,12.2,17,10.4,24.8,35.2,11.7,6.2,2.2,70.1,2011
Cal State Northridge,16,40,22.8,51.8,0.44,6.2,18.5,0.334,18.4,26.8,0.689,13.1,21.6,9.7,21.3,30.9,13.2,5.9,2.6,70.1,2011
Villanova,18,40.3,23.3,53.7,0.434,6.6,17.7,0.373,16.9,22.8,0.742,11.9,18.4,10.9,21.8,32.7,13.2,6.2,3.1,70.1,2011
San Diego State,16,40,25,57.8,0.432,6,17.9,0.336,14.1,20.1,0.701,10.2,15.2,13.5,28,41.5,12.9,5.4,5.1,70.1,2011
Weber State,16,40,24.6,51.7,0.475,8.2,18.6,0.443,12.7,16.8,0.755,11.9,19.2,7.5,25.2,32.8,12.8,5,2.6,70.1,2011
Hampton,16,40.9,23.8,58.1,0.409,7,21.3,0.328,15.6,23.7,0.657,12.5,19.2,10.8,24.4,35.2,12.9,7.6,5.8,70.1,2011
Western Kentucky,16,40,25.4,56.3,0.452,5.4,17.6,0.306,13.8,20.6,0.667,13.9,18.4,12.5,23.8,36.2,12,3.9,4.5,70,2011
Murray State,18,40,23.5,49.3,0.477,6.3,16,0.392,16.7,23.6,0.706,14.1,18.4,10.1,19.9,29.9,13.9,7.3,2.8,69.9,2011
Lafayette,14,41.1,23.1,54.1,0.428,7.8,22.1,0.352,15.9,21,0.755,11.8,20.6,8.1,22.7,30.8,14,6.2,3.4,69.9,2011
Mississippi State,16,40,23.8,53.3,0.445,8.1,21.8,0.374,14.2,19.5,0.731,13.6,15.2,7.9,25.1,33,13.1,5.5,4.1,69.9,2011
Portland,14,40.7,24.4,55.6,0.44,7.2,18.4,0.393,13.8,17.9,0.769,12.4,19,10.3,22.9,33.1,13.6,5.1,3.6,69.9,2011
Washington State,18,40.6,24.2,55.5,0.436,6.3,19.2,0.328,15.1,20.6,0.735,13.4,17.2,8.6,23.8,32.4,12.9,6.2,3.6,69.8,2011
Georgia,16,40.9,24.8,55.3,0.449,5.4,14.1,0.387,14.8,19.6,0.752,13.3,16.6,10.3,25.7,36,15.2,5.8,4.2,69.8,2011
UNLV,16,40.3,24.9,57.2,0.436,5.3,17.2,0.309,14.6,20.9,0.699,11.8,19.1,11.8,23.2,34.9,15.3,7.2,3.9,69.8,2011
Liberty,18,40.6,24.7,56.1,0.44,5.4,15.9,0.339,15.1,21.5,0.7,14.8,19.3,12.7,24.1,36.8,12.2,6.7,3.2,69.8,2011
Little Rock,16,40.6,23.3,55.2,0.422,8,19.1,0.42,15.1,21.4,0.706,11.7,21.2,9.7,21.3,31,11.1,5.9,2.4,69.8,2011
Buffalo,16,40.6,25.7,54.8,0.469,6.4,16.4,0.388,11.9,17.4,0.683,14.4,19.2,10.9,21.2,32.1,14.8,7.1,5.2,69.6,2011
Texas Tech,16,40.3,24.3,56.2,0.433,5.9,15.3,0.388,15,20.8,0.723,14.1,20.3,10.1,20.8,30.9,11.8,5.3,3.8,69.6,2011
Quinnipiac,18,40,25.6,59.7,0.428,5.4,16.1,0.334,12.9,21.9,0.587,11.9,20.1,14.6,24.1,38.6,14.8,4.9,3.7,69.4,2011
Boston College,16,40,24.1,55.1,0.438,9.1,24.1,0.376,12.1,16.9,0.715,10.9,14.7,9.8,22.4,32.2,14.2,4.9,2.7,69.4,2011
Pittsburgh,18,40.3,23.7,51.1,0.464,5.4,13.7,0.394,16.6,24.1,0.688,11.7,18.6,11.6,24.3,35.8,15.5,4.4,3.2,69.3,2011
Southeastern Louisiana,16,40.3,23.6,53.4,0.442,6.2,18.2,0.339,15.8,22.2,0.713,12.6,20,9.3,21.9,31.2,14.4,5.9,3.6,69.2,2011
VCU,18,40.6,22.6,54.1,0.418,7.7,22.8,0.338,16.3,20.9,0.777,10.1,17.4,10.1,19.2,29.4,12.9,8.6,3.8,69.2,2011
Central Connecticut State,18,40.8,23.8,56.1,0.425,4.5,13.8,0.325,17.1,21.8,0.783,14.7,17.8,11.7,23.5,35.2,14.4,7.4,3.8,69.2,2011
Jackson State,18,40.6,23.9,54.6,0.438,5.6,17.7,0.314,16,24.9,0.643,14.3,22.1,11.5,22.7,34.2,13.4,8.4,3.2,69.2,2011
Loyola Marymount,14,41.4,23.9,58,0.413,5.7,14.9,0.385,15.6,21.8,0.718,13.4,19.3,11,22.4,33.4,13.5,6.3,3.9,69.2,2011
St. Bonaventure,16,40.9,23.5,51,0.461,5.5,14.4,0.381,16.7,23.1,0.724,13.3,18.1,9.6,21.9,31.5,13.1,4.9,2.9,69.2,2011
Akron,16,40,24.6,55.7,0.441,8.1,22.1,0.367,11.9,16.7,0.715,11.9,18.4,8.9,22.8,31.8,14.8,6.2,2.9,69.2,2011
UTEP,16,40.9,24.4,54.1,0.45,5.8,15.5,0.375,14.6,20.9,0.699,10.7,17.3,7.6,22.8,30.4,14.8,6.9,2.4,69.2,2011
Colgate,14,41.1,24.2,55.1,0.44,6.1,16.8,0.362,14.6,22.4,0.655,14.3,20.3,9.1,22.5,31.6,12.9,5.6,2.9,69.1,2011
Alcorn State,18,40.3,22.8,58.3,0.391,4.3,12.6,0.344,18.9,29.9,0.633,15.9,20.3,8.8,25.1,33.9,10.3,7.7,3.1,69.1,2011
Sam Houston State,16,40,24.7,54,0.457,5.8,19.2,0.299,13.9,20.2,0.685,14,19.4,11.7,24.3,36,16.9,7.8,2.2,69,2011
NC State,16,40,25.6,59.3,0.431,4.6,13.4,0.341,13.2,19.1,0.695,11.2,17.1,11.6,21.8,33.4,14.1,5.3,3.9,68.9,2011
Florida Atlantic ,16,40.6,24.4,53.8,0.454,6,17.4,0.344,14,21.2,0.661,11.7,17.6,10.2,21.6,31.8,13.2,6.6,4.9,68.9,2011
South Alabama,16,40.3,24.2,55.8,0.433,5.7,17.1,0.333,14.8,21.8,0.679,13.1,17.1,11.1,21.6,32.7,11.2,6.6,4.8,68.9,2011
Idaho,16,40.6,24.1,51.2,0.471,6.6,17,0.39,14,19.1,0.734,13.9,16.5,8.1,22.9,31,14.6,6.8,2.6,68.9,2011
Bethune-Cookman,16,41.6,24.7,55.2,0.447,4,12.6,0.318,15.4,21.9,0.701,12.6,19.6,11.7,21.8,33.5,11.3,6.9,2.2,68.8,2011
Green Bay,18,40.6,24.9,55.7,0.447,5,14.8,0.337,13.9,20.1,0.693,12.2,19.7,10.3,21.8,32.1,12.2,6.1,3.6,68.7,2011
Princeton,14,40.4,24.3,52.9,0.459,5.8,15.6,0.372,14.2,19.2,0.74,11.4,16.4,9.5,24.4,33.9,13.2,6.1,4.5,68.6,2011
Northern Illinois,16,40.6,23.8,55,0.432,6.2,17.8,0.349,14.9,22.4,0.663,13,20.1,9.4,26.1,35.5,11.8,4.8,2.3,68.6,2011
Robert Morris,18,40.3,23.6,54.4,0.434,6.8,17.7,0.387,14.5,20.6,0.705,12.4,21.4,10.7,21.9,32.6,13.8,7,2.1,68.6,2011
Illinois,18,40,24.8,52.7,0.471,6.4,16.8,0.383,12.4,16.2,0.766,12.3,17.1,7.8,23.9,31.8,16.2,4.6,3.9,68.5,2011
Pepperdine,14,40.7,24.6,57.1,0.43,4.9,15.4,0.316,14.5,19.6,0.738,13.6,18.1,10.7,22.3,33,13.2,6.2,2.9,68.5,2011
Tulsa,16,40.3,22.5,51.9,0.434,6.6,19.2,0.341,16.8,23.8,0.706,13.4,19.2,10.3,24.9,35.2,11.2,4.6,4.2,68.4,2011
Pennsylvania ,14,41.8,23.9,52.2,0.457,6.6,17.3,0.384,13.9,17.9,0.78,13.6,18.1,6.8,23,29.8,14.4,6.3,2.5,68.3,2011
