Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Central Arkansas,18,40.0,29.2,58.4,.500,5.9,16.1,.369,16.9,23.9,.709,13.0,19.2,10.8,23.3,34.1,15.8,10.1,3.7,81.3
Northwestern State,18,40.1,28.3,60.3,.469,7.7,20.1,.385,16.0,23.2,.689,15.6,20.4,12.7,24.4,37.1,14.3,5.4,3.1,80.3
Virginia Military,18,41.1,27.9,60.2,.464,5.6,16.3,.344,18.6,26.3,.708,17.0,19.7,12.0,30.2,42.2,13.2,7.4,4.1,80.1
Coppin State,16,40.0,27.9,60.4,.461,6.1,16.7,.363,17.4,25.9,.672,14.8,19.5,14.2,29.3,43.5,14.3,4.8,2.5,79.2
Omaha,16,40.6,26.9,56.9,.473,7.5,19.6,.383,16.9,21.7,.778,14.6,21.9,8.4,25.5,33.9,15.0,5.6,3.7,78.2
Washington State,18,40.6,28.2,59.6,.473,6.6,18.3,.358,15.2,21.3,.713,8.7,19.9,9.4,25.6,35.0,13.0,5.7,3.4,78.1
Duquesne,18,40.3,27.2,60.6,.449,10.4,26.9,.386,13.1,19.6,.669,9.9,16.2,12.0,23.9,35.9,18.4,5.0,3.2,77.8
Youngstown State,16,40.3,26.8,56.8,.471,7.5,20.1,.374,16.6,21.8,.759,11.6,17.5,10.4,24.2,34.7,16.4,6.9,3.5,77.6
South Alabama,20,40.3,27.8,61.7,.451,6.4,18.3,.350,15.0,21.1,.711,10.4,20.9,11.9,23.3,35.2,12.7,6.5,2.6,77.0
Houston Baptist,18,40.3,26.8,56.2,.477,6.3,16.9,.374,16.9,23.1,.731,11.8,19.8,9.8,21.3,31.1,13.6,7.2,4.7,76.8
Stetson,14,40.0,27.3,61.0,.447,9.0,24.0,.375,13.1,17.6,.744,11.1,18.1,11.7,26.5,38.2,15.1,5.9,3.4,76.6
Auburn,18,40.0,27.1,55.3,.489,6.5,18.1,.360,15.8,21.8,.724,13.2,21.3,11.1,26.1,37.2,13.9,5.7,4.4,76.4
Wake Forest,18,40.8,27.3,58.6,.466,7.0,18.6,.377,14.8,21.3,.693,10.4,18.7,9.8,26.2,36.1,14.3,7.1,4.0,76.3
North Dakota,18,40.6,25.9,56.2,.462,6.8,16.6,.413,17.3,23.5,.735,12.2,19.6,9.4,25.9,35.3,13.1,6.6,2.6,76.0
Idaho,18,41.1,25.7,57.1,.450,9.0,24.8,.362,15.4,22.8,.676,10.6,19.3,8.9,21.8,30.7,14.4,5.0,3.1,75.9
Lipscomb,14,40.7,24.9,54.6,.456,8.2,22.7,.362,17.6,26.7,.660,12.0,20.6,10.2,25.6,35.9,13.9,5.3,4.1,75.7
Gardner-Webb,18,40.8,28.3,58.5,.483,6.9,18.0,.386,11.8,17.1,.691,11.5,16.5,9.6,23.3,32.9,14.6,6.7,4.0,75.3
Northern Colorado,18,41.1,25.9,54.7,.475,8.8,21.8,.405,14.5,20.2,.719,13.4,18.8,10.2,22.0,32.2,14.1,4.8,3.7,75.2
